string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,89
"### | 2- 
",000,False,000,False,False,False,1,122
"### | 3- 
",000,False,000,False,False,False,1,203
"### | 4- 
",000,False,000,False,False,False,1,130
"### | 5- 
",000,False,000,False,False,False,1,95
"### | 6- 
",000,False,000,False,False,False,1,100
"### | 7- 
",000,False,000,False,False,False,1,568
"### | 8- 
",000,False,000,False,False,False,1,84
"### | 9- 
",000,False,000,False,False,False,1,572
"### | 10- 
",000,False,000,False,False,False,1,97
"### | 11- 
",000,False,000,False,False,False,1,219
"### | 12- 
",000,False,000,False,False,False,1,182
"### | 13- 
",000,False,000,False,False,False,1,550
"### | 14- 
",000,False,000,False,False,False,1,501
"### | 15- 
",000,False,000,False,False,False,1,162
"### | 16- 
",000,False,000,False,False,False,1,66
"### | 17- 
",000,False,000,False,False,False,1,210
"### | 18- 
",000,False,000,False,False,False,1,102
"### | 19- 
",000,False,000,False,False,False,1,184
"### | 20- 
",000,False,000,False,False,False,1,37
"### | 21- 
",000,False,000,False,False,False,1,136
"### | 22- 
",000,False,000,False,False,False,1,1074
"### | 23- 
",000,False,000,False,False,False,1,131
"### | 24- 
",000,False,000,False,False,False,1,81
"### | 25- 
",000,False,000,False,False,False,1,363
"### | ..... 
",000,False,000,False,False,False,1,18
"### | ........... 
",000,False,000,False,False,False,1,634
"### | 28- 
",000,False,000,False,False,False,1,50
"### | 29- 
",000,False,000,False,False,False,1,145
"### | 30- 
",000,False,000,False,False,False,1,68
"### | 31- 
",000,False,000,False,False,False,1,104
"### | 32- 
",000,False,000,False,False,False,1,91
"### | 33- 
",000,False,000,False,False,False,1,190
"### | 34- 
",000,False,000,False,False,False,1,53
"### | 35- 
",000,False,000,False,False,False,1,76
"### | 36- 
",000,False,000,False,False,False,1,67
"### | 37- 
",000,False,000,False,False,False,1,271
"### | 38- 
",000,False,000,False,False,False,1,277
"### | 39- 
",000,False,000,False,False,False,1,170
"### | 40- 
",000,False,000,False,False,False,1,296
"### | 41- 
",000,False,000,False,False,False,1,145
"### | .... 
",000,False,000,False,False,False,1,51
"### | 42- 
",000,False,000,False,False,False,1,683
"### | 44- 
",000,False,000,False,False,False,1,231
"### | 45- 
",000,False,000,False,False,False,1,134
"### | 46- 
",000,False,000,False,False,False,1,140
"### | 47- 
",000,False,000,False,False,False,1,52
"### | 48- 
",000,False,000,False,False,False,1,69
"### | 49- 
",000,False,000,False,False,False,1,130
"### | 50- 
",000,False,000,False,False,False,1,199
"### | 52- 
",000,False,000,False,False,False,1,58
"### | 53- 
",000,False,000,False,False,False,1,110
"### | 54- 
",000,False,000,False,False,False,1,140
"### | 55- 
",000,False,000,False,False,False,1,136
"### | 56- 
",000,False,000,False,False,False,1,203
"### | 58- 
",000,False,000,False,False,False,1,176
"### | 59- 
",000,False,000,False,False,False,1,107
"### | 60- 
",000,False,000,False,False,False,1,101
"### | .... 
",000,False,000,False,False,False,1,86
"### | 61- 
",000,False,000,False,False,False,1,129
"### | 62- 
",000,False,000,False,False,False,1,148
"### | 65- 
",000,False,000,False,False,False,1,130
"### | 66- 
",000,False,000,False,False,False,1,101
"### | 67- 
",000,False,000,False,False,False,1,150
"### | 68- 
",000,False,000,False,False,False,1,173
"### | 69- 
",000,False,000,False,False,False,1,105
"### | 69- 
",000,False,000,False,False,False,1,236
"### | وهذا ما جاء في أول النسخة المصورة
",000,False,000,False,False,False,1,149
"### | ............ 
",000,False,000,False,False,False,1,339
"### | تكملة
",000,False,000,False,False,False,1,25
"### | 1- 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | الأغاني
",000,False,000,False,False,False,1,219
"### | 2- 
",000,False,000,False,False,False,1,338
"### | 5- 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | طبقات الشعراء لابن المعتز
",000,False,000,False,False,False,1,437
"### | 6- 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | طبقات الشعراء لابن المعتز
",000,False,000,False,False,False,1,148
"### | 8- 
",000,False,000,False,False,False,1,891
"### | 11- 
",000,False,000,False,False,False,1,2
"### | 
",000,False,000,False,False,False,1,0
"### | أخبار أبي نواس لابن منظور
",000,False,000,False,False,False,1,320
"### | 13- 
",000,False,000,False,False,False,1,454
