string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب: الألف
",000,False,000,False,False,False,1,2073
"### || من اسمه أحمد:
",000,False,000,False,False,False,2,326
"### || باب من اسمه أبان:
",000,False,000,False,False,False,2,71
"### || باب من اسمه إبراهيم:
",000,False,000,False,False,False,2,502
"### || باب الأجلح والأحنف والأحوص:
",000,False,000,False,False,False,2,68
"### || باب آدم وأدهم:
",000,False,000,False,False,False,2,44
"### || باب أربدة وأزهر:
",000,False,000,False,False,False,2,30
"### || باب أسامة:
",000,False,000,False,False,False,2,56
"### || باب أسباط:
",000,False,000,False,False,False,2,17
"### || باب إسحاق:
",000,False,000,False,False,False,2,152
"### || باب أسد وإسرائيل:
",000,False,000,False,False,False,2,59
"### || باب أسلم وأسماء:
",000,False,000,False,False,False,2,45
"### || باب إسماعيل:
",000,False,000,False,False,False,2,212
"### || باب الأسود:
",000,False,000,False,False,False,2,201
"### || باب أسيد وأسير:
",000,False,000,False,False,False,2,30
"### || باب أشعث وأشهل:
",000,False,000,False,False,False,2,45
"### || باب أصبغ والأغر ms034 وأفلح والأقرع وأكتل:
",000,False,000,False,False,False,2,60
"### || باب أمية وأنس وأنيسة وأوس وأوسط وأويس:
",000,False,000,False,False,False,2,140
"### | باب: الباء الموحدة
",000,False,000,False,False,False,1,537
"### || باب بحر وبحير وبدر وبديل:
",000,False,000,False,False,False,2,40
"### || باب برد وبريد وبريدة:
",000,False,000,False,False,False,2,58
"### || باب البراء وبسر:
",000,False,000,False,False,False,2,46
"### || باب بسطام:
",000,False,000,False,False,False,2,17
"### || باب بشر:
",000,False,000,False,False,False,2,91
"### || باب بشير:
",000,False,000,False,False,False,2,55
"### || باب بشير ""مصغرا"" 1:
",000,False,000,False,False,False,2,24
"### || باب بقية وبكر:
",000,False,000,False,False,False,2,134
"### || باب بكير:
",000,False,000,False,False,False,2,53
"### || باب بلال:
",000,False,000,False,False,False,2,26
"### | باب: التاء المثناة من فوق
",000,False,000,False,False,False,1,50
"### | باب: الثاء المثلثة
",000,False,000,False,False,False,1,133
"### || باب ثابت:
",000,False,000,False,False,False,2,48
"### || باب ثروان وثعلبة:
",000,False,000,False,False,False,2,33
"### | باب: الجيم
",000,False,000,False,False,False,1,520
"### || باب جابر:
",000,False,000,False,False,False,2,46
"### || باب جارية وجامع:
",000,False,000,False,False,False,2,67
"### || باب جبلة وجبير:
",000,False,000,False,False,False,2,26
"### || باب الجراح وجرير وجري:
",000,False,000,False,False,False,2,85
"### || باب جعدة وجعفر:
",000,False,000,False,False,False,2,223
"### | باب الحاء المهملة:
",000,False,000,False,False,False,1,2778
"### || من اسمه حاتم:
",000,False,000,False,False,False,2,36
"### || باب حاجب:
",000,False,000,False,False,False,2,17
"### || باب الحارث:
",000,False,000,False,False,False,2,123
"### || باب حبال وحبان وحبان وحبة:
",000,False,000,False,False,False,2,64
"### || باب حبيب:
",000,False,000,False,False,False,2,85
"### || باب حجاج، وحجية، وحجر، وحجير:
",000,False,000,False,False,False,2,378
"### || باب حجية:
",000,False,000,False,False,False,2,13
"### || باب حدير وحذيفة:
",000,False,000,False,False,False,2,83
"### || باب حرام وحرب وحرير:
",000,False,000,False,False,False,2,37
"### || باب حسان:
",000,False,000,False,False,False,2,39
"### || باب الحسن:
",000,False,000,False,False,False,2,521
"### || باب حسين:
",000,False,000,False,False,False,2,260
"### || باب حصين:
",000,False,000,False,False,False,2,103
"### || باب حضين بالضاد المعجمة:
",000,False,000,False,False,False,2,40
"### || باب حطان:
",000,False,000,False,False,False,2,23
"### || باب حفص:
",000,False,000,False,False,False,2,114
"### || باب حكام والحكم:
",000,False,000,False,False,False,2,252
"### || باب حكيم وحكيم:
",000,False,000,False,False,False,2,117
"### || باب حماد:
",000,False,000,False,False,False,2,271
"### || باب حمزة:
",000,False,000,False,False,False,2,63
"### || باب حميد:
",000,False,000,False,False,False,2,146
