string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,76
"### | وضع الله الحرج إلا امرأ اقترض من عرض أخيه شيئا فذاك الذي حرج، فقالوا: هل علينا جناح أن 
",000,False,000,False,False,False,1,35
"### | 2 - 
",000,False,000,False,False,False,1,27
"### | "" ما خير ما أعطي العبد؟ قال: خلق حسن ""
",000,False,000,False,False,False,1,10
"### | 3 - 
",000,False,000,False,False,False,1,27
"### | النصح لكل مسلم فأنا لكم ناصح»
",000,False,000,False,False,False,1,7
"### | 4 - 
",000,False,000,False,False,False,1,19
"### | يقرأ في الصبح: {والنخل باسقات لها طلع نضيد} [ق: 10] ""
",000,False,000,False,False,False,1,10
"### | 5 - 
",000,False,000,False,False,False,1,23
"### | : "" إني لأرى في وجه أبي حذيفة من دخول سالم علي.
",000,False,000,False,False,False,1,35
"### | 6 - 
",000,False,000,False,False,False,1,25
"### | : "" طيبت رسول الله بيدي هاتين لحرمه حين أحرم , ولحله قبل أن يطوف بالبيت، قالت: ولا أعلم أن 
",000,False,000,False,False,False,1,24
"### | 7 - 
",000,False,000,False,False,False,1,23
"### | فأمرها أن تجمع الظهر والعصر بغسل واحد , والمغرب والعشاء بغسل، وتغتسل للصبح غسلا وتدع 
",000,False,000,False,False,False,1,20
"### | 8 - 
",000,False,000,False,False,False,1,15
"### | أيتوضأ أحدنا ورجلاه في الخفين؟ قال: نعم إذا أدخلتهما وهما طاهرتان ""
",000,False,000,False,False,False,1,13
"### | 9 - 
",000,False,000,False,False,False,1,21
"### | يأتي مسجد قباء كل سبت يصلي فيه
",000,False,000,False,False,False,1,9
"### | 10 - 
",000,False,000,False,False,False,1,23
"### | : «لا تدخلوا على هؤلاء القوم إلا أن تكونوا باكين، فإن لم تكونوا باكين فلا تدخلوا عليهم، فإني 
",000,False,000,False,False,False,1,25
"### | 11 - 
",000,False,000,False,False,False,1,25
"### | حين أراد أن يوسع المسجد أراد أن يأخذ من العباس داره، فقال: لا أبيعها.
",000,False,000,False,False,False,1,43
"### | 12 - 
",000,False,000,False,False,False,1,48
"### | : "" اعتد عليهم بالغذاء وإن جاء بها الراعي يحملها على يده وأخبرهم أنك تدع لهم الشاة الماخض 
",000,False,000,False,False,False,1,108
"### | 13 - 
",000,False,000,False,False,False,1,69
"### | : «أخرجوا المشركين من جزيرة العرب، وأجيزوا الوفد بنحو ما كنت أجيزهم» .
",000,False,000,False,False,False,1,55
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | إن الرجل يتزوج المرأة. . . . .
",000,False,000,False,False,False,1,45
"### | 15 - 
",000,False,000,False,False,False,1,23
"### | تلزمون فيه
",000,False,000,False,False,False,1,4
"### | 16 - 
",000,False,000,False,False,False,1,22
"### | : انهشوا اللحم نهشا فإنه أهنا. . . . .
",000,False,000,False,False,False,1,27
"### | 17 - 
",000,False,000,False,False,False,1,25
