string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الاول
",000,False,000,False,False,False,1,10
"### | المقدمة
",000,False,000,False,False,False,1,2696
"### | 1- 
",000,False,000,False,False,False,1,146
"### | 2- 
",000,False,000,False,False,False,1,36
"### | 3- 
",000,False,000,False,False,False,1,80
"### | 4- 
",000,False,000,False,False,False,1,24
"### | 5- 
",000,False,000,False,False,False,1,386
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,125
"### | 8- 
",000,False,000,False,False,False,1,17
"### | 9- 
",000,False,000,False,False,False,1,84
"### | 10- 
",000,False,000,False,False,False,1,46
"### | 11- 
",000,False,000,False,False,False,1,12
"### | 12- 
",000,False,000,False,False,False,1,27
"### | 13- 
",000,False,000,False,False,False,1,11
"### | 14- 
",000,False,000,False,False,False,1,137
"### | 15- 
",000,False,000,False,False,False,1,125
"### | 16- 
",000,False,000,False,False,False,1,27
"### | 17- 
",000,False,000,False,False,False,1,22
"### | 18- 
",000,False,000,False,False,False,1,20
"### | 19- 
",000,False,000,False,False,False,1,82
"### | 20- 
",000,False,000,False,False,False,1,67
"### | 21- 
",000,False,000,False,False,False,1,36
"### | 22- 
",000,False,000,False,False,False,1,53
"### | 23- 
",000,False,000,False,False,False,1,42
"### | 24- 
",000,False,000,False,False,False,1,23
"### | 25- 
",000,False,000,False,False,False,1,34
"### | 26- 
",000,False,000,False,False,False,1,20
"### | 27- 
",000,False,000,False,False,False,1,110
"### | 28- 
",000,False,000,False,False,False,1,40
"### | 29- 
",000,False,000,False,False,False,1,10
"### | 30- 
",000,False,000,False,False,False,1,17
"### | 31- 
",000,False,000,False,False,False,1,95
"### | 32- 
",000,False,000,False,False,False,1,23
"### | 33- 
",000,False,000,False,False,False,1,18
"### | 34- 
",000,False,000,False,False,False,1,30
"### | 35- 
",000,False,000,False,False,False,1,44
"### | 36- 
",000,False,000,False,False,False,1,15
"### | 37- 
",000,False,000,False,False,False,1,9
"### | 38- 
",000,False,000,False,False,False,1,66
"### | 39- 
",000,False,000,False,False,False,1,33
"### | 40- 
",000,False,000,False,False,False,1,181
"### | 41- 
",000,False,000,False,False,False,1,76
"### | 42- 
",000,False,000,False,False,False,1,15
"### | 43- 
",000,False,000,False,False,False,1,22
"### | 44- 
",000,False,000,False,False,False,1,56
"### | 45- 
",000,False,000,False,False,False,1,13
"### | 46- 
",000,False,000,False,False,False,1,9
"### | 47- 
",000,False,000,False,False,False,1,11
"### | 48- 
",000,False,000,False,False,False,1,18
"### | 49- 
",000,False,000,False,False,False,1,33
"### | 50- 
",000,False,000,False,False,False,1,11
"### | 51- 
",000,False,000,False,False,False,1,19
"### | 52- 
",000,False,000,False,False,False,1,42
"### | 53- 
",000,False,000,False,False,False,1,13
"### | 54- 
",000,False,000,False,False,False,1,13
"### | 55- 
",000,False,000,False,False,False,1,20
"### | 56- 
",000,False,000,False,False,False,1,182
"### | 57- 
",000,False,000,False,False,False,1,30
"### | 58- 
",000,False,000,False,False,False,1,669
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,2337
"### | كتاب السلطان
",000,False,000,False,False,False,1,4
"### | محل السلطان وسيرته وسياسته
",000,False,000,False,False,False,1,2837
"### | اختيار العمال
",000,False,000,False,False,False,1,838
"### | باب صحبة السلطان وآدابها وتغير السلطان وتلونه
",000,False,000,False,False,False,1,1737
"### | المشاورة والرأي
",000,False,000,False,False,False,1,1617
"### | الإصابة بالظن والرأي
",000,False,000,False,False,False,1,379
