string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,25
"### | 4- 
",000,False,000,False,False,False,1,17
"### | 5- 
",000,False,000,False,False,False,1,17
"### | 6- 
",000,False,000,False,False,False,1,14
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,21
"### | 9- 
",000,False,000,False,False,False,1,21
"### | 10- 
",000,False,000,False,False,False,1,23
"### | 11- 
",000,False,000,False,False,False,1,15
"### | 12- 
",000,False,000,False,False,False,1,15
"### | 13- 
",000,False,000,False,False,False,1,25
"### | 14- 
",000,False,000,False,False,False,1,23
"### | 15- 
",000,False,000,False,False,False,1,21
"### | 16- 
",000,False,000,False,False,False,1,35
"### | 1- 
",000,False,000,False,False,False,1,15
"### | 2- 
",000,False,000,False,False,False,1,17
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,29
"### | 5- 
",000,False,000,False,False,False,1,17
"### | 6- 
",000,False,000,False,False,False,1,17
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,17
"### | 9- 
",000,False,000,False,False,False,1,23
"### | 10- 
",000,False,000,False,False,False,1,15
"### | 11- 
",000,False,000,False,False,False,1,11
"### | 12- 
",000,False,000,False,False,False,1,25
"### | 13- 
",000,False,000,False,False,False,1,36
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,9
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,5
"### | 9- 
",000,False,000,False,False,False,1,7
"### | 10- 
",000,False,000,False,False,False,1,17
"### | 11- 
",000,False,000,False,False,False,1,5
"### | 12- 
",000,False,000,False,False,False,1,5
"### | 13- 
",000,False,000,False,False,False,1,5
"### | 14- 
",000,False,000,False,False,False,1,7
"### | 15- 
",000,False,000,False,False,False,1,7
"### | 16- 
",000,False,000,False,False,False,1,5
"### | 17- 
",000,False,000,False,False,False,1,5
"### | 18- 
",000,False,000,False,False,False,1,5
"### | 19- 
",000,False,000,False,False,False,1,5
"### | 20- 
",000,False,000,False,False,False,1,5
"### | 21- 
",000,False,000,False,False,False,1,5
"### | 22- 
",000,False,000,False,False,False,1,11
"### | 23- 
",000,False,000,False,False,False,1,13
"### | 24- 
",000,False,000,False,False,False,1,5
"### | 25- 
",000,False,000,False,False,False,1,5
"### | 26- 
",000,False,000,False,False,False,1,5
"### | 27- 
",000,False,000,False,False,False,1,7
"### | 28- 
",000,False,000,False,False,False,1,9
"### | 29- 
",000,False,000,False,False,False,1,5
"### | 30- 
",000,False,000,False,False,False,1,5
"### | 31- 
",000,False,000,False,False,False,1,7
"### | 32- 
",000,False,000,False,False,False,1,11
"### | 33- 
",000,False,000,False,False,False,1,5
"### | 34- 
",000,False,000,False,False,False,1,5
"### | 35- 
",000,False,000,False,False,False,1,5
"### | 36- 
",000,False,000,False,False,False,1,9
"### | 37- 
",000,False,000,False,False,False,1,13
"### | 38- 
",000,False,000,False,False,False,1,7
"### | 39- 
",000,False,000,False,False,False,1,7
"### | 40- 
",000,False,000,False,False,False,1,5
"### | 41- 
",000,False,000,False,False,False,1,5
"### | 42- 
",000,False,000,False,False,False,1,13
"### | 43- 
",000,False,000,False,False,False,1,5
"### | 44- 
",000,False,000,False,False,False,1,13
"### | 45- 
",000,False,000,False,False,False,1,7
"### | 46- 
",000,False,000,False,False,False,1,9
"### | 47- 
",000,False,000,False,False,False,1,7
"### | 48- 
",000,False,000,False,False,False,1,5
"### | 49- 
",000,False,000,False,False,False,1,5
"### | 50- 
",000,False,000,False,False,False,1,5
"### | 51- 
",000,False,000,False,False,False,1,5
"### | 52- 
",000,False,000,False,False,False,1,2634
"### | الحكاية عن الطاعنين
",000,False,000,False,False,False,1,1662
"### | وقد تدبرت وجوه الخلاف في القراءات فوجدتها سبعة أوجه
",000,False,000,False,False,False,1,1230
"### | باب ما ادعي على القرآن من اللحن
",000,False,000,False,False,False,1,21135
"### | باب الكناية والتعريض
",000,False,000,False,False,False,1,6
"### | الكناية أنواع، ولها مواضع
",000,False,000,False,False,False,1,941
"### | ومن هذا الباب (التعريض) .
",000,False,000,False,False,False,1,1156
"### | باب مخالفة ظاهر اللفظ معناه
",000,False,000,False,False,False,1,10
"### | من ذلك الدعاء على جهة الذم لا يراد به الوقوع:
",000,False,000,False,False,False,1,148
"### | ومن ذلك الجزاء عن الفعل بمثل لفظه والمعنيان مختلفان:
",000,False,000,False,False,False,1,116
"### | ومنه أن يأتي الكلام على مذهب الاستفهام وهو تقرير:
",000,False,000,False,False,False,1,54
"### | ومنه أن يأتي على مذهب الاستفهام وهو تعجب:
",000,False,000,False,False,False,1,53
"### | وأن يأتي على مذهب الاستفهام وهو توبيخ:
",000,False,000,False,False,False,1,23
"### | ومنه أن يأتي الكلام على لفظ الأمر وهو تهديد:
",000,False,000,False,False,False,1,21
"### | وأن يأتي على لفظ الأمر وهو تأديب:
",000,False,000,False,False,False,1,22
"### | وعلى لفظ الأمر وهو إباحة:
",000,False,000,False,False,False,1,24
"### | وعلى لفظ الأمر وهو فرض:
",000,False,000,False,False,False,1,21
"### | ومنه عام يراد به خاص:
",000,False,000,False,False,False,1,198
"### | ومنه جمع يراد به واحد واثنان:
",000,False,000,False,False,False,1,151
"### | ومنه واحد يراد به جميع:
",000,False,000,False,False,False,1,109
"### | ومنه أن تصف الجميع صفة الواحد:
",000,False,000,False,False,False,1,54
"### | ومنه أن يوصف الواحد بالجمع:
",000,False,000,False,False,False,1,27
"### | ومنه أن يجتمع شيئان ولأحدهما فعل فيجعل الفعل لهما:
",000,False,000,False,False,False,1,142
"### | ومنه أن يجتمع شيئان فيجعل الفعل لأحدهما، أو تنسبه إلى أحدهما وهو لهما:
",000,False,000,False,False,False,1,90
"### | ومنه أن تخاطب الشاهد بشيء ثم تجعل الخطاب له على لفظ الغائب:
",000,False,000,False,False,False,1,110
"### | ومنه أن يخاطب الرجل بشيء ثم يجعل الخطاب لغيره:
",000,False,000,False,False,False,1,89
"### | ومنه أن تأمر الواحد والاثنين والثلاثة فما فوق أمرك الاثنين: فتقول:
",000,False,000,False,False,False,1,152
"### | ومنه أن يخاطب الواحد بلفظ الجميع:
",000,False,000,False,False,False,1,196
"### | ومنه أن يأتي الفعل على بنية الماضي وهو دائم، أو مستقبل:
",000,False,000,False,False,False,1,144
"### | ومنه أن يجيء المفعول به على لفظ الفاعل:
",000,False,000,False,False,False,1,96
"### | وأن يأتي فعيل بمعنى مفعل:
",000,False,000,False,False,False,1,38
"### | وفعيل، يراد به فاعل ms107:
",000,False,000,False,False,False,1,52
"### | ومنه أن يأتي الفاعل على لفظ المفعول به، وهو قليل:
",000,False,000,False,False,False,1,1169
