string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (نسب نوح وأولاده:) [1]
",000,False,000,False,False,False,1,538
"### | أول من ms0002 تكلم بالعربية
",000,False,000,False,False,False,1,470
"### | (إبراهيم وإسماعيل عليهما السلام) [1] :
",000,False,000,False,False,False,1,844
"### | نسب ولد عدنان بن أدد
",000,False,000,False,False,False,1,3527
"### | وفاة نزار:
",000,False,000,False,False,False,1,332
"### | مضر:
",000,False,000,False,False,False,1,7088
"### | نسب بني هاشم بن عبد مناف بن قصي بن كلاب::
",000,False,000,False,False,False,1,662
"### | قصة الفيل:
",000,False,000,False,False,False,1,1853
"### | يوم ذات نكيف:
",000,False,000,False,False,False,1,345
"### | 136 - حفر زمزم ونذر عبد المطلب:
",000,False,000,False,False,False,1,624
"### | (ولادة النبي عليه السلام) :
",000,False,000,False,False,False,1,1536
"### | (أولاد عبد المطلب) :
",000,False,000,False,False,False,1,813
"### | عبد الله بن عبد المطلب
",000,False,000,False,False,False,1,2017
"### | بناء قريش الكعبة:
",000,False,000,False,False,False,1,433
"### | يوم نخلة
",000,False,000,False,False,False,1,377
"### | يوم شمطة
",000,False,000,False,False,False,1,370
"### | مبعث رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,2715
"### | دعاء رسول الله صلى الله عليه وسلم:
",000,False,000,False,False,False,1,2100
"### | أمر أبي جهل
",000,False,000,False,False,False,1,1392
"### | أمر أبي لهب بن عبد المطلب
",000,False,000,False,False,False,1,287
"### | أمر الأسود بن عبد يغوث بن وهب بن عبد مناف بن زهرة بن كلاب:
",000,False,000,False,False,False,1,170
"### | أمر الحارث بن قيس السهمي
",000,False,000,False,False,False,1,111
"### | أمر الوليد بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة، وأبي أحيحة سعيد بن العاص بن أمية.
",000,False,000,False,False,False,1,1086
"### | وأما أمية وأبي ابنا خلف:
",000,False,000,False,False,False,1,256
"### | (أبو قيس بن الفاكه)
",000,False,000,False,False,False,1,44
"### | العاص بن وائل السهمي
",000,False,000,False,False,False,1,189
"### | النضر بن الحارث العبدري
",000,False,000,False,False,False,1,327
"### | أمر أبي أحيحة
",000,False,000,False,False,False,1,55
"### | النضر بن الحارث. 
",000,False,000,False,False,False,1,235
"### | (النضر بن الحارث)
",000,False,000,False,False,False,1,447
"### | أمر منبه ms0108 ونبيه ابني الحجاج
",000,False,000,False,False,False,1,114
"### | وأما زهير بن أبي أمية
",000,False,000,False,False,False,1,122
"### | وأما عبد الله بن أبي أمية
",000,False,000,False,False,False,1,138
"### | (السائب، والأسود، وعدى، والعاص:
",000,False,000,False,False,False,1,65
"### | أمر أبي البختري العاص بن هاشم (بن الحارث) [2] بن أسد بن عبد العزى بن قصي:
",000,False,000,False,False,False,1,203
"### | أمر عقبة بن أبي معيط:
",000,False,000,False,False,False,1,379
"### | أمر الأسود بن المطلب بن أسد بن عبد العزى
",000,False,000,False,False,False,1,399
"### | وكان ابن [7] الأصداء الهذلي
",000,False,000,False,False,False,1,46
"### | الحكم بن أبي العاص بن أمية
",000,False,000,False,False,False,1,151
"### | عتبة بن ربيعة بن عبد شمس بن عبد مناف
",000,False,000,False,False,False,1,173
"### | شيبة بن ربيعة بن عبد شمس ms0114
",000,False,000,False,False,False,1,227
"### | مطعم بن عدي بن نوفل بن عبد مناف
",000,False,000,False,False,False,1,100
"### | طعيمة بن عدي بن نوفل بن عبد مناف
",000,False,000,False,False,False,1,80
"### | الحارث بن عامر بن نوفل بن عبد مناف:
",000,False,000,False,False,False,1,50
"### | مالك بن الطلاطلة:
",000,False,000,False,False,False,1,128
"### | ركانة بن عبد يزيد
",000,False,000,False,False,False,1,228
"### | هبيرة بن أبي وهب
",000,False,000,False,False,False,1,38
"### | ذكر المستضعفين من أصحاب رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,135
"### | عمار بن ياسر:
",000,False,000,False,False,False,1,4448
"### | خباب بن الأرت
",000,False,000,False,False,False,1,1084
"### | صهيب بن سنان
",000,False,000,False,False,False,1,1006
"### | بلال بن رباح
",000,False,000,False,False,False,1,2249
"### | عامر بن فهيرة
",000,False,000,False,False,False,1,249
"### | أبو فكيهة
",000,False,000,False,False,False,1,144
"### | ولبينة جارية بني المؤمل بن حبيب بن تميم بن عبد الله بن قرط بن رزاح [2] ابن عدي بن كعب.
",000,False,000,False,False,False,1,124
"### | زنيرة:
",000,False,000,False,False,False,1,107
"### | وكانت النهدية
",000,False,000,False,False,False,1,58
"### | وكانت أم عبيس
",000,False,000,False,False,False,1,375
"### | أسماء من هاجر إلى الحبشة من المسلمين،
",000,False,000,False,False,False,1,8454
"### | أمر الشعب والصحيفة:
",000,False,000,False,False,False,1,1941
"### | (سفر الطائف) :
",000,False,000,False,False,False,1,162
"### | (عرض نفسه على القبائل) :
",000,False,000,False,False,False,1,344
"### | أمر العقبة الأولى:
",000,False,000,False,False,False,1,348
"### | تسمية السبعين الذين بايعوا عند العقبة:
",000,False,000,False,False,False,1,3232
"### | أسماء النقباء الاثني عشر:
",000,False,000,False,False,False,1,781
"### | باب في قصة المعراج:
",000,False,000,False,False,False,1,368
"### | أمر الهجرة:
",000,False,000,False,False,False,1,1449
"### | أم معبد:
",000,False,000,False,False,False,1,1983
"### | المؤاخاة:
",000,False,000,False,False,False,1,330
"### | (الصلاة، والقبلة، والصوم، والخمر، وأول المولودين، والصفة) :
",000,False,000,False,False,False,1,423
"### | باب الأذان:
",000,False,000,False,False,False,1,150
"### | أسماء المنافقين من الخزرج:
",000,False,000,False,False,False,1,2501
"### | أسماء عظماء يهود:
",000,False,000,False,False,False,1,712
"### | غزوات رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,22108
"### | سرايا رسول الله صلى الله عليه وسلم:
",000,False,000,False,False,False,1,4000
"### | صفة رسول الله صلى الله عليه وسلم[5] 
",000,False,000,False,False,False,1,930
"### | (تفسير غريب اللغات) :
",000,False,000,False,False,False,1,339
"### | (تفسير غريب اللغات) :
",000,False,000,False,False,False,1,1233
"### | أزواج رسول الله صلى الله عليه وسلم وولده [2] :
",000,False,000,False,False,False,1,14955
"### | فاطمة الكلابية
",000,False,000,False,False,False,1,2831
"### | ذكر موالي رسول الله صلى الله عليه وسلم وخدمه:
",000,False,000,False,False,False,1,9983
"### | لباس رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,422
"### | خيل ms0431 رسول الله صلى الله عليه وسلم وما كان له من الحافر غير الخيل، ومن الخف والظلف:
",000,False,000,False,False,False,1,1322
"### | ذكر ما كان لرسول الله صلى الله عليه وسلم من الغنيمة
",000,False,000,False,False,False,1,1540
"### | سلاح رسول الله صلى الله عليه وسلم:
",000,False,000,False,False,False,1,915
"### | باب في السرير
",000,False,000,False,False,False,1,145
"### | أسماء مؤذني رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,829
"### | أسماء عمال رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,536
"### | (أسماء الرسل إلى الملوك)
",000,False,000,False,False,False,1,79
"### | أسماء كتاب رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,192
"### | ذكر الفواطم والعواتك من جدات رسول الله صلى الله عليه وسلم 
",000,False,000,False,False,False,1,685
"### | ذكر البئار التي كان يستعذب رسول الله صلى الله عليه وسلم منها الماء
",000,False,000,False,False,False,1,752
"### | المحمدون في الجاهلية[1] 
",000,False,000,False,False,False,1,351
"### | أسماء المشبهين برسول الله صلى الله عليه وسلم:
",000,False,000,False,False,False,1,121
"### | قول رسول الله صلى الله عليه وسلم في أبى بكر رضى الله عنه:
",000,False,000,False,False,False,1,833
"### | أمر رسول الله صلى الله عليه وسلم حين بدئ:
",000,False,000,False,False,False,1,6462
"### | غسل رسول الله صلى الله عليه وسلم وتكفينه ودفنه:
",000,False,000,False,False,False,1,2426
"### | أمر السقيفة:
",000,False,000,False,False,False,1,3174
"### | المراثي
",000,False,000,False,False,False,1,506
"### | الجزء الثاني
",000,False,000,False,False,False,1,8
"### | المقدمة [في ترجمة البلاذري]
",000,False,000,False,False,False,1,741
"### | (نسب الزبير بن عبد المطلب) (وقصة حلف الفضول [1]
",000,False,000,False,False,False,1,1489
"### | (نسب أبي طالب) (عم النبي صلى الله عليه وآله وسلم وأخباره)
",000,False,000,False,False,False,1,1206
"### | أحاديث حول فاطمة بنت أسد زوج أبي طالب
",000,False,000,False,False,False,1,423
"### | أسماء ولد أبي طالب وتعدادهم وترجمة مختصرة لطالب بن أبي طالب
",000,False,000,False,False,False,1,354
"### | ترجمة إجمالية لجعفر بن أبي طالب
",000,False,000,False,False,False,1,581
"### | ترجمة عبد الله بن جعفر بن أبي طالب
",000,False,000,False,False,False,1,3041
"### | خبر عبد الله بن معاوية ابن عبد الله بن جعفر
",000,False,000,False,False,False,1,1094
"### | ترجمة إجمالية لعلي بن عبد الله بن جعفر وإخوتها
",000,False,000,False,False,False,1,284
"### | المعقبون من ولد عبد الله بن جعفر
",000,False,000,False,False,False,1,197
"### | ترجمة عقيل بن أبي طالب
",000,False,000,False,False,False,1,1353
"### | مقتل مسلم بن عقيل بن أبي طالب (عليهم السلام)
",000,False,000,False,False,False,1,1962
"### | (قبسات من ترجمة أمير المؤمنين وغرر مناقبه عليه السلام [1] )
",000,False,000,False,False,False,1,238
"### | مؤاخاته مع رسول الله وكونه صاحب اللواء ببدر
",000,False,000,False,False,False,1,130
"### | كونه عليه السلام أول من آمن بالله ورسوله
",000,False,000,False,False,False,1,268
"### | [كونه عليه السلام صاحب راية رسول الله صلى الله عليه وسلم يوم بدر وحديث المنزلة]
",000,False,000,False,False,False,1,377
"### | عرفان المؤمنين بحبه والمنافقين ببغضه
",000,False,000,False,False,False,1,82
"### | كونه عليه السلام أقضى الأمة
",000,False,000,False,False,False,1,134
"### | كونه عليه السلام أكثر أصحاب رسول الله علما
",000,False,000,False,False,False,1,132
"### | [قوله عليه السلام ما نزلت على رسول الله آية إلا وقد علمت فيما نزلت وأين نزلت]
",000,False,000,False,False,False,1,66
"### | [قول عمر لا أبقاني الله لمعضلة ليس لها أبو حسن]
",000,False,000,False,False,False,1,119
"### | [قوله عليه السلام لما أرسلني رسول الله صلى الله عليه وسلم إلى اليمن وضع يده على صدري وقال إن الله سيهدي قلبك]
",000,False,000,False,False,False,1,164
"### | [قوله صلى الله عليه وسلم إن وليتموها عليا فهاد مهتد يقيمكم على طريق مستقيم]
",000,False,000,False,False,False,1,126
