string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,1255
"### | [باب فى فضل الشعر]
",000,False,000,False,False,False,1,902
"### | باب منه [أخبار وأحاديث]
",000,False,000,False,False,False,1,771
"### | باب نوادر من غريب ولغة
",000,False,000,False,False,False,1,656
"### | باب من الشعر
",000,False,000,False,False,False,1,832
"### | باب نذكره فى الجود والكرم
",000,False,000,False,False,False,1,1694
"### | باب من الشعر
",000,False,000,False,False,False,1,896
"### | باب [من الشعر]
",000,False,000,False,False,False,1,882
"### | باب [أخبار وأشعار]
",000,False,000,False,False,False,1,982
"### | باب [من الاخبار المستحسنة]
",000,False,000,False,False,False,1,977
"### | باب مراث بليغة وعظات موجزة وأبيات مستحسنة
",000,False,000,False,False,False,1,1321
"### | باب [فى بعض أخبار المعمرين وأشعار العرب المحدثين فى ذم الشيب وفقد الشباب]
",000,False,000,False,False,False,1,1650
"### | باب شعر وغريب ولغة
",000,False,000,False,False,False,1,895
"### | باب [فى الاحالة بالذنب على غير المذنب]
",000,False,000,False,False,False,1,180
"### | باب [فى] الحلم والأناة
",000,False,000,False,False,False,1,1360
"### | باب الشكر للصنائع
",000,False,000,False,False,False,1,935
"### | باب يشتمل على فصول
",000,False,000,False,False,False,1,4082
"### || فصل فى الحسد
",000,False,000,False,False,False,2,208
"### || فصل فى كتمان السر
",000,False,000,False,False,False,2,275
"### || فصل آخر فى تفضيل الكبير</span>
",000,False,000,False,False,False,2,596
"### || فصل آخر
",000,False,000,False,False,False,2,940
"### || فصل آخر فى الفصاحة
",000,False,000,False,False,False,2,653
"### || فصل آخر فى الجمال</span>
",000,False,000,False,False,False,2,449
