string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- صلاة الجمعة
",000,False,000,False,False,False,1,95
"### | 2- إيجاب الجمعة
",000,False,000,False,False,False,1,141
"### || 2- 
",000,False,000,False,False,False,2,68
"### | 3- بدء المجمعة
",000,False,000,False,False,False,1,44
"### | 4- التشديد فى التخلف عن الجمعة
",000,False,000,False,False,False,1,277
"### || 5- 
",000,False,000,False,False,False,2,43
"### || 6- 
",000,False,000,False,False,False,2,64
"### || 7- 
",000,False,000,False,False,False,2,61
"### || 8- 
",000,False,000,False,False,False,2,71
"### | 5- باب كفارة من ترك الجمعة من غير عذر
",000,False,000,False,False,False,1,91
"### || 10- 
",000,False,000,False,False,False,2,43
"### | 6- (ذكر) فضل يوم الجمعة
",000,False,000,False,False,False,1,53
"### | 7- الأمر بإكثار الصلاة على
",000,False,000,False,False,False,1,94
"### | 8- الأمر بالسواك يوم الجمعة
",000,False,000,False,False,False,1,79
"### | 9- إيجاب الغسل يوم الجمعة
",000,False,000,False,False,False,1,498
"### || 15- 
",000,False,000,False,False,False,2,33
"### || 16- 
",000,False,000,False,False,False,2,41
"### || 17- 
",000,False,000,False,False,False,2,47
"### || 18- 
",000,False,000,False,False,False,2,37
"### || 19- 
",000,False,000,False,False,False,2,33
"### || 20- 
",000,False,000,False,False,False,2,38
"### || 21- 
",000,False,000,False,False,False,2,45
"### || 22- 
",000,False,000,False,False,False,2,44
"### || 23- 
",000,False,000,False,False,False,2,40
"### || 24- 
",000,False,000,False,False,False,2,34
"### || 25- 
",000,False,000,False,False,False,2,26
"### || 26- 
",000,False,000,False,False,False,2,32
"### || 27- 
",000,False,000,False,False,False,2,38
"### | 10- الرخصة في ترك الغسل يوم الجمعة
",000,False,000,False,False,False,1,105
"### || 29- 
",000,False,000,False,False,False,2,44
"### | 11- فضل الغسل
",000,False,000,False,False,False,1,115
"### || 31- 
",000,False,000,False,False,False,2,54
"### | 12- الهيئة للجمعة
",000,False,000,False,False,False,1,253
"### || 33- 
",000,False,000,False,False,False,2,85
"### || 34- 
",000,False,000,False,False,False,2,109
"### | 13- قعود الملائكة يوم الجمعة على باب المسجد
",000,False,000,False,False,False,1,331
"### || 36- 
",000,False,000,False,False,False,2,87
"### || 37- 
",000,False,000,False,False,False,2,53
"### || 38- 
",000,False,000,False,False,False,2,64
"### || 39- 
",000,False,000,False,False,False,2,38
"### || 40- 
",000,False,000,False,False,False,2,59
"### | 15- باب التبكير إلى الجمعة
",000,False,000,False,False,False,1,210
"### || 42- 
",000,False,000,False,False,False,2,84
"### || 43- 
",000,False,000,False,False,False,2,66
"### | 16- وقت الجمعة
",000,False,000,False,False,False,1,274
"### || 45- 
",000,False,000,False,False,False,2,71
"### || 46- 
",000,False,000,False,False,False,2,110
"### || 47- 
",000,False,000,False,False,False,2,45
"### | 17- تأخير الجمعة في الحر
",000,False,000,False,False,False,1,69
"### | 18- الأذان للجمعة
",000,False,000,False,False,False,1,158
"### || 50- 
",000,False,000,False,False,False,2,61
"### || 51- 
",000,False,000,False,False,False,2,56
"### | 19- الصلاة يوم الجمعة (لمن جاء) وقد خرج الامام
",000,False,000,False,False,False,1,53
"### | 20- الصلاة قبل الجمعة والأمام على المنبر
",000,False,000,False,False,False,1,99
"### || 54- 
",000,False,000,False,False,False,2,48
"### | 21- النهى عن تخطي رقاب الناس والإمام
",000,False,000,False,False,False,1,57
"### | 22- الدنو من الامام يوم الجمعة
",000,False,000,False,False,False,1,111
"### || 57- 
",000,False,000,False,False,False,2,53
"### | 23- باب كيفية الخطبة
",000,False,000,False,False,False,1,215
"### || 59- 
",000,False,000,False,False,False,2,143
"### | 24- كم يخطب
",000,False,000,False,False,False,1,35
"### | 25- مقام الإمام في الخطبة
",000,False,000,False,False,False,1,76
"### | 26- قيام الامام في الخطبة
",000,False,000,False,False,False,1,97
"### || 63- 
",000,False,000,False,False,False,2,43
"### | 27- باب حض الإمام في خطبته على الغسل يوم الجمعة
",000,False,000,False,False,False,1,53
"### | 28- الأشارة في الخطبة
",000,False,000,False,False,False,1,89
"### || 66- 
",000,False,000,False,False,False,2,44
"### | 29- تقصير الخطبة
",000,False,000,False,False,False,1,59
"### | 30- الكلام في الخطبة
",000,False,000,False,False,False,1,100
"### || 69- 
",000,False,000,False,False,False,2,44
"### | 31- حث الأمام على الصدقة في خطبته
",000,False,000,False,False,False,1,112
"### | 32- باب ms14 القراءة في الخطبة
",000,False,000,False,False,False,1,48
"### | 33- الجلوس بين الخطبتين
",000,False,000,False,False,False,1,69
"### || 73- 
",000,False,000,False,False,False,2,31
"### | 34- باب السكوت في القعدة بين الخطبتين
",000,False,000,False,False,False,1,65
"### | 35- الانصات للخطبة
",000,False,000,False,False,False,1,275
"### || 76- 
",000,False,000,False,False,False,2,67
"### || 77- 
",000,False,000,False,False,False,2,88
"### || 78- 
",000,False,000,False,False,False,2,47
"### || 79- 
",000,False,000,False,False,False,2,45
"### | 36- فضل الإنصات وترك اللغو
",000,False,000,False,False,False,1,58
"### | 36- كم الخطبة
",000,False,000,False,False,False,1,35
"### | 37- نزول الإمام عن المنبر قبل فراغه من الخطبة وقطعه
",000,False,000,False,False,False,1,85
"### | 38- الكلام والقيام بعد النزول عن المنبر
",000,False,000,False,False,False,1,56
"### | 39- عدد صلاة الجمعة
",000,False,000,False,False,False,1,99
"### || 85- 
",000,False,000,False,False,False,2,61
"### | 40- إذا نفر الناس عن الأمام في صلاة الجمعة فصلاة الإمام
",000,False,000,False,False,False,1,59
"### | 41- القراءة في صلاة الجمعة بسورة الجمعة والمنافقين
",000,False,000,False,False,False,1,145
"### || 88- 
",000,False,000,False,False,False,2,97
"### | 42- القراءة في صلاة الجمعة بشح اسم وبك الأعلى
",000,False,000,False,False,False,1,160
"### || 91- 
",000,False,000,False,False,False,2,52
"### || 92- 
",000,False,000,False,False,False,2,41
"### | 43- من أدرك ركعة من صلاة الجمعة
",000,False,000,False,False,False,1,86
"### || 94- 
",000,False,000,False,False,False,2,33
"### | 44- عدد الصلاة بعد الجمعة في المسجد
",000,False,000,False,False,False,1,66
"### || 96- 
",000,False,000,False,False,False,2,36
"### | 45- صلاة الإمام بعد الجمعة
",000,False,000,False,False,False,1,93
"### || 98- 
",000,False,000,False,False,False,2,34
"### || 99- 
",000,False,000,False,False,False,2,33
"### | 46- باب إطالة الركعتين بعد الجمعة
",000,False,000,False,False,False,1,44
"### | 47- الساعة التي يستجاب فيها الدعاء يوم الجمعة
",000,False,000,False,False,False,1,636
"### || 102- 
",000,False,000,False,False,False,2,57
"### || 103- 
",000,False,000,False,False,False,2,52
"### || 104- 
",000,False,000,False,False,False,2,50
"### || 105- 
",000,False,000,False,False,False,2,19
"### || 106- 
",000,False,000,False,False,False,2,39
"### || 107- 
",000,False,000,False,False,False,2,51
