string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,22
"### | 1- ذكر أسماء الله تبارك وتعالى
",000,False,000,False,False,False,1,90
"### | 2- بسم الله وبالله
",000,False,000,False,False,False,1,231
"### || 2\1 -
",000,False,000,False,False,False,2,49
"### || 3\2 -
",000,False,000,False,False,False,2,58
"### || 4\3 -
",000,False,000,False,False,False,2,49
"### || 5\4 -
",000,False,000,False,False,False,2,44
"### | 3- الله الواحد الأحد الصمد @QB@ لم يلد ولم يولد ولم يكن له كفوا أحد @QE@
",000,False,000,False,False,False,1,233
"### || 7\1 -
",000,False,000,False,False,False,2,77
"### || 8\2 -
",000,False,000,False,False,False,2,57
"### | 4- قوله جل ثناؤه @QB@ الأول والآخر والظاهر والباطن @QE@
",000,False,000,False,False,False,1,192
"### || 10\1 -
",000,False,000,False,False,False,2,82
"### | 5- الرحيم
",000,False,000,False,False,False,1,75
"### | 6- الحميد المجيد
",000,False,000,False,False,False,1,142
"### || 13\1 -
",000,False,000,False,False,False,2,62
"### | 7- الحليم الكريم
",000,False,000,False,False,False,1,64
"### | 8- العظيم الحليم
",000,False,000,False,False,False,1,125
"### || 16\1 -
",000,False,000,False,False,False,2,66
"### | 9- الأعلى
",000,False,000,False,False,False,1,53
"### | 10- العلي العظيم
",000,False,000,False,False,False,1,139
"### || 19\2 -
",000,False,000,False,False,False,2,63
"### | 11- السميع القريب
",000,False,000,False,False,False,1,81
"### | 12- السميع العليم
",000,False,000,False,False,False,1,179
"### || 22\1 -
",000,False,000,False,False,False,2,91
"### | 13- الحي القيوم
",000,False,000,False,False,False,1,65
"### | 14- الحي
",000,False,000,False,False,False,1,68
"### | 15- اللطيف الخبير ms06
",000,False,000,False,False,False,1,206
"### || 27\1 -
",000,False,000,False,False,False,2,79
"### || 28\1 -
",000,False,000,False,False,False,2,40
"### | 17- العزيز الغفار
",000,False,000,False,False,False,1,49
"### | 18- الجبار
",000,False,000,False,False,False,1,143
"### || 31\1 -
",000,False,000,False,False,False,2,85
"### | 19- الرب
",000,False,000,False,False,False,1,66
"### | 20- الملك
",000,False,000,False,False,False,1,70
"### | 21- المليك
",000,False,000,False,False,False,1,99
"### || 35\1 -
",000,False,000,False,False,False,2,32
"### | 22- العزيز
",000,False,000,False,False,False,1,91
"### | 23- المتكبر
",000,False,000,False,False,False,1,90
"### | 24- الخالق
",000,False,000,False,False,False,1,141
"### || 39\1 -
",000,False,000,False,False,False,2,56
"### | 25- فاطر السماوات والأرض
",000,False,000,False,False,False,1,69
"### | 26- السلام
",000,False,000,False,False,False,1,68
"### | 27- المنان
",000,False,000,False,False,False,1,86
"### | 28- الرفيق
",000,False,000,False,False,False,1,42
"### | 29- الحق
",000,False,000,False,False,False,1,108
"### | 30النور
",000,False,000,False,False,False,1,190
"### | 31- السميع
",000,False,000,False,False,False,1,268
"### || 48\1 -
",000,False,000,False,False,False,2,175
"### || 49\1 -
",000,False,000,False,False,False,2,49
"### | 33- الرحمن
",000,False,000,False,False,False,1,192
"### || 51\1 -
",000,False,000,False,False,False,2,69
"### || 52\1 -
",000,False,000,False,False,False,2,62
"### | 36- العفو
",000,False,000,False,False,False,1,41
"### | 37- قوله عز وجل @QB@ ونقلب أفئدتهم وأبصارهم @QE@ مقلب القلوب
",000,False,000,False,False,False,1,42
"### | 38- فالق الحب والنوى
",000,False,000,False,False,False,1,90
"### | 39- عالم الغيب والشهادة
",000,False,000,False,False,False,1,78
"### | 40- ذو الجلال والإكرام
",000,False,000,False,False,False,1,71
"### || 58\1 -
",000,False,000,False,False,False,2,29
"### | 41- ذو العزة
",000,False,000,False,False,False,1,165
"### || 60\1 -
",000,False,000,False,False,False,2,114
"### | 42- السؤال باسماء الله عز وجل وصفاته والاستعاذة بها
",000,False,000,False,False,False,1,111
"### || 62\1 -
",000,False,000,False,False,False,2,36
"### || 63\2 -
",000,False,000,False,False,False,2,28
"### | 43- سبوح قدوس
",000,False,000,False,False,False,1,39
"### | 44- العزة والقدرة
",000,False,000,False,False,False,1,79
"### | 45- العزيز الكريم
",000,False,000,False,False,False,1,55
"### | 46- كلمات الله سبحانه وتعالى
",000,False,000,False,False,False,1,106
"### || 68\1 -
",000,False,000,False,False,False,2,53
"### | 47- قوله جل جلاله @QB@ عالم الغيب فلا يظهر على غيبه أحدا @QE@
",000,False,000,False,False,False,1,67
"### | 48- علام الغيوب
",000,False,000,False,False,False,1,42
"### | 49- قوله تعالى @QB@ تعلم ما في نفسي ولا أعلم ما في نفسك @QE@
",000,False,000,False,False,False,1,82
"### | 50- قوله سبحانه @QB@ كل شيء هالك إلا وجهه @QE@
",000,False,000,False,False,False,1,136
"### || 73\1 -
",000,False,000,False,False,False,2,66
"### | 5- قوله @QB@ ولتصنع على عيني @QE@
",000,False,000,False,False,False,1,468
"### || 75\1 -
",000,False,000,False,False,False,2,63
"### || 76\2 -
",000,False,000,False,False,False,2,58
"### || 77\3 -
",000,False,000,False,False,False,2,54
"### || 78\4 -
",000,False,000,False,False,False,2,74
"### || 79\5 -
",000,False,000,False,False,False,2,73
"### || 80\6 -
",000,False,000,False,False,False,2,79
"### | 52- رحمتي وعذابي
",000,False,000,False,False,False,1,283
"### || 82\1 -
",000,False,000,False,False,False,2,110
"### || 83\1 -
",000,False,000,False,False,False,2,64
"### || 84\2 -
",000,False,000,False,False,False,2,74
"### | 53- الحب والكراهية
",000,False,000,False,False,False,1,155
"### || 86\1 -
",000,False,000,False,False,False,2,52
"### || 87\2 -
",000,False,000,False,False,False,2,46
"### | 54- الحب والبغض
",000,False,000,False,False,False,1,57
"### | 55- الرضا والسخط
",000,False,000,False,False,False,1,149
"### || 90\1 -
",000,False,000,False,False,False,2,62
"### | 56- الرحمة والغضب
",000,False,000,False,False,False,1,109
"### || 92\1 -
",000,False,000,False,False,False,2,58
"### | 57- المعافاة والعقوبة
",000,False,000,False,False,False,1,1915
"### || 94\1 -
",000,False,000,False,False,False,2,74
"### || 95\2 -
",000,False,000,False,False,False,2,56
"### || 96\3 -
",000,False,000,False,False,False,2,40
"### || 97\4 -
",000,False,000,False,False,False,2,87
"### || 98\5 -
",000,False,000,False,False,False,2,44
"### || 99\6 -
",000,False,000,False,False,False,2,61
"### || 100\7 -
",000,False,000,False,False,False,2,60
"### || 101\8 -
",000,False,000,False,False,False,2,60
"### || 102\1 -
",000,False,000,False,False,False,2,45
"### || 103\2 -
",000,False,000,False,False,False,2,80
"### || 104\3 -
",000,False,000,False,False,False,2,57
"### || 105\4 -
",000,False,000,False,False,False,2,75
"### || 106\5 -
",000,False,000,False,False,False,2,59
"### || 107\6 -
",000,False,000,False,False,False,2,80
"### || 108\1 -
",000,False,000,False,False,False,2,52
"### || 109\1 -
",000,False,000,False,False,False,2,55
