string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة]
",000,False,000,False,False,False,1,813
"### || 
",000,False,000,False,False,False,2,267
"### || 
",000,False,000,False,False,False,2,207
"### || 
",000,False,000,False,False,False,2,38
"### | ( ذكر ما جاء في التشديد فيمن ولي القضاء بين الناس ) ( وأن من وليه فقد ذبح بغير سكين )
",000,False,000,False,False,False,1,1193
"### | ( التشديد في القضاء ) ( ما روى في أن القضاة ثلاثة فقاضيان في النار وقاض في الجنة )
",000,False,000,False,False,False,1,821
"### | ( باب في التشديد )
",000,False,000,False,False,False,1,2498
"### || 
",000,False,000,False,False,False,2,258
"### || ( نصيحة لرسول عليه السلام لأبي ذر )
",000,False,000,False,False,False,2,68
"### || ( رأى على في القضاء )
",000,False,000,False,False,False,2,58
"### || ( أول من يدعى يوم القيامة للحساب القضاة )
",000,False,000,False,False,False,2,51
"### || ( ما أخذ على القضاة من عهد )
",000,False,000,False,False,False,2,53
"### || ( قول ابن عتبة وقد دعى للقضاء )
",000,False,000,False,False,False,2,87
"### || ( رأى جابر بن زيد في تولية القضاء )
",000,False,000,False,False,False,2,63
"### || ( أعلم الناس بالقضاء أشدهم كراهة له )
",000,False,000,False,False,False,2,50
"### || ( قول أبي قلابة عندما دعى للقضاء ) ( رأي رجاء بن حيوة في ولاية القضاء )
",000,False,000,False,False,False,2,167
"### || ( رأي مكحول )
",000,False,000,False,False,False,2,55
"### || ( رأي المسيب )
",000,False,000,False,False,False,2,42
"### || ( نصيحة الفضيل ابن عياض لمن ولى القضاء )
",000,False,000,False,False,False,2,33
"### || ( نصيحة ابن شبرمة )
",000,False,000,False,False,False,2,37
"### || ( حيلة رجل للتخلص من القضاء )
",000,False,000,False,False,False,2,78
"### || ( امتناع ابن حبيب السهمي عن قضاء الأبلة )
",000,False,000,False,False,False,2,100
"### || ( امتناع أبي حنيفة عن تولي القضاء )
",000,False,000,False,False,False,2,74
"### || ( إباء خالد بن أبي عمران عن ولاية القضاء )
",000,False,000,False,False,False,2,121
"### || ( دعوة الرشيد ثلاثة من العلماء ليوليهم القضاء )
",000,False,000,False,False,False,2,77
"### || ( قصة رجل سجن في الشطارة ثم سجن لامتناعه عن القضاء )
",000,False,000,False,False,False,2,55
"### || ( جلد ابن الدراوردى لامتناعه ms015 عن القضاء )
",000,False,000,False,False,False,2,38
"### || ( قصة قاضي من بني إسرائيل )
",000,False,000,False,False,False,2,116
"### || ( رأي ابن عباس في قوله تعالى وألقينا على كرسيه جسدا )
",000,False,000,False,False,False,2,60
"### || ( قصة امرأة سليمان عليه السلام )
",000,False,000,False,False,False,2,52
"### || ( قصة قاض من بني إسرائيل )
",000,False,000,False,False,False,2,74
"### || ( قصة داود لما أمر بالقضاء )
",000,False,000,False,False,False,2,48
"### || ( كلمة عمر في تخويف القضاة )
",000,False,000,False,False,False,2,94
"### || ( التسوية بن الخصوم )
",000,False,000,False,False,False,2,127
"### || ( جزاء من يكون في قضائه خلاف )
",000,False,000,False,False,False,2,59
"### || ( تفسير ابن عباس لقوله تعالى كونوا قوامين بالقسط )
",000,False,000,False,False,False,2,45
"### || ( حكمة لعلي رضي الله عنه في القاضي الظلوم الجهول )
",000,False,000,False,False,False,2,185
"### || ( كلمة معاذ بن جبل في القاضي الجاهل )
",000,False,000,False,False,False,2,117
"### | ( ما جاء في القاضي يحكم بالهوى )
",000,False,000,False,False,False,1,1536
"### || ( القاضي يحكم بالجور )
",000,False,000,False,False,False,2,363
"### || ( أخذ حق الضعيف من القوي )
",000,False,000,False,False,False,2,184
"### | ( ما جاء في الرشوة في الحكم )
",000,False,000,False,False,False,1,2229
"### || ( جزاء الراشي والمرتشي )
",000,False,000,False,False,False,2,604
"### || ( ما يصيب الناس عند ظهور الرشوة )
",000,False,000,False,False,False,2,64
"### || ( بابان من السحت يأكلهما الناس )
",000,False,000,False,False,False,2,118
"### || ( السحت هو الرشوة في الحكم )
",000,False,000,False,False,False,2,475
"### || ( طريق أخذ الرشوة في بني إسرائيل )
",000,False,000,False,False,False,2,58
"### || ( أخذ الرشوة يطمس ms029 البصر )
",000,False,000,False,False,False,2,117
"### || ( عمر ومن كان يهدي إليه )
",000,False,000,False,False,False,2,138
"### || ( بيتان كتب بهما عبد الملك في قاض ارتشى )
",000,False,000,False,False,False,2,53
"### || ( قصة ابن اللتبية ) ( خطبة الرسول عليه السلام ms030 )
",000,False,000,False,False,False,2,260
"### | ( باب القضاء والأعمال يستعان عليها بالشفاعات )
",000,False,000,False,False,False,1,1034
"### | ( ما جاء فيمن استعمل رجلا وفي الناس من هو أعلم منه أو استعمل رجلا فاجرا )
",000,False,000,False,False,False,1,274
"### | ( صفة القضاة ومن ينبغي أن يستعمل على القضاء ) ( وما ينبغي للقاضي أن يعمل إذا تقلد القضاء )
",000,False,000,False,False,False,1,1392
"### || ( ما ينبغي أن يكون في القاضي من خصال )
",000,False,000,False,False,False,2,50
"### || ( كتاب عمر بن الخطاب لأبي موسى الأشعري )
",000,False,000,False,False,False,2,288
"### || ( كتاب عمر لمعاوية )
",000,False,000,False,False,False,2,98
"### || ( لا يصلح بين الخصوم إذا تبين له القضاء )
",000,False,000,False,False,False,2,44
"### || ( من أغلق بابه دون ذوى الحاجة )
",000,False,000,False,False,False,2,64
"### || ( وجوب القضاء بما في كتاب الله )
",000,False,000,False,False,False,2,62
"### || ( لا يستقضى إلا ذو المال والحسب )
",000,False,000,False,False,False,2,716
"### | ( ما جاء في ألا يقضي القاضي وهو غضبان )
",000,False,000,False,False,False,1,400
"### || ( لا يقضي القاضي بين اثنين وهو غضبان )
",000,False,000,False,False,False,2,261
"### | ( ذكر قضاة رسول الله صلى الله عليه وسلم )
",000,False,000,False,False,False,1,2787
"### || ( علي بن أبي طالب صلوات الله عليه )
",000,False,000,False,False,False,2,2133
"### ||| ( بعث علي رضي الله عنه إلى اليمن )
",000,False,000,False,False,False,3,735
"### ||| ( علي أقضى الأمة )
",000,False,000,False,False,False,3,382
"### | ( ذكر القضاة بعد رسول الله صلى الله عليه وسلم في الأمصار وما تأدى إلينا من أخبارهم ) ( وطرف من قضايا من كان مشهورا بالقضايا منهم ) ( عهد أبي بكر الصديق رضي الله عنه )
",000,False,000,False,False,False,1,492
"### || ( قضاء أبي بكر في الأذن المقطوعة )
",000,False,000,False,False,False,2,235
"### || ( عمال أبي بكر عندما استخلف )
",000,False,000,False,False,False,2,162
"### | ( قضاة عمر بن الخطاب )
",000,False,000,False,False,False,1,807
"### || ( هل اتخذ رسول الله والخلفاء من بعده قضاة )
",000,False,000,False,False,False,2,54
"### || ( السائب بن يزيد يقضي في عهد عمر )
",000,False,000,False,False,False,2,96
"### || ( لا يأخذ أحد مال صاحبه لاعبا ولا جادا )
",000,False,000,False,False,False,2,162
"### | ( ذكر القضاة على عهد عثمان بن عفان )
",000,False,000,False,False,False,1,125
"### | ( ذكر قضاة بني أمية بالمدينة )
",000,False,000,False,False,False,1,13811
"### || ( أبو هريرة )
",000,False,000,False,False,False,2,256
"### ||| ( قضاء أبي هريرة في قذف )
",000,False,000,False,False,False,3,76
"### ||| ( قضاء أبي هريرة في دين )
",000,False,000,False,False,False,3,126
"### || ( عبد الله بن الحارث بن نوفل بن الحارث بن عبد المطلب ) ( ويقال عبد الله بن نوفل بن الحارث )
",000,False,000,False,False,False,2,475
"### ||| ( أول قاض بالمدينة )
",000,False,000,False,False,False,3,294
"### || ( ثم أبو سلمة بن عبد الرحمن بن عوف )
",000,False,000,False,False,False,2,365
"### ||| ( استقضاء أبي سلمة ابن عبد الرحمن ابن عوف )
",000,False,000,False,False,False,3,91
"### ||| ( أبو سلمة يزعم أنه أفقه الناس )
",000,False,000,False,False,False,3,85
"### ||| ( أبو سلمة وابن عمر في عصريهما )
",000,False,000,False,False,False,3,119
"### || ( ثم مصعب بن عبد الرحمن بن عوف )
",000,False,000,False,False,False,2,131
"### || ( ثم عمرو بن عبد بن زمعة بن الأسود ) ( من بني عامر بن لؤي )
",000,False,000,False,False,False,2,93
"### || ( ثم طلحة بن عبد الله بن عوف )
",000,False,000,False,False,False,2,327
"### || ( ثم عمرو بن عبيد )
",000,False,000,False,False,False,2,236
"### || ( ثم عبد الله بن قيس بن مخرمة ابن عبد المطلب بن عبد مناف )
",000,False,000,False,False,False,2,161
"### || ( ثم نوفل بن مساحق )
",000,False,000,False,False,False,2,584
"### ||| ( صلة الرحم )
",000,False,000,False,False,False,3,77
"### ||| ( أربى الربا )
",000,False,000,False,False,False,3,51
"### ||| ( عزم الرسول على إخراج اليهود من المدينة )
",000,False,000,False,False,False,3,68
"### ||| ( قصة لنوفل بن مروان )
",000,False,000,False,False,False,3,98
"### ||| ( نوفل يقيد بعض العبيد من بعض )
",000,False,000,False,False,False,3,34
