string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,67
"### | [ص: 92]
",000,False,000,False,False,False,1,180
"### | [ص: 93]
",000,False,000,False,False,False,1,105
"### | 2- 
",000,False,000,False,False,False,1,70
"### | 3- 
",000,False,000,False,False,False,1,76
"### | 4- 
",000,False,000,False,False,False,1,40
"### | 5- 
",000,False,000,False,False,False,1,30
"### | [ص: 98]
",000,False,000,False,False,False,1,20
"### | 6- 
",000,False,000,False,False,False,1,29
"### | 7- 
",000,False,000,False,False,False,1,35
"### | 8- 
",000,False,000,False,False,False,1,44
"### | 9- 
",000,False,000,False,False,False,1,42
"### | [ص: 101]
",000,False,000,False,False,False,1,50
"### | 10- 
",000,False,000,False,False,False,1,43
"### | [ص: 102]
",000,False,000,False,False,False,1,14
"### | 11- 
",000,False,000,False,False,False,1,43
"### | 12- 
",000,False,000,False,False,False,1,41
"### | 13- 
",000,False,000,False,False,False,1,26
"### | 14- 
",000,False,000,False,False,False,1,21
"### | [ص: 104]
",000,False,000,False,False,False,1,39
"### | 15- 
",000,False,000,False,False,False,1,34
"### | [ص: 105]
",000,False,000,False,False,False,1,26
"### | 16- 
",000,False,000,False,False,False,1,92
"### | 17- 
",000,False,000,False,False,False,1,71
"### | 18- 
",000,False,000,False,False,False,1,26
"### | [ص: 107]
",000,False,000,False,False,False,1,44
"### | 19- 
",000,False,000,False,False,False,1,69
"### | 20- 
",000,False,000,False,False,False,1,62
"### | 21- 
",000,False,000,False,False,False,1,47
"### | 22- 
",000,False,000,False,False,False,1,51
"### | [ص: 110]
",000,False,000,False,False,False,1,46
"### | 23- 
",000,False,000,False,False,False,1,101
"### | 24- 
",000,False,000,False,False,False,1,24
"### | 25- 
",000,False,000,False,False,False,1,43
"### | 26- 
",000,False,000,False,False,False,1,38
"### | 27- 
",000,False,000,False,False,False,1,36
"### | 28- 
",000,False,000,False,False,False,1,37
"### | 29- 
",000,False,000,False,False,False,1,42
"### | 30- 
",000,False,000,False,False,False,1,93
"### | [ص: 114]
",000,False,000,False,False,False,1,81
"### | 31- 
",000,False,000,False,False,False,1,87
"### | 32- 
",000,False,000,False,False,False,1,49
"### | 33- 
",000,False,000,False,False,False,1,77
"### | 34- 
",000,False,000,False,False,False,1,83
"### | 35- 
",000,False,000,False,False,False,1,61
"### | 36- 
",000,False,000,False,False,False,1,52
"### | 37- 
",000,False,000,False,False,False,1,83
"### | 38- 
",000,False,000,False,False,False,1,77
"### | 39- 
",000,False,000,False,False,False,1,27
"### | 40- 
",000,False,000,False,False,False,1,37
"### | [ص: 120]
",000,False,000,False,False,False,1,17
"### | 41- 
",000,False,000,False,False,False,1,41
"### | 42- 
",000,False,000,False,False,False,1,104
"### | 43- 
",000,False,000,False,False,False,1,44
"### | 44- 
",000,False,000,False,False,False,1,45
"### | 45- 
",000,False,000,False,False,False,1,27
"### | [ص: 123]
",000,False,000,False,False,False,1,30
"### | 46- 
",000,False,000,False,False,False,1,29
"### | 47- 
",000,False,000,False,False,False,1,19
"### | 48- 
",000,False,000,False,False,False,1,39
"### | 49- 
",000,False,000,False,False,False,1,39
"### | 50- 
",000,False,000,False,False,False,1,27
"### | 51- 
",000,False,000,False,False,False,1,55
"### | [ص: 125]
",000,False,000,False,False,False,1,55
"### | 52- 
",000,False,000,False,False,False,1,32
"### | 53- 
",000,False,000,False,False,False,1,54
"### | 54- 
",000,False,000,False,False,False,1,43
"### | 55- 
",000,False,000,False,False,False,1,58
"### | 56- 
",000,False,000,False,False,False,1,73
