string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,147
"### | من البيان سحرا، وإن من الشعر حكما، وإن من القول عيالا، وإن من طلب العلم 
",000,False,000,False,False,False,1,17
"### | 2 - 
",000,False,000,False,False,False,1,31
"### | «أقاد من خدش»
",000,False,000,False,False,False,1,3
"### | 3 - 
",000,False,000,False,False,False,1,50
"### | : «من استطاع منكم الباءة فليتزوج، ومن لم يستطع فعليه بالصوم؛ فإن الصوم له 
",000,False,000,False,False,False,1,13
"### | 4 - 
",000,False,000,False,False,False,1,28
"### | 
",000,False,000,False,False,False,1,0
"### | يطوف على نسائه في غسل واحد»
",000,False,000,False,False,False,1,7
"### | 5 - 
",000,False,000,False,False,False,1,34
"### | يطوف على نسائه في غسل واحد»
",000,False,000,False,False,False,1,7
"### | 6 - 
",000,False,000,False,False,False,1,40
"### | يطوف على نسائه هذه في غسل واحد»
",000,False,000,False,False,False,1,8
"### | 7 - 
",000,False,000,False,False,False,1,40
"### | 
",000,False,000,False,False,False,1,0
"### | : "" لقنوا موتاكم: لا إله إلا الله ""
",000,False,000,False,False,False,1,8
"### | 8 - 
",000,False,000,False,False,False,1,44
"### | : "" لقنوا موتاكم: لا إله إلا الله ""
",000,False,000,False,False,False,1,8
"### | 9 - 
",000,False,000,False,False,False,1,46
"### | : "" ألا قلت: لا إله إلا الله فتنكل به ""
",000,False,000,False,False,False,1,10
"### | 10 - 
",000,False,000,False,False,False,1,26
"### | : «رددتموه علي حتى صار في فمي أمر من العلقم»
",000,False,000,False,False,False,1,9
"### | 11 - 
",000,False,000,False,False,False,1,33
"### | : «من أتى الجمعة فليغتسل»
",000,False,000,False,False,False,1,4
"### | 12 - 
",000,False,000,False,False,False,1,35
"### | : «لله عتقاء عند كل فطر» أخبرنا علي بن الحسين، أخبرنا أبو عروبة الحسين بن محمد، حدثنا إسحاق 
",000,False,000,False,False,False,1,43
"### | 13 - 
",000,False,000,False,False,False,1,41
"### | : «لا يقص على الناس إلا أمير أو مأمور أو مراء»
",000,False,000,False,False,False,1,10
"### | 14 - 
",000,False,000,False,False,False,1,34
"### | أنا رحمة مهداة»
",000,False,000,False,False,False,1,4
"### | 15 - 
",000,False,000,False,False,False,1,46
"### | : «لا تحل الصدقة لغني، ولا لذي مرة سوي»
",000,False,000,False,False,False,1,8
