string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK كتاب الوضوء
",000,False,000,False,False,False,1,569
"### || AUTO باب: ما أجمعوا عليه في الماء
",000,False,000,False,False,False,2,133
"### || AUTO باب
",000,False,000,False,False,False,2,207
"### | AUTO كتاب الصلاة
",000,False,000,False,False,False,1,514
"### | AUTO كتاب اللباس
",000,False,000,False,False,False,1,78
"### | AUTO 
",000,False,000,False,False,False,1,1
"### | AUTO كتاب الجنائز
",000,False,000,False,False,False,1,98
"### | AUTO كتاب الزكاة
",000,False,000,False,False,False,1,549
"### | AUTO كتاب الصيام والاعتكاف
",000,False,000,False,False,False,1,173
"### | AUTO كتاب الحج
",000,False,000,False,False,False,1,1389
"### | AUTO كتاب الجهاد
",000,False,000,False,False,False,1,330
"### | AUTO كتاب القضاة
",000,False,000,False,False,False,1,107
"### | AUTO كتاب الدعوى والبينات
",000,False,000,False,False,False,1,134
"### | AUTO كتاب الشهادات وأحكامها
",000,False,000,False,False,False,1,314
"### | AUTO كتاب الفرائض
",000,False,000,False,False,False,1,963
"### | AUTO كتاب الولاء
",000,False,000,False,False,False,1,117
"### | AUTO كتاب الوصايا
",000,False,000,False,False,False,1,239
"### | AUTO كتاب النكاح
",000,False,000,False,False,False,1,754
"### | AUTO كتاب الطلاق
",000,False,000,False,False,False,1,534
"### | AUTO كتاب الخلع
",000,False,000,False,False,False,1,67
"### | AUTO كتاب الإيلاء
",000,False,000,False,False,False,1,42
"### | AUTO كتاب الظهار
",000,False,000,False,False,False,1,168
"### | AUTO كتاب اللعان
",000,False,000,False,False,False,1,72
"### | AUTO كتاب العدة
",000,False,000,False,False,False,1,297
"### | AUTO كتاب الإحداد
",000,False,000,False,False,False,1,118
"### | AUTO كتاب المتعة
",000,False,000,False,False,False,1,8
"### | AUTO كتاب الرجعة
",000,False,000,False,False,False,1,114
"### | AUTO كتاب البيوع
",000,False,000,False,False,False,1,676
"### | AUTO كتاب الشفعة
",000,False,000,False,False,False,1,70
"### | AUTO كتاب الشركة
",000,False,000,False,False,False,1,113
"### | AUTO كتاب الرهن
",000,False,000,False,False,False,1,194
"### | AUTO كتاب المضاربة
",000,False,000,False,False,False,1,140
"### | AUTO كتاب الحوالة والكفالة
",000,False,000,False,False,False,1,42
"### | AUTO كتاب الحجر
",000,False,000,False,False,False,1,51
"### | AUTO كتاب التفليس
",000,False,000,False,False,False,1,38
"### | AUTO كتاب المزارعة وكتاب المساقاة
",000,False,000,False,False,False,1,47
"### | AUTO كتاب الاستبراء
",000,False,000,False,False,False,1,62
"### | AUTO كتاب الإجارات
",000,False,000,False,False,False,1,164
"### | AUTO كتاب الوديعة
",000,False,000,False,False,False,1,125
"### | AUTO كتاب اللقطة
",000,False,000,False,False,False,1,11
"### | AUTO كتاب العارية
",000,False,000,False,False,False,1,34
"### | AUTO كتاب اللقيط
",000,False,000,False,False,False,1,76
"### | AUTO كتاب الآبق
",000,False,000,False,False,False,1,17
"### | AUTO كتاب المكاتب
",000,False,000,False,False,False,1,226
"### | AUTO كتاب المدبر
",000,False,000,False,False,False,1,133
"### | AUTO كتاب أمهات الأولاد
",000,False,000,False,False,False,1,69
"### | AUTO كتاب الهبات والعطايا والهدايا
",000,False,000,False,False,False,1,134
"### | AUTO كتاب العمرى والرقبى
",000,False,000,False,False,False,1,8
"### | AUTO كتاب الأيمان والنذور
",000,False,000,False,False,False,1,178
"### | AUTO كتاب أحكام السراق
",000,False,000,False,False,False,1,273
"### | AUTO كتاب الحدود
",000,False,000,False,False,False,1,1024
"### | AUTO كتاب إثبات دية الخطأ
",000,False,000,False,False,False,1,215
"### | AUTO كتاب القسامة
",000,False,000,False,False,False,1,23
"### | AUTO كتاب المرتد
",000,False,000,False,False,False,1,184
"### | AUTO كتاب العتق
",000,False,000,False,False,False,1,232
"### | AUTO كتاب الأطعمة والأشربة
",000,False,000,False,False,False,1,110
"### | AUTO كتاب قتال أهل البغي
",000,False,000,False,False,False,1,29
"### | AUTO كتاب الساحر والساحرة
",000,False,000,False,False,False,1,15
"### | AUTO كتاب القسمة
",000,False,000,False,False,False,1,162
"### | AUTO كتاب الوكالة
",000,False,000,False,False,False,1,82
"### | AUTO كتاب الوكالة
",000,False,000,False,False,False,1,7930
