string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,26
"### | باب العقل والهوى
",000,False,000,False,False,False,1,6
"### | أعوان العقل خمسون
",000,False,000,False,False,False,1,117
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير العقل
",000,False,000,False,False,False,1,215
"### | تفسير الفهم وضده الوهم
",000,False,000,False,False,False,1,8
"### | باب تفسير الفهم
",000,False,000,False,False,False,1,100
"### | تفسير البصر وضده العصيان
",000,False,000,False,False,False,1,8
"### | باب تفسير البصر
",000,False,000,False,False,False,1,208
"### | تفسير المعرفة
",000,False,000,False,False,False,1,4
"### | باب تفسير المعرفة
",000,False,000,False,False,False,1,68
"### | تفسير اليقين وضده الشك والتحير
",000,False,000,False,False,False,1,10
"### | باب تفسير اليقين
",000,False,000,False,False,False,1,15
"### | علامات المؤمن ثلاث
",000,False,000,False,False,False,1,131
"### | تفسير الفقه وضده التحير
",000,False,000,False,False,False,1,8
"### | باب تفسير الفقه
",000,False,000,False,False,False,1,149
"### | تفسير الوقف وضده التعجيل
",000,False,000,False,False,False,1,8
"### | باب تفسير الوقف
",000,False,000,False,False,False,1,64
"### | علامات الواقف ثلاث
",000,False,000,False,False,False,1,322
"### | تفسير الحلم وضده ms05 الحدة
",000,False,000,False,False,False,1,8
"### | باب تفسير الحلم
",000,False,000,False,False,False,1,118
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الإلهام
",000,False,000,False,False,False,1,117
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الإخلاص
",000,False,000,False,False,False,1,237
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير التواضع
",000,False,000,False,False,False,1,224
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير السخاوة
",000,False,000,False,False,False,1,206
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الصواب
",000,False,000,False,False,False,1,164
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير النصيحة
",000,False,000,False,False,False,1,193
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الحسبة
",000,False,000,False,False,False,1,156
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير النية
",000,False,000,False,False,False,1,161
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الشفقة
",000,False,000,False,False,False,1,138
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير المداراة
",000,False,000,False,False,False,1,161
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الورع
",000,False,000,False,False,False,1,170
"### | 
",000,False,000,False,False,False,1,0
"### | تفسير الشكر
",000,False,000,False,False,False,1,117
