string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (مقدمة)
",000,False,000,False,False,False,1,16050
"### || ذكر الحث على لزوم سنن المصطفى صلى الله عليه وسلم 
",000,False,000,False,False,False,2,667
"### || ذكر الحث على نشر العلم إذ هو من خير ما يخلف المرء بعده 
",000,False,000,False,False,False,2,63
"### || ذكر الخبر الدال على استحباب حفظ تاريخ المحدثين
",000,False,000,False,False,False,2,696
"### || ذكر مولد رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,2,700
"### || ذكر نسب سيد ولد آدم وأول من تنشق الأرض عنه يوم القيامة صلى الله عليه وسلم 
",000,False,000,False,False,False,2,2469
"### || (ذكر خروج النبي صلى الله عليه وسلم إلى الشام)
",000,False,000,False,False,False,2,730
"### || (ذكر تفضل الله على رسوله المصطفى صلى الله عليه وسلم بالكرامة والنبوة ms0020 بين خلق آدم ونفخ الروح) فيه 
",000,False,000,False,False,False,2,74
"### || (ذكر صفة بدء الوحي على رسول الله صلى الله عليه وسلم)
",000,False,000,False,False,False,2,896
"### || وفشا ذكر الإسلام بمكة 
",000,False,000,False,False,False,2,3342
"### || (ذكر عرض رسول الله صلى الله عليه وسلم نفسه على القبائل)
",000,False,000,False,False,False,2,1336
"### || (ذكر بيعة العقبة الأولى ms0040)
",000,False,000,False,False,False,2,826
"### || وأول جمعة جمعت بالمدينة 
",000,False,000,False,False,False,2,54
"### || (ذكر الإسراء برسول الله صلى الله عليه وسلم ليلة المعراج)
",000,False,000,False,False,False,2,931
"### || (ذكر بيعة الأنصار بالعقبة الآخرة رسول الله) صلى الله عليه وسلم 
",000,False,000,False,False,False,2,1331
"### | 
",000,False,000,False,False,False,1,1974
"### || (ذكر قدوم النبي صلى الله عليه وسلم المدينة)
",000,False,000,False,False,False,2,1666
"### || 
",000,False,000,False,False,False,2,113
"### || 
",000,False,000,False,False,False,2,108
"### | (السنة الثانية من الهجرة)
",002,year,000,False,002,352,1,9286
"### || 
",000,False,000,False,False,False,2,88
"### || 
",000,False,000,False,False,False,2,167
"### || 
",000,False,000,False,False,False,2,429
"### || 
",000,False,000,False,False,False,2,181
"### || ثم كانت غزوة بدر 
",000,False,000,False,False,False,2,7820
"### || ثم كانت غزوة بني قينقاع 
",000,False,000,False,False,False,2,235
"### | (السنة ms0097 الثالثة من الهجرة)
",003,year,000,False,003,351,1,3281
"### || ثم كانت سرية الفردة 
",000,False,000,False,False,False,2,323
"### | (السنة الرابعة من الهجرة)
",004,year,000,False,004,350,1,1678
"### || (- ثم كانت غزوة الرجيع) في صفر 
",000,False,000,False,False,False,2,37
"### || (- ثم كانت غزوة بني النضير)
",000,False,000,False,False,False,2,611
"### || 
",000,False,000,False,False,False,2,73
"### || ثم كانت بجدر الموعد 
",000,False,000,False,False,False,2,297
"### | (السنة الخامسة من الهجرة)
",005,year,000,False,005,349,1,4044
"### || 
",000,False,000,False,False,False,2,1429
"### || (- ثم كانت غزوة ذات الرقاع)
",000,False,000,False,False,False,2,243
"### || (- ثم كانت غزوة دومة الجندل)
",000,False,000,False,False,False,2,315
"### || ثم غزا رسول الله صلى الله عليه وسلم غزوة المريسيع 
",000,False,000,False,False,False,2,105
"### || (ثم غزا ms0122 رسول الله صلى الله عليه وسلم غزوة الخندق)
",000,False,000,False,False,False,2,152
"### || وخرجت قريش 
",000,False,000,False,False,False,2,59
"### || وأقبلت قريش 
",000,False,000,False,False,False,2,956
"### || (غزوة بني قريظة)
",000,False,000,False,False,False,2,693
"### | (السنة السادسة من الهجرة)
",006,year,000,False,006,348,1,3998
"### || 
",000,False,000,False,False,False,2,203
"### || 
",000,False,000,False,False,False,2,57
"### || 
",000,False,000,False,False,False,2,89
"### || 
",000,False,000,False,False,False,2,75
"### || 
",000,False,000,False,False,False,2,73
"### || 
",000,False,000,False,False,False,2,72
"### || 
",000,False,000,False,False,False,2,23
"### || 
",000,False,000,False,False,False,2,100
"### || 
",000,False,000,False,False,False,2,46
"### || 
",000,False,000,False,False,False,2,255
"### || 
",000,False,000,False,False,False,2,1159
"### || (ثم كانت غزوة الحديبية)
",000,False,000,False,False,False,2,1169
"### | (السنة السابعة من الهجرة)
",007,year,000,False,007,347,1,3107
"### || ثم كانت غزوة خيبر 
",000,False,000,False,False,False,2,755
"### | السنة الثامنة من الهجرة 
",008,year,000,False,008,346,1,5980
"### | السنة التاسعة من الهجرة 
",009,year,000,False,009,345,1,4812
"### | السنة العاشرة للهجرة 
",010,year,000,False,010,344,1,5841
"### || (ذكر وفاة رسول الله)
",000,False,000,False,False,False,2,2559
"### | استخلاف أبي بكر بن أبي قحافة الصديق رضي الله عنه 
",000,False,000,False,False,False,1,6542
"### || 
",000,False,000,False,False,False,2,5390
"### | استخلاف عمر بن الخطاب رضي الله عنه 
",000,False,000,False,False,False,1,8210
"### || 
",000,False,000,False,False,False,2,347
"### || 
",000,False,000,False,False,False,2,233
"### || 
",000,False,000,False,False,False,2,1213
"### || 
",000,False,000,False,False,False,2,489
"### || 
",000,False,000,False,False,False,2,287
"### || 
",000,False,000,False,False,False,2,200
"### || 
",000,False,000,False,False,False,2,717
"### || 
",000,False,000,False,False,False,2,1779
"### || 
",000,False,000,False,False,False,2,103
"### | استخلاف عثمان بن عفان رضى اللع تعالى عنه 
",000,False,000,False,False,False,1,3733
"### || 
",000,False,000,False,False,False,2,173
"### || فلما دخلت السنة السادسة والعشرون 
",026,year,000,False,026,328,2,374
"### || فلما دخلت السنة السابعة والعشرون 
",027,year,000,False,027,327,2,122
"### || فلما دخلت السنة الثامنة والعشرون 
",028,year,000,False,028,326,2,158
"### || فلما دخلت السنة التاسعة والعشرون 
",029,year,000,False,029,325,2,188
"### || وفي السنة الثلاثين 
",030,year,000,False,030,324,2,166
"### || وفي السنة الحادية والثلاثين 
",031,year,000,False,031,323,2,185
"### || وفي السنة الثانية والثلاثين
",032,year,000,False,032,322,2,95
"### || وفي السنة الثالثة والثلاثين 
",033,year,000,False,033,321,2,103
"### || وفي السنة الرابعة والثلاثين 
",034,year,000,False,034,320,2,96
"### | استخلاف علي بن أبي طالب رضي الله عنه 
",000,False,000,False,False,False,1,6396
"### || فلما دخلت السنة السادسة والثلاثون
",036,year,000,False,036,318,2,1211
"### || فلما دخلت السنة السابعة والثلاثون 
",037,year,000,False,037,317,2,1643
"### || فلما دخلت السنة الثامنة والثلاثون 
",038,year,000,False,038,316,2,243
"### || فلما دخلت السنة التاسعة والثلاثون 
",039,year,000,False,039,315,2,386
