string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,53
"### | العشرة 
",000,False,000,False,False,False,1,92
"### | نسبة أبي بكر الصديق "" واسمه رضي الله عنه: أبو بكر عبد الله بن عثمان بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة ""
",000,False,000,False,False,False,1,28
"### | 1 - 
",000,False,000,False,False,False,1,110
"### | 2 - 
",000,False,000,False,False,False,1,44
"### | 3 - 
",000,False,000,False,False,False,1,81
"### | 4 - 
",000,False,000,False,False,False,1,32
"### | 5 - 
",000,False,000,False,False,False,1,44
"### | 6 - 
",000,False,000,False,False,False,1,59
"### | 7 - 
",000,False,000,False,False,False,1,44
"### | 8 - 
",000,False,000,False,False,False,1,38
"### | 9 - 
",000,False,000,False,False,False,1,52
"### | 10 - 
",000,False,000,False,False,False,1,67
"### | 11 - 
",000,False,000,False,False,False,1,66
"### | 12 - 
",000,False,000,False,False,False,1,103
"### | 13 - 
",000,False,000,False,False,False,1,56
"### | 14 - 
",000,False,000,False,False,False,1,47
"### | 15 - 
",000,False,000,False,False,False,1,45
"### | صفة أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,8
"### | 16 - 
",000,False,000,False,False,False,1,62
"### | 17 - 
",000,False,000,False,False,False,1,29
"### | 18 - 
",000,False,000,False,False,False,1,40
"### | 19 - 
",000,False,000,False,False,False,1,25
"### | 20 - 
",000,False,000,False,False,False,1,33
"### | 21 - 
",000,False,000,False,False,False,1,78
"### | 22 - 
",000,False,000,False,False,False,1,37
"### | 23 - 
",000,False,000,False,False,False,1,24
"### | 24 - 
",000,False,000,False,False,False,1,38
"### | 25 - 
",000,False,000,False,False,False,1,54
"### | سن أبي بكر وخطبته، ووفاته رضي الله عنه
",000,False,000,False,False,False,1,10
"### | 26 - 
",000,False,000,False,False,False,1,42
"### | 27 - 
",000,False,000,False,False,False,1,36
"### | 28 - 
",000,False,000,False,False,False,1,78
"### | 29 - 
",000,False,000,False,False,False,1,84
"### | 30 - 
",000,False,000,False,False,False,1,24
"### | 31 - 
",000,False,000,False,False,False,1,38
"### | 32 - 
",000,False,000,False,False,False,1,29
"### | 33 - 
",000,False,000,False,False,False,1,29
"### | 34 - 
",000,False,000,False,False,False,1,30
"### | 35 - 
",000,False,000,False,False,False,1,43
"### | 36 - 
",000,False,000,False,False,False,1,37
"### | 37 - 
",000,False,000,False,False,False,1,101
"### | 38 - 
",000,False,000,False,False,False,1,100
"### | 39 - 
",000,False,000,False,False,False,1,157
"### | 40 - 
",000,False,000,False,False,False,1,34
"### | 41 - 
",000,False,000,False,False,False,1,29
"### | 42 - 
",000,False,000,False,False,False,1,57
"### | ومما أسند أبو بكر الصديق رضي الله عنه، عن رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,17
"### | 43 - 
",000,False,000,False,False,False,1,316
"### | 44 - 
",000,False,000,False,False,False,1,64
"### | 45 - 
",000,False,000,False,False,False,1,66
"### | 46 - 
",000,False,000,False,False,False,1,58
"### | 47 - 
",000,False,000,False,False,False,1,66
"### | نسبة عمر بن الخطاب رضي الله عنه
",000,False,000,False,False,False,1,9
"### | 48 - 
",000,False,000,False,False,False,1,202
"### | [ص: 65]
",000,False,000,False,False,False,1,22
"### | صفة عمر بن الخطاب رضي الله عنه
",000,False,000,False,False,False,1,9
"### | 50 - 
",000,False,000,False,False,False,1,56
"### | 51 - 
",000,False,000,False,False,False,1,66
"### | 52 - 
",000,False,000,False,False,False,1,33
"### | 53 - 
",000,False,000,False,False,False,1,51
"### | 54 - 
",000,False,000,False,False,False,1,44
"### | 55 - 
",000,False,000,False,False,False,1,34
"### | 56 - 
",000,False,000,False,False,False,1,50
"### | 57 - 
",000,False,000,False,False,False,1,32
"### | 58 - 
",000,False,000,False,False,False,1,70
"### | 59 - 
",000,False,000,False,False,False,1,36
"### | 60 - 
",000,False,000,False,False,False,1,31
"### | سن عمر ووفاته، وفي سنه اختلاف رضي الله ms0013 عنه
",000,year,000,False,False,False,1,11
"### | 61 - 
",000,False,000,False,False,False,1,47
"### | 62 - 
",000,False,000,False,False,False,1,55
"### | 63 - 
",000,False,000,False,False,False,1,34
"### | 64 - 
",000,False,000,False,False,False,1,32
"### | 65 - 
",000,False,000,False,False,False,1,27
"### | 66 - 
",000,False,000,False,False,False,1,53
"### | 67 - 
",000,False,000,False,False,False,1,30
"### | 68 - 
",000,False,000,False,False,False,1,22
"### | 69 - 
",000,False,000,False,False,False,1,30
"### | 70 - 
",000,False,000,False,False,False,1,34
"### | 71 - 
",000,False,000,False,False,False,1,35
"### | 72 - 
",000,False,000,False,False,False,1,46
"### | 73 - 
",000,False,000,False,False,False,1,109
"### | 74 - 
",000,False,000,False,False,False,1,26
"### | 75 - 
",000,False,000,False,False,False,1,29
"### | 76 - 
",000,False,000,False,False,False,1,20
"### | 77 - 
",000,False,000,False,False,False,1,49
"### | 78 - 
",000,False,000,False,False,False,1,57
"### | 79 - 
",000,False,000,False,False,False,1,35
"### | وما أسند عمر بن الخطاب رضي الله عنه، عن رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,17
"### | 80 - 
",000,False,000,False,False,False,1,40
"### | 81 - 
",000,False,000,False,False,False,1,42
"### | 82 - 
",000,False,000,False,False,False,1,103
"### | 83 - 
",000,False,000,False,False,False,1,41
"### | 84 - 
",000,False,000,False,False,False,1,58
"### | 85 - 
",000,False,000,False,False,False,1,111
"### | 86 - 
",000,False,000,False,False,False,1,79
"### | 87 - 
",000,False,000,False,False,False,1,61
"### | 88 - 
",000,False,000,False,False,False,1,68
"### | 89 - 
",000,False,000,False,False,False,1,55
"### | نسبة عثمان بن عفان رضي الله عنه
",000,False,000,False,False,False,1,9
"### | 90 - 
",000,False,000,False,False,False,1,94
"### | 91 - 
",000,False,000,False,False,False,1,58
"### | صفة عثمان بن عفان وسنه رضي الله عنه
",000,False,000,False,False,False,1,10
"### | 92 - 
",000,False,000,False,False,False,1,52
"### | 93 - 
",000,False,000,False,False,False,1,41
"### | 94 - 
",000,False,000,False,False,False,1,36
"### | 95 - 
",000,False,000,False,False,False,1,37
"### | 96 - 
",000,False,000,False,False,False,1,27
"### | 97 - 
",000,False,000,False,False,False,1,92
"### | 98 - 
",000,False,000,False,False,False,1,59
"### | 99 - 
",000,False,000,False,False,False,1,83
"### | سن عثمان ووفاته رضي الله عنه
",000,False,000,False,False,False,1,8
"### | 100 - 
",000,False,000,False,False,False,1,42
"### | 101 - 
",000,False,000,False,False,False,1,38
"### | 102 - 
",000,False,000,False,False,False,1,31
"### | 103 - 
",000,False,000,False,False,False,1,35
"### | 104 - 
",000,False,000,False,False,False,1,28
"### | 105 - 
",000,False,000,False,False,False,1,19
"### | 106 - 
",000,False,000,False,False,False,1,33
"### | 107 - 
",000,False,000,False,False,False,1,56
"### | 108 - 
",000,False,000,False,False,False,1,30
"### | 109 - 
",000,False,000,False,False,False,1,169
"### | 110 - 
",000,False,000,False,False,False,1,80
"### | 111 - 
",000,False,000,False,False,False,1,122
"### | 112 - 
",000,False,000,False,False,False,1,102
"### | 113 - 
",000,False,000,False,False,False,1,137
"### | 114 - 
",000,False,000,False,False,False,1,84
"### | 115 - 
",000,False,000,False,False,False,1,82
"### | 116 - 
",000,False,000,False,False,False,1,254
"### | 117 - 
",000,False,000,False,False,False,1,69
"### | 118 - 
",000,False,000,False,False,False,1,146
"### | 119 - 
",000,False,000,False,False,False,1,41
"### | 120 - 
",000,False,000,False,False,False,1,68
"### | 121 - 
",000,False,000,False,False,False,1,35
"### | 122 - 
",000,False,000,False,False,False,1,43
"### | 123 - 
",000,False,000,False,False,False,1,38
"### | 124 - 
",000,False,000,False,False,False,1,81
"### | 125 - 
",000,False,000,False,False,False,1,65
"### | 126 - 
",000,False,000,False,False,False,1,51
"### | 127 - 
",000,False,000,False,False,False,1,191
"### | 128 - 
",000,False,000,False,False,False,1,39
"### | 129 - 
",000,False,000,False,False,False,1,33
"### | 130 - 
",000,False,000,False,False,False,1,42
"### | 131 - 
",000,False,000,False,False,False,1,88
"### | 132 - 
",000,False,000,False,False,False,1,39
"### | 133 - 
",000,False,000,False,False,False,1,142
"### | 134 - 
",000,False,000,False,False,False,1,29
"### | 135 - 
",000,False,000,False,False,False,1,99
"### | 136 - 
",000,False,000,False,False,False,1,52
