string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب الألف
",000,False,000,False,False,False,1,4
"### | من اسمه أحمد
",000,False,000,False,False,False,1,5
"### | 1 - 
",000,False,000,False,False,False,1,82
"### | 2 - 
",000,False,000,False,False,False,1,79
"### | 3 - 
",000,False,000,False,False,False,1,95
"### | 4 - 
",000,False,000,False,False,False,1,79
"### | 5 - 
",000,False,000,False,False,False,1,90
"### | 6 - 
",000,False,000,False,False,False,1,48
"### | 7 - 
",000,False,000,False,False,False,1,83
"### | 8 - 
",000,False,000,False,False,False,1,99
"### | 9 - 
",000,False,000,False,False,False,1,82
"### | [ص: 29]
",000,False,000,False,False,False,1,4
"### | 10 - 
",000,False,000,False,False,False,1,78
"### | 11 - 
",000,False,000,False,False,False,1,104
"### | 12 - 
",000,False,000,False,False,False,1,74
"### | 13 - 
",000,False,000,False,False,False,1,55
"### | 14 - 
",000,False,000,False,False,False,1,99
"### | 15 - 
",000,False,000,False,False,False,1,53
"### | 16 - 
",000,False,000,False,False,False,1,81
"### | 17 - 
",000,False,000,False,False,False,1,58
"### | 18 - 
",000,False,000,False,False,False,1,75
"### | 19 - 
",000,False,000,False,False,False,1,65
"### | 20 - 
",000,False,000,False,False,False,1,50
"### | 21 - 
",000,False,000,False,False,False,1,71
"### | 22 - 
",000,False,000,False,False,False,1,57
"### | 23 - 
",000,False,000,False,False,False,1,45
"### | 24 - 
",000,False,000,False,False,False,1,56
"### | 25 - 
",000,False,000,False,False,False,1,63
"### | 26 - 
",000,False,000,False,False,False,1,84
"### | 27 - 
",000,False,000,False,False,False,1,79
"### | 28 - 
",000,False,000,False,False,False,1,64
"### | 29 - 
",000,False,000,False,False,False,1,48
"### | 30 - 
",000,False,000,False,False,False,1,76
"### | 31 - 
",000,False,000,False,False,False,1,94
"### | 32 - 
",000,False,000,False,False,False,1,73
"### | 33 - 
",000,False,000,False,False,False,1,193
"### | 34 - 
",000,False,000,False,False,False,1,49
"### | 35 - 
",000,False,000,False,False,False,1,76
"### | 36 - 
",000,False,000,False,False,False,1,58
"### | 37 - 
",000,False,000,False,False,False,1,70
"### | 38 - 
",000,False,000,False,False,False,1,69
"### | 39 - 
",000,False,000,False,False,False,1,58
"### | 40 - 
",000,False,000,False,False,False,1,60
"### | 41 - 
",000,False,000,False,False,False,1,66
"### | 42 - 
",000,False,000,False,False,False,1,93
"### | 43 - 
",000,False,000,False,False,False,1,79
"### | 44 - 
",000,False,000,False,False,False,1,57
"### | 45 - 
",000,False,000,False,False,False,1,68
"### | 46 - 
",000,False,000,False,False,False,1,84
"### | 47 - 
",000,False,000,False,False,False,1,43
"### | 48 - 
",000,False,000,False,False,False,1,53
"### | 49 - 
",000,False,000,False,False,False,1,84
"### | 50 - 
",000,False,000,False,False,False,1,70
"### | 51 - 
",000,False,000,False,False,False,1,71
"### | 52 - 
",000,False,000,False,False,False,1,130
"### | 53 - 
",000,False,000,False,False,False,1,58
"### | 54 - 
",000,False,000,False,False,False,1,61
"### | 55 - 
",000,False,000,False,False,False,1,97
"### | 56 - 
",000,False,000,False,False,False,1,66
"### | 57 - 
",000,False,000,False,False,False,1,77
"### | 58 - 
",000,False,000,False,False,False,1,67
"### | 59 - 
",000,False,000,False,False,False,1,44
"### | 60 - 
",000,False,000,False,False,False,1,64
"### | 61 - 
",000,False,000,False,False,False,1,74
"### | 62 - 
",000,False,000,False,False,False,1,108
"### | 63 - 
",000,False,000,False,False,False,1,74
"### | 64 - 
",000,False,000,False,False,False,1,42
"### | 65 - 
",000,False,000,False,False,False,1,15
"### | 66 - 
",000,False,000,False,False,False,1,18
