string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | (هذا ما وجد من كتاب الإيضاح لسيدنا القاضي النعمان بن محمد بن حيون) [1]
",000,False,000,False,False,False,1,285
"### | باب من ذكر فضل الصلاة والإقبال عليها
",000,False,000,False,False,False,1,216
"### | ذكر إيجاب فرض الصلاة
",000,False,000,False,False,False,1,103
"### | ذكر الصلوات الخمس وعدد ركعاتهن
",000,False,000,False,False,False,1,270
"### | جماع أبواب الرغائب في الصلاة / 10 /
",000,False,000,False,False,False,1,52175
"### || باب من ذكر فضل الصلاة والحض على الصلاة
",000,False,000,False,False,False,2,220
"### || باب من ذكر ما يرجى من ثواب الصلاة
",000,False,000,False,False,False,2,7930
"### ||| [ذكر مواقيت الصلاة]
",000,False,000,False,False,False,3,535
"### ||| ذكر معرفة الشفق
",000,False,000,False,False,False,3,286
"### ||| ذكر وقت صلاة الليل
",000,False,000,False,False,False,3,495
"### ||| ذكر صلاة الوتر
",000,False,000,False,False,False,3,334
"### ||| ذكر وقت ركعتي الفجر
",000,False,000,False,False,False,3,685
"### ||| ذكر وقت صلاة الفجر
",000,False,000,False,False,False,3,522
"### ||| ذكر معرفة انشقاق الفجر وطلوع القرص
",000,False,000,False,False,False,3,189
"### ||| ذكر الصلاة قبل طلوع الشمس وقبل غروبها ووقت طلوعها وزوالها وغروبها
",000,False,000,False,False,False,3,361
"### ||| [ذكر كراهية الصلاة] قبل أن تزول الشمس
",000,False,000,False,False,False,3,376
"### ||| ذكر صلاة النافلة في وقت صلاة الفريضة
",000,False,000,False,False,False,3,454
"### ||| ذكر الإبراد لصلاة الظهر
",000,False,000,False,False,False,3,185
"### ||| ذكر وقت صلاة الجمعة
",000,False,000,False,False,False,3,402
"### ||| ذكر الجمع بين الصلاتين
",000,False,000,False,False,False,3,910
"### ||| ذكر من نسي صلاة فذكر بعد زوال وقتها
",000,False,000,False,False,False,3,992
"### ||| ذكر من فاتته صلاة فلم يذكرها حتى قام في صلاة اخرى
",000,False,000,False,False,False,3,195
