string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,54
"### | [1]- باب الألف
",000,False,000,False,False,False,1,182
"### | [2]- باب الباء
",000,False,000,False,False,False,1,52
"### | [3]- باب الثاء
",000,False,000,False,False,False,1,75
"### | [4]- باب الجيم
",000,False,000,False,False,False,1,40
"### | [5]- باب الحاء
",000,False,000,False,False,False,1,65
"### | [6]- باب الخاء
",000,False,000,False,False,False,1,69
"### | [7]- باب الدال
",000,False,000,False,False,False,1,28
"### | [8]- باب الذال
",000,False,000,False,False,False,1,14
"### | [9]- باب الراء
",000,False,000,False,False,False,1,87
"### | [10]- باب الزاي
",000,False,000,False,False,False,1,66
"### | [11]- باب السين
",000,False,000,False,False,False,1,271
"### | [12]- باب الشين
",000,False,000,False,False,False,1,199
"### | [13]- باب الصاد
",000,False,000,False,False,False,1,89
"### | [14]- باب الضاد
",000,False,000,False,False,False,1,48
"### | [15]- باب الطاء
",000,False,000,False,False,False,1,60
"### | [16]- باب الظاء
",000,False,000,False,False,False,1,10
"### | [17]- باب العين
",000,False,000,False,False,False,1,667
"### | [18]- باب الغين
",000,False,000,False,False,False,1,75
"### | [19]- باب الفاء
",000,False,000,False,False,False,1,224
"### | [20]- باب القاف
",000,False,000,False,False,False,1,171
"### | [21]- باب الكاف
",000,False,000,False,False,False,1,7
"### | [22]- باب اللام
",000,False,000,False,False,False,1,87
"### | [23]- باب الميم
",000,False,000,False,False,False,1,408
"### | [24]- باب النون
",000,False,000,False,False,False,1,110
"### | [25]- باب الهاء
",000,False,000,False,False,False,1,74
"### | [26]- باب الواو
",000,False,000,False,False,False,1,110
"### | [27]- باب اللام والألف
",000,False,000,False,False,False,1,24
"### | [28]- باب الياء
",000,False,000,False,False,False,1,25
