string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,24
"### | (1) باب في صفة اعتقاد ms04 الإمامية 
",000,False,000,False,False,False,1,538
"### | (2) باب الاعتقاد في صفات الذات وصفات الأفعال 
",000,False,000,False,False,False,1,81
"### | (٣) باب الاعتقاد في التكليف 
",000,False,000,False,False,False,1,79
"### | (4) باب الاعتقاد في افعال العباد 
",000,False,000,False,False,False,1,35
"### | (5) باب الاعتقاد في نفي الجبر والتفويض 
",000,False,000,False,False,False,1,60
"### | (٦) باب الاعتقاد في الإرادة والمشيئة 
",000,False,000,False,False,False,1,434
"### | (7) (باب الاعتقاد في القضاء والقدر) 
",000,False,000,False,False,False,1,249
"### | (٨) (باب الاعتقاد في الفطرة والهداية) 
",000,False,000,False,False,False,1,143
"### | (9) (باب الاعتقاد في الاستطاعة) 
",000,False,000,False,False,False,1,165
"### | (10) (باب الاعتقاد في البداء) 
",000,False,000,False,False,False,1,199
"### | (11) باب الاعتقاد في التناهي عن الجدل والمراء في الله عز وجل وفي دينه
",000,False,000,False,False,False,1,215
"### | (12) (باب الاعتقاد في اللوح والقلم) 
",000,False,000,False,False,False,1,25
"### | (13) (باب الاعتقاد في الكرسي) 
",000,False,000,False,False,False,1,49
"### | (14) (باب الاعتقاد في العرش) 
",000,False,000,False,False,False,1,204
"### | (١٥) (باب الاعتقاد في النفوس والأرواح) 
",000,False,000,False,False,False,1,500
"### | (16) (باب الاعتقاد في الموت) 
",000,False,000,False,False,False,1,1080
"### | (17) (باب الاعتقاد في المسألة في القبر) 
",000,False,000,False,False,False,1,283
"### | (١٨) (باب الاعتقاد في الرجعة) 
",000,False,000,False,False,False,1,537
"### | (١٩) (باب الاعتقاد في البعث بعد الموت) 
",000,False,000,False,False,False,1,71
"### | (20) (باب الاعتقاد في الحوض) 
",000,False,000,False,False,False,1,90
"### | (21) (باب الاعتقاد في الشفاعة) 
",000,False,000,False,False,False,1,88
"### | (٢٢) (باب الاعتقاد في الوعد والوعيد) 
",000,False,000,False,False,False,1,59
"### | (23) (باب الاعتقاد فيما يكتب على العبد) 
",000,False,000,False,False,False,1,155
"### | (٢٤) (باب الاعتقاد في العدل) 
",000,False,000,False,False,False,1,69
"### | (٢٥) (باب الاعتقاد في الأعراف) 
",000,False,000,False,False,False,1,61
"### | (٢٦) (باب الاعتقاد في الصراط) 
",000,False,000,False,False,False,1,85
"### | (27) (باب الاعتقاد في العقبات التي على طريق المحشر) 
",000,False,000,False,False,False,1,224
"### | (٢٨) (باب الاعتقاد في الحساب والميزان) (١) 
",000,False,000,False,False,False,1,336
"### | (29) (باب الاعتقاد في الجنة والنار) 
",000,False,000,False,False,False,1,552
"### | (30) (باب الاعتقاد في كيفية نزول الوحي من عند الله بالكتب في الأمر والنهي) 
",000,False,000,False,False,False,1,93
"### | (٣١) (باب الاعتقاد في نزول القرآن في ليلة القدر) (١) 
",000,False,000,False,False,False,1,87
"### | (32) (باب الاعتقاد في القرآن) 
",000,False,000,False,False,False,1,51
"### | (33) (باب الاعتقاد في مبلغ القرآن) 
",000,False,000,False,False,False,1,656
"### | (٣٤) (باب الاعتقاد في الأنبياء والرسل والحجج (١) - عليهم السلام) 
",000,False,000,False,False,False,1,321
"### | (35) (باب الاعتقاد في عدد الأنبياء والأوصياء - عليهم السلام) 
",000,False,000,False,False,False,1,618
"### | (36) (باب الاعتقاد في العصمة) 
",000,False,000,False,False,False,1,77
"### | (٣٧) (باب الاعتقاد في نفي الغلو والتفويض) 
",000,False,000,False,False,False,1,659
"### | (٣٨) (باب الاعتقاد في الظالمين) 
",000,False,000,False,False,False,1,620
"### | (٣٩) (باب الاعتقاد في التقية) 
",000,False,000,False,False,False,1,400
"### | (40) (باب الاعتقاد في آباء النبي صلى الله عليه وآله وسلم) (3).
",000,False,000,False,False,False,1,68
"### | (٤١) (باب الاعتقاد في العلوية) 
",000,False,000,False,False,False,1,460
"### | (42) (باب الاعتقاد في الأخبار المفسرة والمجملة) 
",000,False,000,False,False,False,1,24
"### | (43) (باب الاعتقاد في الحظر والإباحة) 
",000,False,000,False,False,False,1,23
"### | (44) (باب الاعتقاد في الأخبار الواردة في الطب) 
",000,False,000,False,False,False,1,259
"### | (45) (باب الاعتقاد في الحديثين المختلفين) 
",000,False,000,False,False,False,1,6370
