string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مسند أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,13524
"### || أول حديث أبي بكر الصديق رضي الله عنه عن النبي صلى الله عليه وسلم عمر، عن أبي بكر رضي الله تعالى عنهما.
",000,False,000,False,False,False,2,1737
"### || - عثمان بن عفان، عن أبي بكر الصديق رضي الله عنهما.
",000,False,000,False,False,False,2,392
"### || - علي بن أبي طالب، عن أبي بكر الصديق رضي الله عنهما.
",000,False,000,False,False,False,2,396
"### || عبد الرحمن بن عوف، عن أبي بكر رضي الله عنهما.
",000,False,000,False,False,False,2,153
"### || عبد الله بن مسعود ms0076، عن أبي بكر الصديق رضي الله عنهما.
",000,False,000,False,False,False,2,153
"### || سلمان الفارسي، عن أبي بكر رضي الله عنهما.
",000,False,000,False,False,False,2,9859
"### | مسند عمر بن الخطاب رضي الله عنه
",000,False,000,False,False,False,1,24554
"### || أول حديث عمر بن الخطاب رضي الله عنه.
",000,False,000,False,False,False,2,3432
"### || ومن حديث سالم، عن ابن عمر، عن عمر  عن النبي صلى الله عليه وسلم.
",000,False,000,False,False,False,2,3413
"### || ومن أحاديث ابن عباس عن عمر، عن النبي صلى الله عليه وسلم.
",000,False,000,False,False,False,2,1640
"### || ومن حديث أبي هريرة عن عمر، عن رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,2,446
"### || ومن حديث جابر بن عبد الله، عن عمر،  عن النبي صلى الله عليه وسلم.
",000,False,000,False,False,False,2,3791
"### | 
",000,False,000,False,False,False,1,5038
"### | مسند علي بن أبي طالب رضي الله عنه
",000,False,000,False,False,False,1,36098
"### || ومن حديث علي بن أبي طالب عن النبي  صلى الله عليه وسلم.
",000,False,000,False,False,False,2,7870
"### || الثاني من حديث علي بن أبي طالب  رضي الله عنه.
",000,False,000,False,False,False,2,12868
"### | مسند طلحة بن عبيد الله رضي الله عنه
",000,False,000,False,False,False,1,2228
"### | مسند الزبير بن العوام رضي الله عنه
",000,False,000,False,False,False,1,2415
"### |  مسند عبد الرحمن بن عوف رضي الله عنه
",000,False,000,False,False,False,1,4469
"### | مسند سعد بن أبي وقاص رضي الله عنه
",000,False,000,False,False,False,1,8515
"### | مسند سعيد بن زيد بن نفيل رضي الله عنه
",000,False,000,False,False,False,1,2909
"### | مسند أبي عبيدة بن الجراح رضي الله عنه
",000,False,000,False,False,False,1,109
"### | مسند عبد الله بن مسعود رضي الله عنه
",000,False,000,False,False,False,1,37399
"### || ومن حديث عبد الله بن مسعود  عن النبي صلى الله عليه وسلم.
",000,False,000,False,False,False,2,1491
"### || ذكر الخلاف على أبي إسحاق في ذلك.
",000,False,000,False,False,False,2,1682
"### || الثاني من حديث عبد الله بن مسعود رضي الله عنه
",000,False,000,False,False,False,2,12291
"### | مسند أبي طلحة رضي الله عنه
",000,False,000,False,False,False,1,839
"### | مسند أبي بردة بن دينار الأنصاري رضي الله عنه
",000,False,000,False,False,False,1,838
"### | زيادات في علل أحاديث هي إجازة لشيخنا أبي بكر من الدارقطني.
",000,False,000,False,False,False,1,396
"### | مسند معاذ بن جبل رضي الله عنه
",000,False,000,False,False,False,1,6738
"### | مسند معاذ بن أنس رضي الله عنه
",000,False,000,False,False,False,1,115
