string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,68
"### | ( باب الألف 
",000,False,000,False,False,False,1,2147
"### || من اسمه إسماعيل )
",000,False,000,False,False,False,2,524
"### || من اسمه أيوب
",000,False,000,False,False,False,2,191
"### || من أسمه إبراهيم
",000,False,000,False,False,False,2,329
"### || من اسمه إسحاق
",000,False,000,False,False,False,2,101
"### || ( من اسمه أشعث )
",000,False,000,False,False,False,2,207
"### || ( من اسمه إسرائيل )
",000,False,000,False,False,False,2,50
"### || ( من اسمه أصبغ )
",000,False,000,False,False,False,2,38
"### || ( من اسمه أسامة ms05 )
",000,False,000,False,False,False,2,45
"### || ( من اسمه أبان )
",000,False,000,False,False,False,2,151
"### || من أسمه إياس
",000,False,000,False,False,False,2,49
"### || ( ذكر من اسمه الأخضر )
",000,False,000,False,False,False,2,41
"### || ( من اسمه أزهر )
",000,False,000,False,False,False,2,55
"### || ( من اسمه أسلم )
",000,False,000,False,False,False,2,39
"### || ( من اسمه آدم )
",000,False,000,False,False,False,2,74
"### || ( من اسمه أيمن )
",000,False,000,False,False,False,2,21
"### || ( من اسمه أحمد )
",000,False,000,False,False,False,2,66
"### || ( من اسمه إدريس )
",000,False,000,False,False,False,2,20
"### || ( من اسمه أسباط )
",000,False,000,False,False,False,2,42
"### || ( من اسمه أنس )
",000,False,000,False,False,False,2,65
"### || ( من اسمه أسيد )
",000,False,000,False,False,False,2,44
"### || ( من اسمه أسد )
",000,False,000,False,False,False,2,30
"### | ( باب الباء )
",000,False,000,False,False,False,1,454
"### | ( باب التاء )
",000,False,000,False,False,False,1,22
"### | ( باب الثاء المثلثة )
",000,False,000,False,False,False,1,245
"### | ( باب الجيم )
",000,False,000,False,False,False,1,484
"### | ( باب الحاء )
",000,False,000,False,False,False,1,1757
"### || 
",000,False,000,False,False,False,2,278
"### || ( من اسمه الحسين )
",000,False,000,False,False,False,2,49
"### || ( من اسمه الحكم )
",000,False,000,False,False,False,2,99
"### || ( من اسمه حنظلة )
",000,False,000,False,False,False,2,39
"### || ( من اسمه حبيب )
",000,False,000,False,False,False,2,134
"### || ( من اسمه حبيب ) بالتصغير
",000,False,000,False,False,False,2,36
"### || ( من اسمه حصين )
",000,False,000,False,False,False,2,51
"### || ( من اسمه حماد )
",000,False,000,False,False,False,2,154
"### || ( من اسمه حجاج )
",000,False,000,False,False,False,2,339
"### || ( من اسمه حوشب )
",000,False,000,False,False,False,2,27
"### | ( باب الخاء )
",000,False,000,False,False,False,1,481
"### | ( باب الدال )
",000,False,000,False,False,False,1,301
"### | ( باب الذال )
",000,False,000,False,False,False,1,18
"### | ( باب الراء )
",000,False,000,False,False,False,1,595
"### | ( باب الزاي )
",000,False,000,False,False,False,1,595
"### | ( باب السين )
",000,False,000,False,False,False,1,1783
"### | ( باب الشين )
",000,False,000,False,False,False,1,553
"### | ( باب الصاد )
",000,False,000,False,False,False,1,442
"### | ( باب الضاد )
",000,False,000,False,False,False,1,116
"### | ( باب الطاء )
",000,False,000,False,False,False,1,194
"### | ( باب الضاد )
",000,False,000,False,False,False,1,12
"### | ( باب العين )
",000,False,000,False,False,False,1,6594
"### || 
",000,False,000,False,False,False,2,1371
"### || 
",000,False,000,False,False,False,2,329
"### || ( ذكر من اسمه عثمان )
",000,False,000,False,False,False,2,319
"### | ( باب الغين )
",000,False,000,False,False,False,1,129
"### | ( باب الفاء )
",000,False,000,False,False,False,1,327
"### | ( باب القاف )
",000,False,000,False,False,False,1,465
"### | ( باب الكاف )
",000,False,000,False,False,False,1,132
"### | ( باب اللام )
",000,False,000,False,False,False,1,73
"### | ( باب الميم )
",000,False,000,False,False,False,1,4640
"### | ( باب النون )
",000,False,000,False,False,False,1,436
"### | ( باب الواو )
",000,False,000,False,False,False,1,438
"### | ( باب الهاء )
",000,False,000,False,False,False,1,703
"### | حرف الياء
",000,False,000,False,False,False,1,2178
