string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,137
"### | باب فيمن جعل القرآن أمامه ومن جعله خلفه
",000,False,000,False,False,False,1,10
"### | 2 - 
",000,False,000,False,False,False,1,59
"### | باب الأمر باستذكار القرآن
",000,False,000,False,False,False,1,6
"### | 3 - 
",000,False,000,False,False,False,1,50
"### | 4 - 
",000,False,000,False,False,False,1,55
"### | باب في تصغير الدنيا والزهد فيها
",000,False,000,False,False,False,1,8
"### | 5 - 
",000,False,000,False,False,False,1,53
"### | باب في منازل الناس ودرجاتهم
",000,False,000,False,False,False,1,7
"### | 6 - 
",000,False,000,False,False,False,1,112
"### | باب في عمل يدخل الجنة وينجي من النار
",000,False,000,False,False,False,1,10
"### | 7 - 
",000,False,000,False,False,False,1,210
"### | باب في تطهير القلب من الغش
",000,False,000,False,False,False,1,8
"### | 8 - 
",000,False,000,False,False,False,1,83
"### | باب في الإيمان بالقدر
",000,False,000,False,False,False,1,6
"### | 9 - 
",000,False,000,False,False,False,1,55
"### | باب في فضل السجود
",000,False,000,False,False,False,1,6
"### | 10 - 
",000,False,000,False,False,False,1,59
"### | باب في صلة الرحم وعقوبة القاطع
",000,False,000,False,False,False,1,8
"### | 11 - 
",000,False,000,False,False,False,1,49
"### | باب في فضل أمتنا على غيرها
",000,False,000,False,False,False,1,8
"### | 12 - 
",000,False,000,False,False,False,1,77
"### | باب في حسن الملكة للرقيق
",000,False,000,False,False,False,1,7
"### | 13 - 
",000,False,000,False,False,False,1,42
"### | باب في أشرف الأخلاق وأفضل الأعمال وأرفع الدرجات
",000,False,000,False,False,False,1,10
"### | 14 - 
",000,False,000,False,False,False,1,58
"### | باب في وزر النوح على الميت
",000,False,000,False,False,False,1,8
"### | 15 - 
",000,False,000,False,False,False,1,76
"### | باب في ذكر سبعة يظلهم الله في ظله
",000,False,000,False,False,False,1,10
"### | 16 - 
",000,False,000,False,False,False,1,100
"### | باب في طول العمر
",000,False,000,False,False,False,1,6
"### | 17 - 
",000,False,000,False,False,False,1,68
"### | باب في وزر النظر في بيوت الناس
",000,False,000,False,False,False,1,9
"### | 18 - 
",000,False,000,False,False,False,1,54
"### | باب في شرط أفضل الناس
",000,False,000,False,False,False,1,7
"### | 19 - 
",000,False,000,False,False,False,1,39
"### | باب في أخوف ما يخاف على الناس
",000,False,000,False,False,False,1,9
"### | 20 - 
",000,False,000,False,False,False,1,104
"### | باب في مثل المؤمن ومثل الكافر
",000,False,000,False,False,False,1,8
"### | 21 - 
",000,False,000,False,False,False,1,55
"### | باب في وزر النظر في بيت غيره
",000,False,000,False,False,False,1,9
"### | 22 - 
",000,False,000,False,False,False,1,61
"### | باب في الاستعاذة من عذاب القبر
",000,False,000,False,False,False,1,8
"### | 23 - 
",000,False,000,False,False,False,1,83
"### | باب في تلقين الميت لا إله إلا الله
",000,False,000,False,False,False,1,10
"### | 24 - 
",000,False,000,False,False,False,1,59
"### | باب في الحث على الصدق والدعاء بالمعافاة والنهي عن القطيعة ms07
",000,False,000,False,False,False,1,12
"### | 25 - 
",000,False,000,False,False,False,1,90
"### | باب في حب الحسن والحسين
",000,False,000,False,False,False,1,7
"### | 26 - 
",000,False,000,False,False,False,1,65
"### | باب في أحداث آخر الزمان من الفساد
",000,False,000,False,False,False,1,9
"### | 27 - 
",000,False,000,False,False,False,1,95
"### | باب في الاحتكار وقلة الميسرة وضيق الطعام والسعر
",000,False,000,False,False,False,1,10
"### | 28 - 
",000,False,000,False,False,False,1,134
"### | باب في الأمر بالصدقة قبل أن لا تقبل
",000,False,000,False,False,False,1,10
"### | 29 - 
",000,False,000,False,False,False,1,59
"### | باب في الاستغناء عن النوافل بإتمام الفرائض
",000,False,000,False,False,False,1,9
"### | 30 - 
",000,False,000,False,False,False,1,120
"### | باب في ذكر صلاح النفوس وصلاح القلب وذكر النصيحة للمسلم والمثل فيه وذكر بيان الحلال والحرام وتحريم المسكر
",000,False,000,False,False,False,1,20
"### | 31 - 
",000,False,000,False,False,False,1,62
"### | 32 - 
",000,False,000,False,False,False,1,36
"### | 33 - 
",000,False,000,False,False,False,1,38
"### | 34 - 
",000,False,000,False,False,False,1,38
"### | باب في ذكر النصيحة
",000,False,000,False,False,False,1,6
"### | 35 - 
",000,False,000,False,False,False,1,55
