string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [المقدمة]
",000,False,000,False,False,False,1,246
"### | [كتاب الهمزة] 
",000,False,000,False,False,False,1,16
"### | باب الهمزة في الذي يقال له المضاعف
",000,False,000,False,False,False,1,14
"### | (أب) 
",000,False,000,False,False,False,1,226
"### | (أت) 
",000,False,000,False,False,False,1,24
"### | (أث) 
",000,False,000,False,False,False,1,19
"### | اح
",000,False,000,False,False,False,1,108
"### | (أج) 
",000,False,000,False,False,False,1,47
"### | آخ
",000,False,000,False,False,False,1,94
"### | (أح) 
",000,False,000,False,False,False,1,61
"### | اد 
",000,False,000,False,False,False,1,33
"### | (أخ) 
",000,False,000,False,False,False,1,128
"### | (أد) 
",000,False,000,False,False,False,1,63
"### | : إذ
",000,False,000,False,False,False,1,57
"### | (أذ) 
",000,False,000,False,False,False,1,45
"### | (أر) 
",000,False,000,False,False,False,1,106
"### | (أز) 
",000,False,000,False,False,False,1,138
"### | (أس) 
",000,False,000,False,False,False,1,19
"### | أص
",000,False,000,False,False,False,1,52
"### | (أش) 
",000,False,000,False,False,False,1,35
"### | (أص) 
",000,False,000,False,False,False,1,71
"### | (أض) 
",000,False,000,False,False,False,1,53
"### | (أط) 
",000,False,000,False,False,False,1,20
"### | ا ك
",000,False,000,False,False,False,1,71
"### | (أف) 
",000,False,000,False,False,False,1,138
"### | ال
",000,False,000,False,False,False,1,31
"### | (أك) 
",000,False,000,False,False,False,1,68
"### | أم
",000,False,000,False,False,False,1,15
"### | (أل) 
",000,False,000,False,False,False,1,375
"### | إن 
",000,False,000,False,False,False,1,67
"### | (أم) 
",000,False,000,False,False,False,1,1134
"### | إن 
",000,False,000,False,False,False,1,55
"### | ا "" و
",000,False,000,False,False,False,1,169
"### | (أو) 
",000,False,000,False,False,False,1,7
"### | (أي) 
",000,False,000,False,False,False,1,79
"### | [باب الثلاثي الذي أوله الهمزة]
",000,False,000,False,False,False,1,10
"### | (أبت) 
",000,False,000,False,False,False,1,50
"### | (أبث) 
",000,False,000,False,False,False,1,64
"### | (أبد) 
",000,False,000,False,False,False,1,72
"### | (أبر) 
",000,False,000,False,False,False,1,115
"### | (أبز) 
",000,False,000,False,False,False,1,68
"### | (أبس) 
",000,False,000,False,False,False,1,53
"### | (أبش) 
",000,False,000,False,False,False,1,24
"### | (أبض) 
",000,False,000,False,False,False,1,75
"### | (أبط) 
",000,False,000,False,False,False,1,100
"### | (أبق) 
",000,False,000,False,False,False,1,77
"### | ابن 
",000,False,000,False,False,False,1,43
"### | (أبك) 
",000,False,000,False,False,False,1,25
"### | (أبل) 
",000,False,000,False,False,False,1,493
"### | (أبن) 
",000,False,000,False,False,False,1,43
"### | أبي
",000,False,000,False,False,False,1,51
"### | (أبه) 
",000,False,000,False,False,False,1,24
"### | (أبو) 
",000,False,000,False,False,False,1,128
"### | (أبي) 
",000,False,000,False,False,False,1,160
"### | [باب الهمزة والتاء وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (أتل) 
",000,False,000,False,False,False,1,31
"### | أتن 
",000,False,000,False,False,False,1,48
"### | (أتم) 
",000,False,000,False,False,False,1,117
"### | (أتن) 
",000,False,000,False,False,False,1,114
"### | (أته) 
",000,False,000,False,False,False,1,17
"### | (أتو) 
",000,False,000,False,False,False,1,60
"### | أتي
",000,False,000,False,False,False,1,66
"### | (أتي) 
",000,False,000,False,False,False,1,339
"### | (أتب) 
",000,False,000,False,False,False,1,99
"### | [باب الهمزة والثاء وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (أثر) 
",000,False,000,False,False,False,1,518
"### | (أثف) 
",000,False,000,False,False,False,1,208
"### | (أثل) 
",000,False,000,False,False,False,1,214
"### | (أثم) 
",000,False,000,False,False,False,1,119
"### | (أثن) 
",000,False,000,False,False,False,1,35
"### | (أثوى) 
",000,False,000,False,False,False,1,43
"### | [باب الهمزة والجيم وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (أجح) 
",000,False,000,False,False,False,1,28
"### | (أجد) 
",000,False,000,False,False,False,1,71
"### | (أجر) 
",000,False,000,False,False,False,1,181
"### | (أجص) 
",000,False,000,False,False,False,1,29
"### | (أجل) 
",000,False,000,False,False,False,1,223
"### | (أجم) 
",000,False,000,False,False,False,1,62
"### | (أجن) 
",000,False,000,False,False,False,1,39
"### | (أجأ) 
",000,False,000,False,False,False,1,28
"### | [باب الهمزة والحاء وما معهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أحد) 
",000,False,000,False,False,False,1,29
"### | (أحن) 
",000,False,000,False,False,False,1,73
"### | [باب الهمزة والخاء وما معهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أخذ) 
",000,False,000,False,False,False,1,317
"### | (أخر) 
",000,False,000,False,False,False,1,109
"### | (أخو) 
",000,False,000,False,False,False,1,21
"### | [باب الهمزة والدال وما معهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أدر) 
",000,False,000,False,False,False,1,34
"### | (أدل) 
",000,False,000,False,False,False,1,76
"### | (أدم) 
",000,False,000,False,False,False,1,206
"### | (أدو) 
",000,False,000,False,False,False,1,74
"### | أدي
",000,False,000,False,False,False,1,23
"### | (أدي) 
",000,False,000,False,False,False,1,66
"### | (أدب) 
",000,False,000,False,False,False,1,134
"### | [باب الهمزة والذال وما معهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أذن) 
",000,False,000,False,False,False,1,291
"### | (أذي) 
",000,False,000,False,False,False,1,35
"### | [باب الهمزة والراء وما معهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أرز) 
",000,False,000,False,False,False,1,126
"### | (أرس) 
",000,False,000,False,False,False,1,11
"### | (أرش) 
",000,False,000,False,False,False,1,81
"### | (أرض) 
",000,False,000,False,False,False,1,197
"### | (أرط) 
",000,False,000,False,False,False,1,107
"### | (أرف) 
",000,False,000,False,False,False,1,37
"### | (أرق) 
",000,False,000,False,False,False,1,103
"### | (أرك) 
",000,False,000,False,False,False,1,243
"### | (أرم) 
",000,False,000,False,False,False,1,163
"### | أرو
",000,False,000,False,False,False,1,20
"### | (أرن) 
",000,False,000,False,False,False,1,88
"### | (أرو) 
",000,False,000,False,False,False,1,45
"### | (أري) 
",000,False,000,False,False,False,1,200
"### | (أرب) 
",000,False,000,False,False,False,1,521
"### | (أرث) 
",000,False,000,False,False,False,1,103
"### | (أرج) 
",000,False,000,False,False,False,1,31
"### | (أرخ) 
",000,False,000,False,False,False,1,42
"### | [باب الهمزة والزاء وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أزف) 
",000,False,000,False,False,False,1,124
"### | (أزق) 
",000,False,000,False,False,False,1,43
"### | (أزل) 
",000,False,000,False,False,False,1,174
"### | (أزم) 
",000,False,000,False,False,False,1,139
"### | (أزى) 
",000,False,000,False,False,False,1,258
"### | (أزب) 
",000,False,000,False,False,False,1,99
"### | (أزح) 
",000,False,000,False,False,False,1,21
"### | (أزد) 
",000,False,000,False,False,False,1,15
"### | (أزر) 
",000,False,000,False,False,False,1,59
"### | [باب الهمزة والسين وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (أسف) 
",000,False,000,False,False,False,1,56
"### | اس، ل
",000,False,000,False,False,False,1,31
"### | (أسك) 
",000,False,000,False,False,False,1,19
"### | (أسل) 
",000,False,000,False,False,False,1,78
"### | (أسم) 
",000,False,000,False,False,False,1,23
"### | (أسن) 
",000,False,000,False,False,False,1,112
"### | (أسو) 
",000,False,000,False,False,False,1,24
"### | آسي. 
",000,False,000,False,False,False,1,81
"### | (أسي) 
",000,False,000,False,False,False,1,18
"### | (أسد) 
",000,False,000,False,False,False,1,79
"### | (أسر) 
",000,False,000,False,False,False,1,90
"### | [باب الهمزة والشين وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أشف) 
",000,False,000,False,False,False,1,13
"### | (أشا) 
",000,False,000,False,False,False,1,11
"### | (أشب) 
",000,False,000,False,False,False,1,73
"### | (أشر) 
",000,False,000,False,False,False,1,69
"### | [باب الهمزة والصاد وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أصل) 
",000,False,000,False,False,False,1,85
"### | (أصد) 
",000,False,000,False,False,False,1,50
"### | (أصر) 
",000,False,000,False,False,False,1,117
"### | [باب الهمزة والضاد وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أضم) 
",000,False,000,False,False,False,1,29
"### | (أضا) 
",000,False,000,False,False,False,1,39
"### | [باب الهمزة والطاء وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أطل) 
",000,False,000,False,False,False,1,36
"### | (أطم) 
",000,False,000,False,False,False,1,60
"### | (أطر) 
",000,False,000,False,False,False,1,148
"### | [باب الهمزة والعين وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,9
"### | [باب الهمزة والفاء وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أفق) 
",000,False,000,False,False,False,1,549
"### | (أفك) 
",000,False,000,False,False,False,1,59
"### | (أفل) 
",000,False,000,False,False,False,1,116
"### | (أفن) 
",000,False,000,False,False,False,1,87
"### | (أفد) 
",000,False,000,False,False,False,1,49
"### | (أفر) 
",000,False,000,False,False,False,1,20
"### | [باب الهمزة والقاف وما بعدهما في الثلاثي]
",000,False,000,False,False,False,1,14
"### | (أقر) 
",000,False,000,False,False,False,1,22
"### | (أقط) 
",000,False,000,False,False,False,1,52
"### | (أقن) 
",000,False,000,False,False,False,1,40
"### | [باب الهمزة والكاف وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (أكل) 
",000,False,000,False,False,False,1,325
"### | (أكم) 
",000,False,000,False,False,False,1,78
"### | (أكن) 
",000,False,000,False,False,False,1,31
"### | (أكد) 
",000,False,000,False,False,False,1,19
"### | (أكر) 
",000,False,000,False,False,False,1,2
"### | اله
",000,False,000,False,False,False,1,58
"### | (أكف) 
",000,False,000,False,False,False,1,13
"### | [باب الهمزة واللام وما يثلثهما]
",000,False,000,False,False,False,1,10
"### | (ألم) 
",000,False,000,False,False,False,1,75
"### | (أله) 
",000,False,000,False,False,False,1,59
"### | الب
",000,False,000,False,False,False,1,17
"### | (ألوى) 
",000,False,000,False,False,False,1,198
"### | (ألب) 
",000,False,000,False,False,False,1,11
"### | الت
",000,False,000,False,False,False,1,68
"### | "" الس
",000,False,000,False,False,False,1,132
