string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مجلس لأبي عبد الله بن منده في شعبان سنة أربع وثمانين
",084,year,000,False,084,311,1,13
"### | 1 - 
",000,False,000,False,False,False,1,101
"### | 2 - 
",000,False,000,False,False,False,1,53
"### | 3 - 
",000,False,000,False,False,False,1,62
"### | 4 - 
",000,False,000,False,False,False,1,51
"### | 5 - 
",000,False,000,False,False,False,1,43
"### | 6 - 
",000,False,000,False,False,False,1,88
"### | 7 - 
",000,False,000,False,False,False,1,54
"### | 8 - 
",000,False,000,False,False,False,1,47
"### | 9 - 
",000,False,000,False,False,False,1,76
"### | 10 - 
",000,False,000,False,False,False,1,49
"### | 11 - 
",000,False,000,False,False,False,1,47
"### | 12 - 
",000,False,000,False,False,False,1,44
"### | 13 - 
",000,False,000,False,False,False,1,44
"### | 14 - 
",000,False,000,False,False,False,1,72
"### | 15 - 
",000,False,000,False,False,False,1,55
"### | 16 - 
",000,False,000,False,False,False,1,57
"### | 17 - 
",000,False,000,False,False,False,1,57
"### | 18 - 
",000,False,000,False,False,False,1,63
"### | 19 - 
",000,False,000,False,False,False,1,50
"### | 20 - 
",000,False,000,False,False,False,1,87
"### | 21 - 
",000,False,000,False,False,False,1,53
"### | 22 - 
",000,False,000,False,False,False,1,175
"### | 23 - 
",000,False,000,False,False,False,1,306
"### | 
",000,False,000,False,False,False,1,0
"### | مجلس آخر
",000,False,000,False,False,False,1,5
"### | 24 - 
",000,False,000,False,False,False,1,111
"### | 25 - 
",000,False,000,False,False,False,1,59
"### | 26 - 
",000,False,000,False,False,False,1,42
"### | 27 - 
",000,False,000,False,False,False,1,72
"### | 28 - 
",000,False,000,False,False,False,1,51
"### | 29 - 
",000,False,000,False,False,False,1,64
"### | 30 - 
",000,False,000,False,False,False,1,52
"### | 31 - 
",000,False,000,False,False,False,1,70
"### | 32 - 
",000,False,000,False,False,False,1,81
"### | 33 - 
",000,False,000,False,False,False,1,77
"### | 34 - 
",000,False,000,False,False,False,1,56
"### | 35 - 
",000,False,000,False,False,False,1,78
"### | 36 - 
",000,False,000,False,False,False,1,93
"### | 37 - 
",000,False,000,False,False,False,1,82
"### | 38 - 
",000,False,000,False,False,False,1,91
"### | 39 - 
",000,False,000,False,False,False,1,56
"### | 40 - 
",000,False,000,False,False,False,1,92
"### | 41 - 
",000,False,000,False,False,False,1,91
"### | 42 - 
",000,False,000,False,False,False,1,75
"### | 43 - 
",000,False,000,False,False,False,1,69
"### | 44 - 
",000,False,000,False,False,False,1,60
"### | 45 - 
",000,False,000,False,False,False,1,56
"### | 46 - 
",000,False,000,False,False,False,1,52
"### | 47 - 
",000,False,000,False,False,False,1,231
"### | مجلس آخر
",000,False,000,False,False,False,1,4
"### | 48 - 
",000,False,000,False,False,False,1,89
"### | 49 - 
",000,False,000,False,False,False,1,51
"### | 50 - 
",000,False,000,False,False,False,1,61
"### | 51 - 
",000,False,000,False,False,False,1,53
"### | 52 - 
",000,False,000,False,False,False,1,86
"### | 53 - 
",000,False,000,False,False,False,1,41
"### | 54 - 
",000,False,000,False,False,False,1,44
"### | 55 - 
",000,False,000,False,False,False,1,42
"### | 56 - 
",000,False,000,False,False,False,1,67
"### | 57 - 
",000,False,000,False,False,False,1,46
"### | 58 - 
",000,False,000,False,False,False,1,98
"### | 59 - 
",000,False,000,False,False,False,1,66
"### | 60 - 
",000,False,000,False,False,False,1,78
"### | 61 - 
",000,False,000,False,False,False,1,49
"### | 62 - 
",000,False,000,False,False,False,1,97
"### | 63 - 
",000,False,000,False,False,False,1,58
"### | 64 - 
",000,False,000,False,False,False,1,41
"### | 65 - 
",000,False,000,False,False,False,1,39
"### | 66 - 
",000,False,000,False,False,False,1,65
"### | 67 - 
",000,False,000,False,False,False,1,23
"### | 68 - 
",000,False,000,False,False,False,1,45
"### | 69 - 
",000,False,000,False,False,False,1,59
"### | 70 - 
",000,False,000,False,False,False,1,75
"### | 71 - 
",000,False,000,False,False,False,1,86
"### | 72 - 
",000,False,000,False,False,False,1,59
"### | 73 - 
",000,False,000,False,False,False,1,84
"### | 74 - 
",000,False,000,False,False,False,1,327
"### | 
",000,False,000,False,False,False,1,0
"### | مجلس آخر
",000,False,000,False,False,False,1,6
"### | 75 - 
",000,False,000,False,False,False,1,114
"### | 76 - 
",000,False,000,False,False,False,1,56
"### | 77 - 
",000,False,000,False,False,False,1,51
"### | 78 - 
",000,False,000,False,False,False,1,74
"### | 79 - 
",000,False,000,False,False,False,1,63
"### | 80 - 
",000,False,000,False,False,False,1,16
"### | 81 - 
",000,False,000,False,False,False,1,43
"### | 82 - 
",000,False,000,False,False,False,1,43
"### | 83 - 
",000,False,000,False,False,False,1,76
"### | 84 - 
",000,False,000,False,False,False,1,139
"### | 85 - 
",000,False,000,False,False,False,1,40
"### | 86 - 
",000,False,000,False,False,False,1,53
"### | 87 - 
",000,False,000,False,False,False,1,46
"### | 88 - 
",000,False,000,False,False,False,1,62
"### | 89 - 
",000,False,000,False,False,False,1,101
