string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK [مجموع الإمام العياني]
",000,False,000,False,False,False,1,1883
"### | AUTO مقدمة التحقيق
",000,False,000,False,False,False,1,4568
"### | AUTO كتاب بيان الإشكال فيما حكي عن المهدي من الأقوال
",000,False,000,False,False,False,1,8855
"### | AUTO كتاب الرد على من جحد الله
",000,False,000,False,False,False,1,3710
"### | AUTO كتاب
",000,False,000,False,False,False,1,7688
"### | AUTO كتاب
",000,False,000,False,False,False,1,7255
"### || AUTO باب الدلالة على الله عز وجل
",000,False,000,False,False,False,2,2061
"### || AUTO باب الدلالة على صنع الله في الحيوانات
",000,False,000,False,False,False,2,2655
"### || AUTO باب الدلالة على نفي الصفات عن الخالق
",000,False,000,False,False,False,2,635
"### || AUTO باب الدلالة على ms113 نفي الصفات عن الله فاطر السماوات
",000,False,000,False,False,False,2,723
"### | AUTO كتاب
",000,False,000,False,False,False,1,9053
"### || AUTO باب الرد على الدهرية
",000,False,000,False,False,False,2,276
"### || AUTO باب الرد على أصحاب الكمون
",000,False,000,False,False,False,2,631
"### || AUTO باب الرد على أهل الإلحاد في التولد
",000,False,000,False,False,False,2,442
"### || AUTO باب الرد على أصحاب الطبع
",000,False,000,False,False,False,2,1818
"### || AUTO باب الرد على الثنوية عبدة النور والظلمة
",000,False,000,False,False,False,2,1023
"### || AUTO باب الرد على من جحد النبوة
",000,False,000,False,False,False,2,205
"### || AUTO باب التوحيد ونفي التشبيه
",000,False,000,False,False,False,2,241
"### || AUTO باب الرد على الفضائية
",000,False,000,False,False,False,2,687
"### || AUTO باب الرد على من أنكر قول آل محمد صلوات الله عليهم في أن الله
",000,False,000,False,False,False,2,516
"### || AUTO باب الحقائق
",000,False,000,False,False,False,2,1359
"### || AUTO باب الرد على من جحد ms146 نبوة محمد
",000,False,000,False,False,False,2,217
"### || AUTO باب الرد على من جحد الإمامة بعد النبي صلى الله عليه وآله وسلم
",000,False,000,False,False,False,2,231
"### || AUTO باب الرد على من زعم أن الإمامة بعد رسول الله صلى الله عليه
",000,False,000,False,False,False,2,218
"### || AUTO باب الرد على الإمامية الرافضة
",000,False,000,False,False,False,2,271
"### | AUTO كتاب
",000,False,000,False,False,False,1,5391
"### || AUTO باب الدلالة على معرفة الله سبحانه
",000,False,000,False,False,False,2,502
"### || AUTO باب الدلالة (4) على حدث الحيوانات ونهايتها PageV01P203 قال المهدي لدين الله الحسين بن القاسم بن علي عليهم السلام: فإن سأل سائل
",000,False,000,False,False,False,2,277
"### || AUTO باب الرد على الجوهرية
",000,False,000,False,False,False,2,2588
"### | AUTO من كتاب التناهي والتحديد فيه مسائل المحال
",000,False,000,False,False,False,1,2211
"### | AUTO كتاب
",000,False,000,False,False,False,1,3618
"### || AUTO باب الدلالة على معرفة الله سبحانه
",000,False,000,False,False,False,2,541
"### || AUTO باب الصفات
",000,False,000,False,False,False,2,144
"### | AUTO كتاب الرؤيا
",000,False,000,False,False,False,1,564
"### | AUTO كتاب
",000,False,000,False,False,False,1,99
"### | AUTO كتاب الولاء والبراء
",000,False,000,False,False,False,1,625
"### | AUTO كتاب
",000,False,000,False,False,False,1,3794
"### | AUTO كتاب الأكفاء
",000,False,000,False,False,False,1,811
"### | AUTO كتاب
",000,False,000,False,False,False,1,7129
"### || AUTO باب الركوع والسجود
",000,False,000,False,False,False,2,109
