string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO شرح التجريد في فقه الزيدية
",000,False,000,False,False,False,1,651491
"### || AUTO الجزء الأول (2)
",000,False,000,False,False,False,2,114961
"### ||| AUTO بسم الله الرحمن الرحيم
",000,False,000,False,False,False,3,1186
"### ||| CHECK [2كتاب الطهارة]
",000,False,000,False,False,False,3,38867
"### |||| AUTO باب القول في المياه
",000,False,000,False,False,False,4,13225
"### |||| CHECK [3باب القول في الاستنجاء]
",000,False,000,False,False,False,4,2625
"### |||| CHECK [4باب القول في صفة التطهر وما يوجبه]
",000,False,000,False,False,False,4,7651
"### |||| CHECK [5باب ms0087 القول في نواقض الوضوء]
",000,False,000,False,False,False,4,7126
"### |||| CHECK [6باب القول في الغسل]
",000,False,000,False,False,False,4,4294
"### ||| CHECK [8كتاب الحيض]
",000,False,000,False,False,False,3,5258
"### ||| CHECK [10كتاب الصلاة]
",000,False,000,False,False,False,3,61277
"### |||| CHECK [11باب القول في المواقيت]
",000,False,000,False,False,False,4,4984
"### |||| CHECK [12باب القول في صلاة الكسوف والاستسقاء]
",000,False,000,False,False,False,4,1436
"### |||| CHECK [12مسألة [ في نوافل الفرائض]
",000,False,000,False,False,False,4,3916
"### |||| CHECK [13باب القول في التوجه وفي البقاع التي يصلى عليها وإليها]
",000,False,000,False,False,False,4,4715
"### |||| CHECK [14باب القول في ستر العورة والثياب التي يصلي فيها وعليها]
",000,False,000,False,False,False,4,4353
"### |||| CHECK [15باب القول في صفة الصلاة وكيفيتها]
",000,False,000,False,False,False,4,12213
"### |||| CHECK [16باب القول في إمامة الصلاة]
",000,False,000,False,False,False,4,8179
"### |||| CHECK [17باب القول في السهو وسجدتيه]
",000,False,000,False,False,False,4,3435
"### |||| CHECK [18باب القول في قضاء الصلوات]
",000,False,000,False,False,False,4,3462
"### |||| CHECK [19باب القول في صلاة السفر والخوف]
",000,False,000,False,False,False,4,5255
"### || CHECK [الجزء الثاني]
",000,False,000,False,False,False,2,127175
"### ||| CHECK [26باب القول في كيفية وجوب الزكاة]
",000,False,000,False,False,False,3,39113
"### |||| CHECK [27باب القول في زكاة المواشي]
",000,False,000,False,False,False,4,9853
"### |||| CHECK [28باب القول في زكاة ما أخرجت الأرض]
",000,False,000,False,False,False,4,7378
"### |||| CHECK [29باب القول فيما يؤخذ من أهل الذمة]
",000,False,000,False,False,False,4,1636
"### |||| CHECK [30باب القول في كيفية أخذ الزكاة]
",000,False,000,False,False,False,4,2820
"### |||| CHECK [31باب القول في صفة من توضع فيهم الزكاة]
",000,False,000,False,False,False,4,3278
"### ||| CHECK [33كتاب الخمس]
",000,False,000,False,False,False,3,6020
"### || CHECK [الجزء الثالث]
",000,False,000,False,False,False,2,97177
"### ||| CHECK [50كتاب النكاح]
",000,False,000,False,False,False,3,56105
"### |||| CHECK [51باب القول فيما يصح أو يفسد من النكاح]
",000,False,000,False,False,False,4,26284
"### |||| CHECK [52باب القول فيما يرد به النكاح]
",000,False,000,False,False,False,4,13356
"### |||| CHECK [53باب القول في الإماء]
",000,False,000,False,False,False,4,5007
"### ||| CHECK [55كتاب الطلاق]
",000,False,000,False,False,False,3,15454
"### ||| CHECK [57كتاب الظهار]
",000,False,000,False,False,False,3,13883
"### |||| CHECK [58باب القول في الإيلاء]
",000,False,000,False,False,False,4,3579
"### || CHECK [الجزء الرابع]
",000,False,000,False,False,False,2,94068
"### ||| CHECK [62كتاب البيوع]
",000,False,000,False,False,False,3,45776
"### |||| CHECK [63شراء الموقوف]
",000,False,000,False,False,False,4,2088
"### |||| CHECK [64معاملة المماليك بيعا وشراء]
",000,False,000,False,False,False,4,1427
"### |||| CHECK [65بيع المميز المأذون]
",000,False,000,False,False,False,4,4300
"### |||| CHECK [66بيع السهام الموروثة غير المسماة]
",000,False,000,False,False,False,4,2137
"### |||| CHECK [67استقبال الجلوبة خارج المصر]
",000,False,000,False,False,False,4,770
"### |||| CHECK [68القول في تلف المبيع قبل القبض]
",000,False,000,False,False,False,4,2088
"### |||| CHECK [69بيان المعتبر في الكيل]
",000,False,000,False,False,False,4,618
"### |||| CHECK [70بيع الحيوان بعضه ببعض]
",000,False,000,False,False,False,4,3558
"### |||| CHECK [71بيع المزابنة]
",000,False,000,False,False,False,4,850
"### |||| CHECK [72باب القول في خيار البيعين]
",000,False,000,False,False,False,4,3604
"### |||| CHECK [73باب القول في شروط البيع]
",000,False,000,False,False,False,4,2814
"### |||| CHECK [74بالب القول في المرابحة]
",000,False,000,False,False,False,4,703
"### |||| CHECK [75باب القول في الرد بالعيب]
",000,False,000,False,False,False,4,3752
"### |||| CHECK [76باب القول في استحقاق المبيع]
",000,False,000,False,False,False,4,1539
"### |||| CHECK [77باب الصرف]
",000,False,000,False,False,False,4,3761
"### ||| CHECK [79كتاب الشفعة]
",000,False,000,False,False,False,3,6385
"### ||| CHECK [80كتاب الإجارة]
",000,False,000,False,False,False,3,10076
"### ||| CHECK [82كتاب الشركة]
",000,False,000,False,False,False,3,8275
"### |||| CHECK [83باب القول في المضاربة]
",000,False,000,False,False,False,4,2679
"### |||| CHECK [84باب شركة الأبدان]
",000,False,000,False,False,False,4,875
"### |||| CHECK [85باب القول في شركة العلو والسفل والشوارع والأزقة ونحو ذلك]
",000,False,000,False,False,False,4,1042
"### ||| CHECK [87كتاب الرهون]
",000,False,000,False,False,False,3,9626
"### ||| CHECK [88كتاب الغصوب]
",000,False,000,False,False,False,3,4151
"### || CHECK [الجزء الخامس]
",000,False,000,False,False,False,2,86813
"### ||| CHECK [93القول في العتق على الشرط]
",000,False,000,False,False,False,3,13466
