string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [ص: 37]
",000,False,000,False,False,False,1,120
"### | 1 - 
",000,False,000,False,False,False,1,23
"### | [ص: 38]
",000,False,000,False,False,False,1,142
"### | المسلمون جسد واحد فمن ذلك ms01: أن يعلم أن المسلمين كالجسد الواحد، وأن على بعضهم أن يعين البعض على الخيرات، ويدفع عنه المكاره
",000,False,000,False,False,False,1,24
"### | 2 - 
",000,False,000,False,False,False,1,55
"### | 3 - 
",000,False,000,False,False,False,1,47
"### | تعارف الأرواح وتناكرها
",000,False,000,False,False,False,1,5
"### | 4 - 
",000,False,000,False,False,False,1,44
"### | [ص: 40]
",000,False,000,False,False,False,1,30
"### | 5 - 
",000,False,000,False,False,False,1,89
"### | 6 - 
",000,False,000,False,False,False,1,70
"### | 8 - 
",000,False,000,False,False,False,1,26
"### | احذر صحبة الجهال
",000,False,000,False,False,False,1,5
"### | 9 - 
",000,False,000,False,False,False,1,29
"### | [ص: 43]
",000,False,000,False,False,False,1,88
"### | 10 - 
",000,False,000,False,False,False,1,50
"### | 11 - 
",000,False,000,False,False,False,1,55
"### | 12 - 
",000,False,000,False,False,False,1,46
"### | 13 - 
",000,False,000,False,False,False,1,31
"### | [ص: 45]
",000,False,000,False,False,False,1,10
"### | 14 - 
",000,False,000,False,False,False,1,105
"### | الصفح عن عثرات الإخوان ونسيانها ومن آدابها: الصفح عن عثرات الإخوان وترك تأنيبهم عليها، قال الله تعالى: {فاصفح الصفح الجميل} [الحجر: 85] في التفسير: أن لا يكون فيه تقريع، ولا تأنيب، ولا توقيف، ولا معاتبة. وقيل أيضا: هو رضا بلا عتاب
",000,False,000,False,False,False,1,41
"### | 15 - 
",000,False,000,False,False,False,1,62
"### | 16 - 
",000,False,000,False,False,False,1,45
"### | [ص: 47]
",000,False,000,False,False,False,1,26
"### | 17 - 
",000,False,000,False,False,False,1,54
"### | 18 - 
",000,False,000,False,False,False,1,79
"### | 20 - 
",000,False,000,False,False,False,1,15
"### | 21 - 
",000,False,000,False,False,False,1,23
"### | [ص: 49]
",000,False,000,False,False,False,1,4
"### | 22 - 
",000,False,000,False,False,False,1,102
"### | 24 - 
",000,False,000,False,False,False,1,42
"### | [ص: 50]
",000,False,000,False,False,False,1,24
"### | 25 - 
",000,False,000,False,False,False,1,54
"### | 26 - 
",000,False,000,False,False,False,1,81
"### | [ص: 52]
",000,False,000,False,False,False,1,16
"### | صفات خير الأصحاب ومن آدابها: ألا يصحب إلا عاقلا وعالما وحليما تقيا
",000,False,000,False,False,False,1,15
"### | 27 - 
",000,False,000,False,False,False,1,44
"### | 28 - 
",000,False,000,False,False,False,1,57
"### | [ص: 53]
",000,False,000,False,False,False,1,23
"### | 29 - 
",000,False,000,False,False,False,1,50
"### | 30 - 
",000,False,000,False,False,False,1,22
"### | 31 - 
",000,False,000,False,False,False,1,34
"### | 32 - 
",000,False,000,False,False,False,1,51
"### | 33 - 
",000,False,000,False,False,False,1,15
"### | 34 - 
",000,False,000,False,False,False,1,28
"### | [ص: 55]
",000,False,000,False,False,False,1,11
"### | 35 - 
",000,False,000,False,False,False,1,16
"### | احفظ أهل صديقك ومن آدابها: أن يحفظ في عشرته صلاح إخوانه، لا مرادهم، ويدلهم على ms07 رشدهم لا على ما يحبونه
",000,False,000,False,False,False,1,22
"### | 36 - 
",000,False,000,False,False,False,1,65
"### | الناس رجلان
",000,False,000,False,False,False,1,4
"### | 38 - 
",000,False,000,False,False,False,1,49
"### | أحب لغيرك ما تحب لنفسك ومن آدابها: أن تطلب من إخوانك حسن العشرة حسب ما تعاشرتم به
",000,False,000,False,False,False,1,19
"### | 39 - 
",000,False,000,False,False,False,1,42
"### | 40 - 
",000,False,000,False,False,False,1,21
"### | 41 - 
",000,False,000,False,False,False,1,37
"### | ثلاث يجلبن لك ود إخوانك
",000,False,000,False,False,False,1,12
"### | 42 - 
",000,False,000,False,False,False,1,31
"### | [ص: 58]
",000,False,000,False,False,False,1,47
"### | 43 - 
",000,False,000,False,False,False,1,68
"### | [ص: 59]
",000,False,000,False,False,False,1,18
"### | 44 - 
",000,False,000,False,False,False,1,90
"### | 45 - 
",000,False,000,False,False,False,1,33
"### | [ص: 60]
",000,False,000,False,False,False,1,32
"### | 46 - 
",000,False,000,False,False,False,1,59
"### | 47 - 
",000,False,000,False,False,False,1,19
"### | 48 - 
",000,False,000,False,False,False,1,43
"### | [ص: 61]
",000,False,000,False,False,False,1,12
"### | 49 - 
",000,False,000,False,False,False,1,50
"### | 50 - 
",000,False,000,False,False,False,1,39
"### | 51 - 
",000,False,000,False,False,False,1,36
"### | [ص: 62]
",000,False,000,False,False,False,1,30
"### | 52 - 
",000,False,000,False,False,False,1,43
"### | 53 - 
",000,False,000,False,False,False,1,62
"### | [ص: 63]
",000,False,000,False,False,False,1,50
"### | 55 - 
",000,False,000,False,False,False,1,99
"### | 56 - 
",000,False,000,False,False,False,1,40
"### | [ص: 64]
",000,False,000,False,False,False,1,38
"### | 57 - 
",000,False,000,False,False,False,1,52
"### | 58 - 
",000,False,000,False,False,False,1,13
"### | [ص: 65]
",000,False,000,False,False,False,1,20
"### | 59 - 
",000,False,000,False,False,False,1,80
"### | [ص: 66]
",000,False,000,False,False,False,1,24
"### | 60 - 
",000,False,000,False,False,False,1,15
"### | 61 - 
",000,False,000,False,False,False,1,37
"### | 62 - 
",000,False,000,False,False,False,1,29
"### | [ص: 67]
",000,False,000,False,False,False,1,26
"### | 63 - 
",000,False,000,False,False,False,1,25
"### | 64 - 
",000,False,000,False,False,False,1,33
"### | 65 - 
",000,False,000,False,False,False,1,29
"### | 66 - 
",000,False,000,False,False,False,1,40
"### | 67 - 
",000,False,000,False,False,False,1,33
"### | [ص: 68]
",000,False,000,False,False,False,1,12
"### | 68 - 
",000,False,000,False,False,False,1,16
"### | 69 - 
",000,False,000,False,False,False,1,49
"### | 70 - 
",000,False,000,False,False,False,1,27
"### | [ص: 69]
",000,False,000,False,False,False,1,50
"### | 71 - 
",000,False,000,False,False,False,1,45
"### | [ص: 70]
",000,False,000,False,False,False,1,9
"### | 73 - 
",000,False,000,False,False,False,1,48
"### | 74 - 
",000,False,000,False,False,False,1,11
"### | 75 - 
",000,False,000,False,False,False,1,31
"### | 76 - 
",000,False,000,False,False,False,1,35
"### | [ص: 71]
",000,False,000,False,False,False,1,42
"### | 77 - 
",000,False,000,False,False,False,1,92
"### | 78 - 
",000,False,000,False,False,False,1,21
"### | [ص: 72]
",000,False,000,False,False,False,1,52
"### | 79 - 
",000,False,000,False,False,False,1,51
"### | 80 - 
",000,False,000,False,False,False,1,23
"### | [ص: 73]
",000,False,000,False,False,False,1,36
"### | 81 - 
",000,False,000,False,False,False,1,64
"### | 82 - 
",000,False,000,False,False,False,1,57
"### | [ص: 74]
",000,False,000,False,False,False,1,17
"### | 83 - 
",000,False,000,False,False,False,1,46
"### | 84 - 
",000,False,000,False,False,False,1,23
"### | [ص: 75]
",000,False,000,False,False,False,1,31
"### | الدفاع عن الإخوان من آداب الصحبة ومن آدابها: القيام بأعذار الإخوان والأصحاب والذب عنهم، والانتصار لهم
",000,False,000,False,False,False,1,18
"### | 85 - 
",000,False,000,False,False,False,1,100
"### | [ص: 76]
",000,False,000,False,False,False,1,70
"### | 86 - 
",000,False,000,False,False,False,1,15
"### | 87 - 
",000,False,000,False,False,False,1,9
"### | البر والصلة من آداب الصحبة وقول النبي صلى الله عليه وعلى آله وسلم: «من لا يرحم لا يرحم» ومن آدابها: البر والصلة، البر بالنفس، والصلة باللسان، والبر أتم من الصلة وأفضل، لذلك خص به الوالدان تعظيما لحقهما النبيل
",000,False,000,False,False,False,1,38
"### | 88 - 
",000,False,000,False,False,False,1,59
"### | 89 - 
",000,False,000,False,False,False,1,27
"### | [ص: 78]
",000,False,000,False,False,False,1,31
"### | 90 - 
",000,False,000,False,False,False,1,87
"### | 91 - 
",000,False,000,False,False,False,1,19
"### | [ص: 79]
",000,False,000,False,False,False,1,43
"### | 92 - 
",000,False,000,False,False,False,1,29
"### | 94 - 
",000,False,000,False,False,False,1,14
"### | [ص: 80]
",000,False,000,False,False,False,1,4
"### | 95 - 
",000,False,000,False,False,False,1,51
"### | 96 - 
",000,False,000,False,False,False,1,18
"### | 97 - 
",000,False,000,False,False,False,1,25
"### | 98 - 
",000,False,000,False,False,False,1,27
"### | 99 - 
",000,False,000,False,False,False,1,40
"### | [ص: 81]
",000,False,000,False,False,False,1,115
