string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [المعتمد في أصول الفقه]
",000,False,000,False,False,False,1,8918
"### | الكلام في الأوامر
",000,False,000,False,False,False,1,36249
"### | الكلام في النواهي
",000,False,000,False,False,False,1,32777
"### | الكلام في المجمل والمبين
",000,False,000,False,False,False,1,11291
"### | الكلام في الأفعال
",000,False,000,False,False,False,1,7703
"### | الكلام في الناسخ والمنسوخ
",000,False,000,False,False,False,1,15755
"### | الكلام في الإجماع
",000,False,000,False,False,False,1,18348
"### | الكلام في الأخبار
",000,False,000,False,False,False,1,17227
"### | فصل
",000,False,000,False,False,False,1,1313
"### | فصل في أن الخبر لا يرد إذا كان راويه واحدا
",000,False,000,False,False,False,1,598
"### | فصل في الخبر إذا أسنده من أرسل غيره من الأحاديث هل يقبل أم لا
",000,False,000,False,False,False,1,222
"### | فصل في رواية الحديث بغير لفظ النبي صلى الله عليه وسلم هل يرد له الحديث أم لا
",000,False,000,False,False,False,1,413
"### | فصل في الرواية من كتاب
",000,False,000,False,False,False,1,2720
"### | فصل في الحديث إذا أرسل مرة وأسند مرة اخرى أو ألحق بالنبي مرة وجعل موقوفا على صحابي مرة
",000,False,000,False,False,False,1,303
"### | فصل في التدليس
",000,False,000,False,False,False,1,151
"### | فصل في الخبر إذا كان مقتضاه بخلاف مقتضى العقل
",000,False,000,False,False,False,1,209
"### | فصل في خبر الواحد إذا رفع مقتضى الكتاب أو سنة متواترة
",000,year,000,False,False,False,1,381
"### | فصل في الحكم إذا اقتضى عموم الكتاب فيه خلاف ما يقتضيه خبر الواحد
",000,False,000,False,False,False,1,2198
"### | فصل في الحكم إذا اقتضى قياس الاصول فيه خلاف ما اقتضاه خبر الواحد
",000,False,000,False,False,False,1,1176
"### | فصل في فائدة خبر الواحد إذا كان البلوى به عاما هل يرد له خبر الواحد الوارد فيه أم لا
",000,False,000,False,False,False,1,814
"### | فصل في خبر الواحد إذا فعل ms566 النبي صلى الله عليه وسلم خلاف مقتضاه
",000,False,000,False,False,False,1,198
"### | فصل في الرواية بحسب سماع الراوي
",000,False,000,False,False,False,1,4971
"### | الكلام في القياس والاجتهاد
",000,False,000,False,False,False,1,34504
"### | الكلام في الحظر والإباحة
",000,False,000,False,False,False,1,11330
"### | الكلام في المفتي والمستفتي
",000,False,000,False,False,False,1,11954
"### | زيادات المعتمد لأبي الحسين البصري أيضا عن النسخة الوحيدة في مكتبة لاله لي بإستانبول
",000,False,000,False,False,False,1,23
"### | 
",000,False,000,False,False,False,1,0
"### | فصل ms790
",000,False,000,False,False,False,1,218
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,658
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,104
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,259
"### | فصل في الفور
",000,False,000,False,False,False,1,210
"### | فصل في الفور ايضا
",000,False,000,False,False,False,1,130
"### | فصل في النهي
",000,False,000,False,False,False,1,56
"### | فصل في النهي عن البدل
",000,False,000,False,False,False,1,83
"### | فصل في دلالة النهي على الفساد
",000,False,000,False,False,False,1,492
"### | فصل في العموم
",000,False,000,False,False,False,1,193
"### | فصل في الاستثناء من الاستثناء
",000,False,000,False,False,False,1,128
"### | الأفعال من باب قسمة الأفعال
",000,False,000,False,False,False,1,245
"### | فصل
",000,False,000,False,False,False,1,868
"### | الكلام في الناسخ والمنسوخ
",000,False,000,False,False,False,1,6238
"### | فصل في حد القياس
",000,False,000,False,False,False,1,460
"### | فصل في الكلام في الحكم
",000,False,000,False,False,False,1,652
"### | فصل في الكلام في العلة
",000,False,000,False,False,False,1,308
"### | فصل فيما يدل على صحة العلة
",000,False,000,False,False,False,1,760
"### | فصل فيما يختص العلة من الوجوه المفسدة لها
",000,False,000,False,False,False,1,2032
"### | فصل في ترجيح علة الأصل على علة أخرى وفي ترجيح قياس على قياس
",000,False,000,False,False,False,1,366
"### | فصل في ترجيح القياس على القياس
",000,False,000,False,False,False,1,122
"### | ضميمة في القلب
",000,False,000,False,False,False,1,827
