string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | وصلى الله على سيدنا محمد وآله وسلم تسليما
",000,False,000,False,False,False,1,16
"### | قال أبو العلاء أحمد بن عبد الله بن سليمان
",000,False,000,False,False,False,1,18
"### | رحمه الله
",000,False,000,False,False,False,1,44
"### | قال بعض الرعاة
",000,False,000,False,False,False,1,17
"### | .... 
",000,False,000,False,False,False,1,1143
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فيقول الشاحج
",000,False,000,False,False,False,1,16
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فيقول الصاهل
",000,False,000,False,False,False,1,9372
"### | .... 
",000,False,000,False,False,False,1,1399
"### | .... 
",000,False,000,False,False,False,1,652
"### | .... 
",000,False,000,False,False,False,1,2683
"### | 
",000,False,000,False,False,False,1,0
"### | فيقول الشاحج
",000,False,000,False,False,False,1,23766
"### | 
",000,False,000,False,False,False,1,0
"### | فيقول الشاحج
",000,False,000,False,False,False,1,377
"### | فيقول الشاحج
",000,False,000,False,False,False,1,21170
