string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,369
"### |  باب أول ما يجب على العاقل البالغ معرفته والإقرار به
",000,False,000,False,False,False,1,406
"### |  باب ذكر بعض ما يستدل به على حدوث العالم وأن محدثه ومدبره إله واحد قديم لا شريك له ولا شبيه
",000,False,000,False,False,False,1,2065
"### |  باب ذكر أسماء الله وصفاته عزت أسماؤه وجل ثناؤه
",000,False,000,False,False,False,1,567
"### |  باب ذكر الأسماء التي رويناها علي طريق الإيجاز
",000,False,000,False,False,False,1,1981
"### |  باب بيان صفة الذات وصفة الفعل
",000,False,000,False,False,False,1,808
"### |  باب ذكر آيات وأخبار وردت في صفات يستحقها الباري عز وجل بذاته سوى ما ذكرنا في البابين قبله
",000,False,000,False,False,False,1,447
"### |  باب ذكر آيات وأخبار وردت في صفات زائدات على الذات قائمات به
",000,False,000,False,False,False,1,1119
"### |  باب ذكر آيات وأخبار وردت في إثبات صفة الوجه واليدين والعين 
",000,False,000,False,False,False,1,403
"### |  باب في ذكر صفة الفعل
",000,False,000,False,False,False,1,362
"### |  باب القول في القرآن
",000,False,000,False,False,False,1,2901
"### |  باب القول في الاستواء
",000,False,000,False,False,False,1,1039
"### |  باب القول في إثبات رؤية الله عز وجل في الآخرة بالأبصار
",000,False,000,False,False,False,1,2232
"### |  باب القول في الإيمان بالقدر
",000,False,000,False,False,False,1,1767
"### |  باب القول في خلق الأفعال
",000,False,000,False,False,False,1,1635
"### |  باب القول في الهداية والإضلال
",000,False,000,False,False,False,1,842
"### |  باب القول في وقوع أفعال العبد بمشيئة الله عز وجل
",000,False,000,False,False,False,1,1369
"### |  باب القول في الأطفال أنهم يولدون على فطرة الإسلام
",000,False,000,False,False,False,1,1349
"### |  باب القول في الآجال والأرزاق
",000,False,000,False,False,False,1,549
"### |  باب القول في الإيمان
",000,False,000,False,False,False,1,1782
"### |  باب القول في مرتكبي الكبائر
",000,False,000,False,False,False,1,822
"### |  باب القول في الشفاعة وبطلان قول من قال بتخليد المؤمنين في النار
",000,False,000,False,False,False,1,2564
"### |  باب الإيمان بما أخبر عنه رسول الله صلى الله عليه وسلم في ملائكة الله وكتبه ورسله والبعث بعد الموت والحساب والميزان والجنة والنار وأنهما مخلوقتان معدتان لأهلهما وبما أخبر عنه في حوضه وفي أشراط الساعة قبل قيامها
",000,False,000,False,False,False,1,2634
"### |  باب الإيمان بعذاب القبر نعوذ بالله من عذاب القبر ومن عذاب النار
",000,False,000,False,False,False,1,1285
"### |  باب الاعتصام بالسنة واجتناب البدعة
",000,year,000,False,False,False,1,1577
"### |  باب النهي عن مجالسة أهل البدع
",000,False,000,False,False,False,1,589
"### |  باب ما على الوالي من مراعاة أمر الرعية
",000,False,000,False,False,False,1,263
"### |  باب طاعة الولاة ولزوم الجماعة وإنكار المنكر بلسانه أو كراهيته بقلبه والصبر على ما يصيبه من سلطانه 
",000,False,000,False,False,False,1,733
"### |  باب معرفة جمل ما كلف المؤمنون أن يعقلوه ويعملوه ويعطوا من أنفسهم وأموالهم وأن يكفوا عنه ما حرم عليهم منه
",000,False,000,False,False,False,1,1278
"### |  باب القول في إثبات نبوة محمد المصطفى صلى الله عليه وسلم
",000,False,000,False,False,False,1,7669
"### |  باب القول في كرامات الأولياء
",000,False,000,False,False,False,1,1676
"### |  باب القول في أصحاب رسول الله صلى الله عليه وسلم وعلى آله ورضي عنهم
",000,False,000,False,False,False,1,1026
"### |  باب القول في أهل بيت رسول الله صلى الله عليه وسلم وآله وأزواجه
",000,False,000,False,False,False,1,1049
"### |  باب تسمية العشرة الذين شهد لهم رسول الله صلى الله عليه وسلم فيما روي عنه بالجنة
",000,False,000,False,False,False,1,303
"### |  باب تسمية الخلفاء الذين نبه رسول الله صلى الله عليه وسلم على خلافتهم بعده وعلى مدة بقائهم
",000,False,000,False,False,False,1,547
"### |  باب تنبيه رسول الله صلى الله عليه وسلم على خلافة أبي بكر الصديق بعده وبيان ما في الكتاب من الدلالة على صحة إمامته وإمامة من بعده من الخلفاء الراشدين
",000,False,000,False,False,False,1,1911
"### |  باب اجتماع المسلمين على بيعة أبي بكر الصديق وإنقاذهم لإمامته
",000,False,000,False,False,False,1,3155
"### |  باب استخلاف أبي بكر عمر بن الخطاب رضي الله عنهما
",000,False,000,False,False,False,1,1045
"### |  باب استخلاف عثمان بن عفان رضي الله عنه
",000,False,000,False,False,False,1,1227
"### |  باب استخلاف أبي الحسن علي بن أبي طالب بن عبد المطلب بن هاشم رضي الله عنه
",000,False,000,False,False,False,1,1791
