string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,723
"### | باب الألف
",000,False,000,False,False,False,1,30147
"### || أنس بن مالك خمسة
",000,False,000,False,False,False,2,2967
"### || أسامة بن زيد ستة
",000,False,000,False,False,False,2,936
"### || أحمد بن أسد خمسة
",000,False,000,False,False,False,2,713
"### || أحمد بن حرب أربعة
",000,False,000,False,False,False,2,574
"### || أحمد بن عبدة اثنان
",000,False,000,False,False,False,2,261
"### || أحمد بن المعذل اثنان
",000,False,000,False,False,False,2,214
"### || أحمد بن محمد بن أبي رجاء اثنين
",000,False,000,False,False,False,2,213
"### || أحمد بن جعفر بن حمدان أربعة في طبقة واحدة
",000,False,000,False,False,False,2,319
"### || إبراهيم بن يزيد أربعة عشر رجلا
",000,False,000,False,False,False,2,1563
"### || إبراهيم بن مهاجر ثلاثة
",000,False,000,False,False,False,2,307
"### || إبراهيم بن مسلم ثمانية
",000,False,000,False,False,False,2,574
"### || إبراهيم بن ميمون خمسة
",000,False,000,False,False,False,2,374
"### || إبراهيم بن عربي اثنان من هل الكوفة
",000,False,000,False,False,False,2,128
"### || إبراهيم بن سعدان ثلاثة يتقاربون في الطبقة
",000,False,000,False,False,False,2,322
"### || إبراهيم بن سويد خمسة
",000,False,000,False,False,False,2,356
"### || إبراهيم بن أبي يحيى سبعة
",000,False,000,False,False,False,2,599
"### || إبراهيم بن الحجاج سبعة
",000,False,000,False,False,False,2,638
"### || إبراهيم بن بكر ستة
",000,False,000,False,False,False,2,607
"### || إبراهيم بن أبي بكر خمسة
",000,False,000,False,False,False,2,447
"### || إبراهيم بن مهدي ثلاثة
",000,False,000,False,False,False,2,248
"### || إبراهيم بن بشار ثلاثة
",000,False,000,False,False,False,2,226
"### || إبراهيم بن نافع اثنان
",000,False,000,False,False,False,2,238
"### || إبراهيم بن مرزوق اثنان من أهل البصرة
",000,False,000,False,False,False,2,384
"### || إبراهيم بن هانىء ثلاثة
",000,False,000,False,False,False,2,233
"### || إبراهيم بن موسى اثنا عشر رجلا
",000,False,000,False,False,False,2,1193
"### ||  إبراهيم بن شيبان ثلاثة
",000,False,000,False,False,False,2,421
"### ||  إبراهيم بن الهيتم ثلاثة
",000,False,000,False,False,False,2,234
"### ||  إبراهيم بن الوليد ثلاثة
",000,False,000,False,False,False,2,368
"### ||  إسماعيل بن أمية ثلاثة
",000,False,000,False,False,False,2,533
"### ||  إسماعيل بن كثير ms057 خمسة
",000,False,000,False,False,False,2,638
"### ||  إسماعيل بن خالد خمسة
",000,False,000,False,False,False,2,452
"### ||  إسماعيل بن أبي خالد أربعة
",000,False,000,False,False,False,2,717
"### ||  إسماعيل بن زياد سبعة
",000,False,000,False,False,False,2,632
"### ||  إسماعيل بن أبي زياد ثلاثة
",000,False,000,False,False,False,2,322
"### ||  إسماعيل بن مسلم خمسة في طبقة واحدة
",000,False,000,False,False,False,2,868
"### ||  إسماعيل بن أبان ثلاثة
",000,False,000,False,False,False,2,407
"### ||  إسماعيل بن سالم اثنان
",000,False,000,False,False,False,2,268
"### ||  إسماعيل بن رجاء ثلاثة
",000,False,000,False,False,False,2,407
"### ||  إسماعيل بن رافع اثنان
",000,False,000,False,False,False,2,175
"### ||  إسماعيل بن عمرو ثلاثة
",000,False,000,False,False,False,2,349
"### ||  إسماعيل بن الفضل ثلاثة
",000,False,000,False,False,False,2,288
"### ||  إسماعيل بن إبراهيم أبو يحيى التيمي اثنان ضعيفان
",000,False,000,False,False,False,2,306
"### ||  إسحاق بن راشد أربعة
",000,False,000,False,False,False,2,519
"### ||  إسحاق بن منصور ثلاثة
",000,False,000,False,False,False,2,466
"### ||  إسحاق بن نجيح اثنان
",000,False,000,False,False,False,2,203
"### ||  إسحاق بن بشر أربعة
",000,False,000,False,False,False,2,492
"### ||  إسحاق بن سويد اثنان
",000,False,000,False,False,False,2,253
"### ||  إسحاق بن وهب اثنان
",000,False,000,False,False,False,2,269
"### ||  إسحاق بن أبي إسحاق ثلاثة
",000,False,000,False,False,False,2,327
"### ||  أيوب بن سليمان ستة عشر رجلا
",000,False,000,False,False,False,2,1673
"### ||  أبان بن سعيد اثنان من بني أمية
",000,False,000,False,False,False,2,247
"### ||  أبان بن عثمان خمسة
",000,False,000,False,False,False,2,1579
"### || أسيد بن عبد الرحمن اثنان
",000,False,000,False,False,False,2,234
"### || أسيد بن أبي أسيد اثنان
",000,False,000,False,False,False,2,239
"### || الأشعث بن قيس ثلاثة
",000,False,000,False,False,False,2,487
"### || أسد بن موسى اثنان
",000,False,000,False,False,False,2,223
"### || أسيد بن ظهير اثنان
",000,False,000,False,False,False,2,753
"### | باب الباء
",000,False,000,False,False,False,1,6779
"### || بشر بن العاصم خمسة
",000,False,000,False,False,False,2,907
"### || بشر بن الوليد ثلاثة
",000,False,000,False,False,False,2,546
"### || بشر بن عمر ثلاثة
",000,False,000,False,False,False,2,375
"### || بشر بن مطر اثنان
",000,False,000,False,False,False,2,270
"### || بشر ms112 بن موسى أربعة
",000,False,000,False,False,False,2,486
"### || بشر بن عبيد اثنان
",000,False,000,False,False,False,2,183
"### || بشر بن معاذ اثنان 
",000,False,000,False,False,False,2,255
"### || بشر بن آدم اثنان
",000,False,000,False,False,False,2,331
"### || بيان بن بشر اثنان كوفيان في طبقة واحدة يكنى كل واحد منهما أبا بشر اتفقا في الاسم والكنينة والنسب والطبقة والبلد
",000,False,000,False,False,False,2,345
"### || بكير بن مسمار اثنان
",000,False,000,False,False,False,2,197
"### || بشير بن ميمون اثنان
",000,False,000,False,False,False,2,341
"### || بكر بن عبد الله تسعة
",000,False,000,False,False,False,2,1155
"### || بجير بن أبي بجير اثنان
",000,False,000,False,False,False,2,315
"### || بهلول بن عبيد اثنان
",000,False,000,False,False,False,2,303
"### || بشير بن عبد الرحمن اثنان
",000,False,000,False,False,False,2,210
"### || بكار بن عبد الله ms126 ثلاثة
",000,False,000,False,False,False,2,279
"### | باب التاء
",000,False,000,False,False,False,1,235
"### | باب الثاء
",000,False,000,False,False,False,1,1763
"### || ثابت بن زيد ثلاثة
",000,False,000,False,False,False,2,346
"### || ثابت بن قيس خمسة
",000,False,000,False,False,False,2,1244
"### | باب الجيم
",000,False,000,False,False,False,1,3642
