string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [خطبة الكتاب] .
",000,False,000,False,False,False,1,2
"### | [المنتقى]
",000,False,000,False,False,False,1,236
"### | [المنتقى]
",000,False,000,False,False,False,1,235
"### | [وقوت الصلاة] 
",000,False,000,False,False,False,1,227
"### | 1 -
",000,False,000,False,False,False,1,187
"### | [المنتقى]
",000,False,000,False,False,False,1,242
"### | 1 -
",000,False,000,False,False,False,1,152
"### | 1 -
",000,False,000,False,False,False,1,19
"### | [المنتقى]
",000,False,000,False,False,False,1,364
"### | 1 -
",000,False,000,False,False,False,1,245
"### | [المنتقى]
",000,False,000,False,False,False,1,495
"### | [المنتقى]
",000,False,000,False,False,False,1,309
"### | 1 -
",000,False,000,False,False,False,1,265
"### | [المنتقى]
",000,False,000,False,False,False,1,540
"### | [المنتقى]
",000,False,000,False,False,False,1,244
"### | 1 -
",000,False,000,False,False,False,1,330
"### | [المنتقى]
",000,False,000,False,False,False,1,165
"### | 1 -
",000,False,000,False,False,False,1,73
"### | 1 -
",000,False,000,False,False,False,1,345
"### | [المنتقى]
",000,False,000,False,False,False,1,341
"### | 1 -
",000,False,000,False,False,False,1,81
"### | 1 -
",000,False,000,False,False,False,1,33
"### | [المنتقى]
",000,False,000,False,False,False,1,505
"### | [المنتقى]
",000,False,000,False,False,False,1,68
"### | 1 -
",000,False,000,False,False,False,1,131
"### | 1 -
",000,False,000,False,False,False,1,75
"### | 1 -
",000,False,000,False,False,False,1,137
"### | 1 -
",000,False,000,False,False,False,1,165
"### | [المنتقى]
",000,False,000,False,False,False,1,335
"### | 1 -
",000,False,000,False,False,False,1,207
"### | [المنتقى]
",000,False,000,False,False,False,1,11
"### | 1 -
",000,False,000,False,False,False,1,355
"### | 1 -
",000,False,000,False,False,False,1,146
"### | 1 -
",000,False,000,False,False,False,1,125
"### | [المنتقى]
",000,False,000,False,False,False,1,146
"### | 1 -
",000,False,000,False,False,False,1,388
"### | [المنتقى]
",000,False,000,False,False,False,1,502
"### | [المنتقى]
",000,False,000,False,False,False,1,338
"### | [وقت الجمعة]
",000,False,000,False,False,False,1,137
"### | [المنتقى]
",000,False,000,False,False,False,1,263
"### | 1 -
",000,False,000,False,False,False,1,52
"### | 1 -
",000,False,000,False,False,False,1,249
"### | [المنتقى]
",000,False,000,False,False,False,1,73
"### | [من أدرك ركعة من الصلاة]
",000,False,000,False,False,False,1,454
"### | [المنتقى]
",000,False,000,False,False,False,1,155
"### | [ما جاء في دلوك الشمس وغسق الليل]
",000,False,000,False,False,False,1,237
"### | [جامع الوقوت]
",000,False,000,False,False,False,1,85
"### | [المنتقى]
",000,False,000,False,False,False,1,612
"### | [المنتقى]
",000,False,000,False,False,False,1,242
"### | 1 -
",000,False,000,False,False,False,1,71
"### | 1 -
",000,False,000,False,False,False,1,212
"### | [المنتقى]
",000,False,000,False,False,False,1,101
"### | [المنتقى]
",000,False,000,False,False,False,1,164
"### | 1 -
",000,False,000,False,False,False,1,740
"### | 1 -
",000,False,000,False,False,False,1,157
"### | [المنتقى]
",000,False,000,False,False,False,1,387
"### | [المنتقى]
",000,False,000,False,False,False,1,2
"### | [النوم عن الصلاة]
",000,False,000,False,False,False,1,156
"### | 1 -
",000,False,000,False,False,False,1,30
"### | 1 -
",000,False,000,False,False,False,1,225
"### | 1 -
",000,False,000,False,False,False,1,89
"### | [المنتقى]
",000,False,000,False,False,False,1,474
"### | 1 -
",000,False,000,False,False,False,1,80
"### | [المنتقى]
",000,False,000,False,False,False,1,157
"### | 1 -
",000,False,000,False,False,False,1,146
"### | 1 -
",000,False,000,False,False,False,1,397
"### | [المنتقى]
",000,False,000,False,False,False,1,246
"### | 1 -
",000,False,000,False,False,False,1,161
"### | [المنتقى]
",000,False,000,False,False,False,1,28
"### | [النهي عن الصلاة بالهاجرة]
",000,False,000,False,False,False,1,436
"### | 1 - 
",000,False,000,False,False,False,1,58
"### | [المنتقى]
",000,False,000,False,False,False,1,233
"### | [النهي عن دخول المسجد بريح الثوم]
",000,False,000,False,False,False,1,256
"### | [المنتقى]
",000,False,000,False,False,False,1,98
"### | 1 -
",000,False,000,False,False,False,1,436
"### | 1 -
",000,False,000,False,False,False,1,117
"### | [المنتقى]
",000,False,000,False,False,False,1,64
"### | [العمل في الوضوء]
",000,False,000,False,False,False,1,348
"### | [المنتقى]
",000,False,000,False,False,False,1,40
"### | 1 -
",000,False,000,False,False,False,1,45
"### | [باب في بيان غسل الوجه] 
",000,False,000,False,False,False,1,214
"### | [باب في بيان المغسول به]
",000,False,000,False,False,False,1,10
"### | (باب في بيان المغسول 
",000,False,000,False,False,False,1,226
"### | [المنتقى]
",000,False,000,False,False,False,1,135
"### | 1 -
",000,False,000,False,False,False,1,348
"### | 1 -
",000,False,000,False,False,False,1,79
"### | [المنتقى]
",000,False,000,False,False,False,1,53
"### | 1 -
",000,False,000,False,False,False,1,191
"### | [باب بيان حد الرأس]
",000,False,000,False,False,False,1,276
"### | [باب كيفية إيصال الماء إلى الرأس في الوضوء إليه] 
",000,False,000,False,False,False,1,11
"### | [المنتقى]
",000,False,000,False,False,False,1,151
"### | [باب استيعاب الرأس مسحا] 
",000,False,000,False,False,False,1,219
"### | 1 -
",000,False,000,False,False,False,1,169
"### | [المنتقى]
",000,False,000,False,False,False,1,30
"### | 1 -
",000,False,000,False,False,False,1,467
"### | [المنتقى]
",000,False,000,False,False,False,1,440
"### | [باب حكم إزالة النجاسة] 
",000,False,000,False,False,False,1,63
"### | [المنتقى]
",000,False,000,False,False,False,1,547
"### | [المنتقى]
",000,False,000,False,False,False,1,316
"### | 1 -
",000,False,000,False,False,False,1,236
"### | [المنتقى]
",000,False,000,False,False,False,1,13
"### | [باب تمييز النجاسة]
",000,False,000,False,False,False,1,79
"### | 1 -
",000,False,000,False,False,False,1,430
"### | [المنتقى]
",000,False,000,False,False,False,1,89
"### | 1 -
",000,False,000,False,False,False,1,125
"### | [باب اختلاف النجاسة باختلاف محلها]
",000,False,000,False,False,False,1,314
"### | 1 -
",000,False,000,False,False,False,1,53
"### | [المنتقى]
",000,False,000,False,False,False,1,623
"### | [المنتقى]
",000,False,000,False,False,False,1,456
"### | [المنتقى]
",000,False,000,False,False,False,1,481
"### | [المنتقى]
",000,False,000,False,False,False,1,2
"### | [وضوء النائم إذا قام إلى الصلاة]
",000,False,000,False,False,False,1,364
"### | 1 -
",000,False,000,False,False,False,1,215
"### | [المنتقى]
",000,False,000,False,False,False,1,476
"### | (باب فيما يفتقر إلى النية من الطهارة)
",000,False,000,False,False,False,1,26
"### | [المنتقى]
",000,False,000,False,False,False,1,107
"### | 1 -
",000,False,000,False,False,False,1,201
"### | [باب في إيضاح ما يجزئ من النية] 
",000,False,000,False,False,False,1,228
"### | 1 -
",000,False,000,False,False,False,1,22
"### | [المنتقى]
",000,False,000,False,False,False,1,307
"### | 1 -
",000,False,000,False,False,False,1,193
"### | 1 -
",000,False,000,False,False,False,1,50
"### | [المنتقى]
",000,False,000,False,False,False,1,442
