string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,123
"### | 2- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,99
"### | 3- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,94
"### | 4- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,88
"### | 5- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,107
"### | 6- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,93
"### | 7- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,174
"### | 8- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,90
"### | 9- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,75
"### | 10- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,119
"### | 11- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,109
"### | 12- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,97
"### | 13- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,105
"### | 14- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,88
"### | 15- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,97
"### | 16- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,109
"### | 17- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,115
"### | 18- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,79
"### | 19- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,90
"### | 20- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,98
"### | 21- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,72
"### | 22- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,119
"### | 23- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,101
"### | 24- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,93
"### | 25- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,209
"### | 26- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,128
"### | 27- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,79
"### | 28- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,156
"### | 29- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,126
"### | 30- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,115
"### | 31- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,87
"### | 32- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,82
"### | 33- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,132
"### | 34- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,86
"### | 35- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,105
"### | 36- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,97
"### | 37- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,81
"### | 38- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,88
"### | 39- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,135
"### | 40- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,97
"### | 41- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,85
"### | 42- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,116
"### | 43- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,125
"### | 44- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,50
"### | 45- 
",000,False,000,False,False,False,1,2
"### | … 
",000,False,000,False,False,False,1,247
