string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,216
"### | : «الأيمن فالأيمن»
",000,False,000,False,False,False,1,2
"### | 2 - 
",000,False,000,False,False,False,1,38
"### | : «الكمأة من المن , وماؤها شفاء للعين»
",000,False,000,False,False,False,1,6
"### | 3 - 
",000,False,000,False,False,False,1,29
"### | ، وضع عنكم الحرج , إلا من اقترض من عرض أخيه شيئا، فذلك الذي حرج وهلك»
",000,False,000,False,False,False,1,15
"### | 4 - 
",000,False,000,False,False,False,1,13
"### | : «تداووا عباد الله، فإن الله تعالى لم ينزل داء إلا وقد أنزل له شفاء إلا هذا 
",000,False,000,False,False,False,1,17
"### | 5 - 
",000,False,000,False,False,False,1,9
"### | ، ما خير ما أعطي العبد المسلم؟ قال: «خلق حسن»
",000,False,000,False,False,False,1,9
"### | 6 - 
",000,False,000,False,False,False,1,25
"### | يصلي حافيا وناعلا وقائما وقاعدا، وينفتل عن يمينه وعن شماله»
",000,False,000,False,False,False,1,11
"### | 7 - 
",000,False,000,False,False,False,1,36
"### | : «ليس فيما دون خمس أواق صدقة , وليس فيما دون خمس ذود صدقة»
",000,False,000,False,False,False,1,12
"### | 8 - 
",000,False,000,False,False,False,1,23
"### | : «من مات وفي يده ريح غمر فأصابه شيء , فلا يلومن إلا نفسه»
",000,False,000,False,False,False,1,12
"### | 9 - 
",000,False,000,False,False,False,1,46
"### | ما أنزل الله من داء إلا أنزل له شفاء»
",000,False,000,False,False,False,1,10
"### | 10 - 
",000,False,000,False,False,False,1,39
"### | : «لا يرحم الله من لا يرحم الناس»
",000,False,000,False,False,False,1,7
"### | 11 - 
",000,False,000,False,False,False,1,41
"### | : «الراحمون يرحمهم الرحيم , ارحموا أهل الأرض , يرحمكم أهل السماء»
",000,False,000,False,False,False,1,82
"### | 12 - 
",000,False,000,False,False,False,1,79
"### | يأمرنا إذا كنا سفرا أو مسافرين أن لا ننزع خفافنا ثلاثة أيام وليالهن إلا من جنابة , لكن من 
",000,False,000,False,False,False,1,22
"### | 13 - 
",000,False,000,False,False,False,1,53
"### | : «المرء مع من أحب»
",000,False,000,False,False,False,1,4
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | : «إن من قبل المغرب بابا مسيرة عرضه أربعون سنة , فتحه الله للتوبة يوم خلق السماوات والأرض 
",000,year,000,False,False,False,1,22
"### | 15 - 
",000,False,000,False,False,False,1,36
"### | فكيف نصلي عليك؟ قال: "" قولوا: اللهم صل على محمد وعلى آل محمد , كما صليت على إبراهيم وآل 
",000,False,000,False,False,False,1,44
"### | 16 - 
",000,False,000,False,False,False,1,52
"### | أني امرأة لي زوج وليس له مال، وأني أنفق عليه , قالت أخرى: وحاجتي مثل حاجتها إلى رسول الله 
",000,False,000,False,False,False,1,32
"### | 17 - 
",000,False,000,False,False,False,1,31
"### | : كان على ثقل النبي صلى الله عليه وسلم رجل يقال له: كركرة , فمات , فقال رسول الله صلى الله 
",000,False,000,False,False,False,1,122
"### | 18 - 
",000,False,000,False,False,False,1,155
"### | : "" ما لكم حين نابكم شيء من صلاتكم صفقتم , إنما هذا للنساء , فمن نابه شيء من صلاته فليقل: 
",000,False,000,False,False,False,1,21
"### | 19 - 
",000,False,000,False,False,False,1,21
"### | : «التسبيح في الصلاة للرجال , والتصفيق للنساء»
",000,False,000,False,False,False,1,6
"### | 20 - 
",000,False,000,False,False,False,1,21
"### | : «كن نساء من المؤمنات يصلين مع النبي صلى الله عليه وسلم الصبح متلفعات بمروطهن ثم يرجعن إلى 
",000,False,000,False,False,False,1,21
"### | 21 - 
",000,False,000,False,False,False,1,19
"### | إذا افتتح الصلاة رفع يديه حتى يحاذي منكبيه، وإذا أراد أن يركع، وبعدما يرفع من الركوع 
",000,False,000,False,False,False,1,21
"### | 22 - 
",000,False,000,False,False,False,1,36
"### | : «إذا دخل أحدكم المسجد فليركع»
",000,False,000,False,False,False,1,5
"### | 23 - 
",000,False,000,False,False,False,1,25
"### | : «إذا كان يوم الجمعة كان على كل باب من أبواب المسجد ملائكة , يكتبون الناس؛ الأول فالأول 
",000,False,000,False,False,False,1,140
"### | 24 - 
",000,False,000,False,False,False,1,45
"### | : «لا يكلم أحد في سبيل الله، والله أعلم بمن يكلم في سبيله، إلا جاء يوم القيامة وجرحه يثغب 
",000,False,000,False,False,False,1,25
"### | 25 - 
",000,False,000,False,False,False,1,31
"### | يقول في الصيف عام أول , والعهد قريب , يقول: «سلوا الله اليقين والعافية»
",000,False,000,False,False,False,1,12
"### | 26 - 
",000,False,000,False,False,False,1,30
"### | : «إذا هم عبدي بحسنة فاكتبوها له , فإن عملها فاكتبوها عشرة أمثالها , وإن هم بسيئة فلا 
",000,False,000,False,False,False,1,134
"### | 27 - 
",000,False,000,False,False,False,1,51
"### | : «لو أني لأعلم أن تنظر , لطعنت به في عينيك , إنما جعل الاستئذان من أجل 
",000,False,000,False,False,False,1,15
"### | 28 - 
",000,False,000,False,False,False,1,22
"### | : «لو أن امرأ اطلع عليك بغير إذن , فحذفته ففقأت عينه ما كان عليك من جناح»
",000,False,000,False,False,False,1,15
"### | 29 - 
",000,False,000,False,False,False,1,33
"### | : «لا يرث المسلم الكافر، ولا يرث الكافر المسلم»
",000,False,000,False,False,False,1,8
"### | 30 - 
",000,False,000,False,False,False,1,25
"### | : «إن المسلم لا يرث الكافر , وإن الكافر لا يرث المسلم»
",000,False,000,False,False,False,1,279
