string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الألف ثمانية عشر رجلا
",000,False,000,False,False,False,1,585
"### | الباء رجلان
",000,False,000,False,False,False,1,66
"### | التاء رجل واحد
",000,False,000,False,False,False,1,36
"### | الجيم ستة رجال
",000,False,000,False,False,False,1,189
"### | الحاء خمسة عشر رجلا
",000,False,000,False,False,False,1,479
"### | الخاء ثلاثة رجال
",000,False,000,False,False,False,1,97
"### | الدال رجلان
",000,False,000,False,False,False,1,60
"### | في باب الذال المعجمة من ابن الغضائري رجلان
",000,False,000,False,False,False,1,107
"### | الراء رجل واحد
",000,False,000,False,False,False,1,58
"### | الزاي أربعة رجال
",000,False,000,False,False,False,1,136
"### | السين ثلاثة عشر رجلا
",000,False,000,False,False,False,1,442
"### | الشين رجل واحد
",000,False,000,False,False,False,1,48
"### | الصاد خمسة رجال
",000,False,000,False,False,False,1,131
"### | الطاء رجل واحد
",000,False,000,False,False,False,1,49
"### | الظاء رجل واحد
",000,False,000,False,False,False,1,36
"### | العين اثنان وثلاثون رجلا
",000,False,000,False,False,False,1,820
"### | الفاء أربعة رجال
",000,False,000,False,False,False,1,139
"### | باب القاف أربعة
",000,False,000,False,False,False,1,100
"### | الميم ثمانية وثلاثون رجلا
",000,False,000,False,False,False,1,1026
"### | الواو رجل واحد
",000,False,000,False,False,False,1,66
"### | الياء سبعة (1) رجال
",000,False,000,False,False,False,1,130
"### | [الكنى رجل واحد]
",000,False,000,False,False,False,1,711
"### | 
",000,False,000,False,False,False,1,21677
