string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | فصل
",000,False,000,False,False,False,1,93
"### | باب القول في الأحكام الشرعية
",000,False,000,False,False,False,1,2154
"### | باب الكلام في حقائق العلوم
",000,False,000,False,False,False,1,25
"### | الفصل الأول
",000,False,000,False,False,False,1,58
"### | الفصل الثاني في حقيقة العلم وحده
",000,False,000,False,False,False,1,529
"### | الفصل الثالث في تقاسيم العلوم
",000,False,000,False,False,False,1,108
"### | الفصل الرابع في ماهية العقل
",000,False,000,False,False,False,1,113
"### | الفصل الخامس في مراتب العلوم
",000,False,000,False,False,False,1,191
"### | الباب الثاني في مآخذ العلوم ومصادرها
",000,False,000,False,False,False,1,12
"### | الفصل الأول في نقل المذاهب فيه
",000,False,000,False,False,False,1,224
"### | الفصل الثاني في مراسم المتكلمين
",000,False,000,False,False,False,1,740
"### | الفصل الثالث في مواقف العقول ومجاريها
",000,False,000,False,False,False,1,129
"### | الفصل الرابع أدلة العقل تتعلق بمدلولاتها لأعيانها
",000,False,000,False,False,False,1,78
"### | الفصل الخامس فيما يستدرك بمحض العقل دون السمع أو ما يشتركان فيه
",000,False,000,False,False,False,1,130
"### | كتاب البيان
",000,False,000,False,False,False,1,8
"### | الفصل الأول في حد البيان
",000,False,000,False,False,False,1,119
"### | الفصل الثاني في مراتب البيان
",000,False,000,False,False,False,1,235
"### | الفصل الثالث تأخير البيان
",000,False,000,False,False,False,1,1007
"### | باب في مقدار من النحو ومعاني الحروف
",000,False,000,False,False,False,1,916
"### | فصل
",000,False,000,False,False,False,1,90
"### | فصل هل للإستفهام ولا يغير الإعراب
",000,False,000,False,False,False,1,81
"### | فصل من حرف جار لا يرد إلا على الاسم بمعنى التبعيض
",000,False,000,False,False,False,1,122
"### | فصل إلى إذا اتصل بها من كان صريحا في التحديد
",000,False,000,False,False,False,1,73
"### | فصل بلى لإستدراك النفي
",000,False,000,False,False,False,1,65
"### | فصل إذا تصلح للشرطية
",000,False,000,False,False,False,1,38
"### | فصل إذن للتعليل
",000,False,000,False,False,False,1,19
"### | فصل حتى بمعنى الغاية
",000,False,000,False,False,False,1,96
"### | كتاب الاوامر
",000,False,000,False,False,False,1,25
"### | الفصل الأول في اثباته عليهم
",000,False,000,False,False,False,1,279
"### | الفصل الثاني في حد الكلام
",000,False,000,False,False,False,1,37
"### | الفصل الثالث في أقسام الكلام
",000,False,000,False,False,False,1,1986
"### | مسألة (11)
",000,False,000,False,False,False,1,1303
"### | فصل فيما تستعمل فيه صيغة الأمر
",000,False,000,False,False,False,1,197
"### | باب بيان الواجب والمندوب والمكروه والمحظور
",000,False,000,False,False,False,1,212
"### | كتاب العموم والخصوص
",000,False,000,False,False,False,1,36
"### | مسألة (1)
",000,False,000,False,False,False,1,1637
"### | الفصل الأول في حروفه
",000,False,000,False,False,False,1,263
"### | الفصل الثاني في شرائطه
",000,False,000,False,False,False,1,302
"### | الفصل الثالث
",000,False,000,False,False,False,1,196
"### | الفصل الرابع في تمييز الخاص عن الاستثناء
",000,False,000,False,False,False,1,156
"### | كتاب التأويل
",000,False,000,False,False,False,1,587
"### | فصل في بيان المحكم والمتشابه
",000,False,000,False,False,False,1,451
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة 
",000,False,000,False,False,False,1,1294
"### | مسألة (6)
",000,False,000,False,False,False,1,2426
"### | كتاب المفهوم
",000,False,000,False,False,False,1,1701
"### | القول في أفعال الرسول صلى الله عليه وسلم
",000,False,000,False,False,False,1,954
"### | القول في شرائع من قبلنا
",000,False,000,False,False,False,1,412
"### | كتاب الأخبار
",000,False,000,False,False,False,1,14
"### | الباب الأول في إثبات كون الخبر المتواتر مفيدا للعلم الضروري
",000,False,000,False,False,False,1,387
"### | الباب الثاني في العدد
",000,False,000,False,False,False,1,464
"### | الباب الثالث في شرائط التواتر
",000,False,000,False,False,False,1,203
"### | الباب الرابع في تقسيم الآحاد
",000,False,000,False,False,False,1,682
"### | القسم الثاني في إخبار الآحاد
",000,False,000,False,False,False,1,11
"### | الباب الأول في اثبات كون المخبر الواحد مفيدا للعمل
",000,False,000,False,False,False,1,243
"### | الباب الثاني في عددهم وصفتهم
",000,False,000,False,False,False,1,535
"### | الباب الثالث في الجرح والتعديل
",000,False,000,False,False,False,1,11
"### | الفصل الاول في العدد
",000,False,000,False,False,False,1,108
"### | الفصل الثاني في كيفية الجرح والتعديل
",000,False,000,False,False,False,1,115
"### | الفصل الثالث في التعديل بالفعل
",000,False,000,False,False,False,1,74
"### | الفصل الرابع في صفة المعدل والجارح
",000,False,000,False,False,False,1,72
"### | الفصل الخامس في عدالة الصحابة رضي الله عنهم
",000,False,000,False,False,False,1,71
"### | الباب الرابع فيما يعتمده الراوي
",000,False,000,False,False,False,1,11
"### | الفصل الاول في شرط الشيخ والقارئ والمتحمل
",000,False,000,False,False,False,1,153
"### | الفصل الثاني في الاعتماد على الكتب
",000,False,000,False,False,False,1,104
