string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,227
"### | 2 - 
",000,False,000,False,False,False,1,708
"### | 3 - 
",000,False,000,False,False,False,1,304
"### | 4 - 
",000,False,000,False,False,False,1,342
"### | باب بيان أعمال الإسلام وثواب إقامتها
",000,False,000,False,False,False,1,37
"### | 6 - 
",000,False,000,False,False,False,1,154
"### | 7 - 
",000,False,000,False,False,False,1,254
"### | 8 - 
",000,False,000,False,False,False,1,150
"### | 9 - 
",000,False,000,False,False,False,1,277
"### | 10 - 
",000,False,000,False,False,False,1,153
"### | 11 - 
",000,False,000,False,False,False,1,305
"### | 12 - 
",000,False,000,False,False,False,1,195
"### | 13 - 
",000,False,000,False,False,False,1,114
"### | 14 - 
",000,False,000,False,False,False,1,124
"### | 15 - 
",000,False,000,False,False,False,1,143
"### | 16 - 
",000,False,000,False,False,False,1,197
"### | باب بيان أن الأعمال من الإيمان وأن الإيمان يزيد وينقص والرد على المرجئة
",000,False,000,False,False,False,1,64
"### | 17 - 
",000,False,000,False,False,False,1,326
"### | 19 - 
",000,False,000,False,False,False,1,909
"### | 20 - 
",000,False,000,False,False,False,1,495
"### | باب حلاوة الإيمان وحب الله سبحانه وتعالى ورسوله صلى الله عليه وسلم
",000,False,000,False,False,False,1,73
"### | 21 - 
",000,False,000,False,False,False,1,161
"### | 22 - 
",000,False,000,False,False,False,1,112
"### | 23 - 
",000,False,000,False,False,False,1,175
"### | 24 - 
",000,False,000,False,False,False,1,141
"### | باب ثواب من آمن من أهل الكتاب
",000,False,000,False,False,False,1,44
"### | 25 - 
",000,False,000,False,False,False,1,150
"### | 26 - 
",000,False,000,False,False,False,1,145
"### | باب من أسلم على ما سلف له من الخير
",000,False,000,False,False,False,1,18
"### | 27 - 
",000,False,000,False,False,False,1,296
"### | 28 - 
",000,False,000,False,False,False,1,147
"### | باب البيعة على الإسلام وشرائعه والقتال مع من أبى
",000,False,000,False,False,False,1,24
"### | 29 - 
",000,False,000,False,False,False,1,424
"### | 30 - 
",000,False,000,False,False,False,1,115
"### | 31 - 
",000,False,000,False,False,False,1,121
"### | 32 - 
",000,False,000,False,False,False,1,190
"### | 33 - 
",000,False,000,False,False,False,1,196
"### | 34 - 
",000,False,000,False,False,False,1,168
"### | باب علامات النفاق
",000,False,000,False,False,False,1,121
"### | 35 - 
",000,False,000,False,False,False,1,107
"### | 36 - 
",000,False,000,False,False,False,1,136
"### | 37 - 
",000,False,000,False,False,False,1,135
"### | 38 - 
",000,False,000,False,False,False,1,140
"### | 39 - 
",000,False,000,False,False,False,1,250
"### | باب الكبائر
",000,False,000,False,False,False,1,67
"### | 40 - 
",000,False,000,False,False,False,1,160
"### | 41 - 
",000,False,000,False,False,False,1,104
"### | 42 - 
",000,False,000,False,False,False,1,196
