string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,191
"### | 2 - 
",000,False,000,False,False,False,1,46
"### | 2 - 
",000,False,000,False,False,False,1,69
"### | 3 - 
",000,False,000,False,False,False,1,131
"### | 4 - 
",000,False,000,False,False,False,1,67
"### | 5 - 
",000,False,000,False,False,False,1,90
"### | 6 - 
",000,False,000,False,False,False,1,35
"### | 7 - 
",000,False,000,False,False,False,1,39
"### | 8 - 
",000,False,000,False,False,False,1,114
"### | 9 - 
",000,False,000,False,False,False,1,93
"### | مجلس آخر
",000,False,000,False,False,False,1,4
"### | 10 - 
",000,False,000,False,False,False,1,96
"### | 11 - 
",000,False,000,False,False,False,1,172
"### | 12 - 
",000,False,000,False,False,False,1,190
"### | 13 - 
",000,False,000,False,False,False,1,140
"### | 14 - 
",000,False,000,False,False,False,1,79
"### | 15 - 
",000,False,000,False,False,False,1,77
"### | 16 - 
",000,False,000,False,False,False,1,74
"### | 17 - 
",000,False,000,False,False,False,1,83
"### | 18 - 
",000,False,000,False,False,False,1,125
"### | 19 - 
",000,False,000,False,False,False,1,122
"### | 20 - 
",000,False,000,False,False,False,1,58
"### | 22 21 - 
",000,False,000,False,False,False,1,76
"### | 21 - 
",000,False,000,False,False,False,1,108
"### | 22 - 
",000,False,000,False,False,False,1,76
"### | 22 - 
",000,False,000,False,False,False,1,128
"### | 23 - 
",000,False,000,False,False,False,1,62
"### | 24 - 
",000,False,000,False,False,False,1,109
"### | 25 - 
",000,False,000,False,False,False,1,82
"### | 25 - 
",000,False,000,False,False,False,1,89
