string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | ترجمة الميداني صاحب ""مجمع الأمثال"".
",000,False,000,False,False,False,1,1215
"### | [ص: 2]
",000,False,000,False,False,False,1,325
"### | [ص: 3]
",000,False,000,False,False,False,1,319
"### | [ص: 4]
",000,False,000,False,False,False,1,327
"### | [ص: 5]
",000,False,000,False,False,False,1,262
"### | [ص: 6]
",000,False,000,False,False,False,1,214
"### | الباب الأول فيما أوله همزة.
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,122
"### | ""إن من البيان لسحرا"" 
",000,False,000,False,False,False,1,405
"### | [ص: 9]
",000,False,000,False,False,False,1,17
"### | 4- 
",000,False,000,False,False,False,1,127
"### | إن الموصين بنو سهوان
",000,False,000,False,False,False,1,362
"### | 11- 
",000,False,000,False,False,False,1,76
"### | [ص: 11]
",000,False,000,False,False,False,1,147
"### | : إن المعافى غير مخدوع، 
",000,False,000,False,False,False,1,85
"### | 14- 
",000,False,000,False,False,False,1,249
"### | 22- 
",000,False,000,False,False,False,1,60
"### | [ص: 13]
",000,False,000,False,False,False,1,57
"### | : إن عليك جرشا فتعشه. 
",000,False,000,False,False,False,1,210
"### | 27- 
",000,False,000,False,False,False,1,47
"### | أن المقدرة تذهب الحفيظة 
",000,False,000,False,False,False,1,138
"### | 31- 
",000,False,000,False,False,False,1,88
"### | [ص: 15]
",000,False,000,False,False,False,1,129
"### | 32- 
",000,False,000,False,False,False,1,171
"### | [ص: 16]
",000,False,000,False,False,False,1,334
"### | [ص: 17]
",000,False,000,False,False,False,1,50
"### | : إن العصا من العصية، 
",000,False,000,False,False,False,1,245
"### | [ص: 18]
",000,False,000,False,False,False,1,291
"### | [ص: 19]
",000,False,000,False,False,False,1,297
"### | [ص: 20]
",000,False,000,False,False,False,1,280
"### | [ص: 21]
",000,False,000,False,False,False,1,191
"### | 57- 
",000,False,000,False,False,False,1,61
"### | : أتتك بحائن رجلاه، 
",000,False,000,False,False,False,1,54
"### | [ص: 22]
",000,False,000,False,False,False,1,42
"### | 58- 
",000,False,000,False,False,False,1,30
"### | إياك وأهلب العضرط، 
",000,False,000,False,False,False,1,38
"### | 60- 
",000,False,000,False,False,False,1,39
"### | ""أنا ابن بجدتها"" 
",000,False,000,False,False,False,1,99
"### | 63- 
",000,False,000,False,False,False,1,27
"### | [ص: 23]
",000,False,000,False,False,False,1,51
"### | : إذا عز أخوك فهن، 
",000,False,000,False,False,False,1,25
"### | 64- 
",000,False,000,False,False,False,1,77
"### | 66- 
",000,False,000,False,False,False,1,123
"### | 71- 
",000,False,000,False,False,False,1,25
"### | إن أخاك ليسر بأن يعتقل، 
",000,False,000,False,False,False,1,474
"### | 85- 
",000,False,000,False,False,False,1,28
"### | [ص: 26]
",000,False,000,False,False,False,1,38
"### | : أول الصيد فرع 
",000,False,000,False,False,False,1,214
"### | 90- 
",000,False,000,False,False,False,1,292
"### | [ص: 28]
",000,False,000,False,False,False,1,182
"### | 103- 
",000,False,000,False,False,False,1,64
"### | : إن يبغ عليك قومك لا يبغ عليك القمر، 
",000,False,000,False,False,False,1,476
"### | 119- 
",000,False,000,False,False,False,1,61
"### | 120- 
",000,False,000,False,False,False,1,24
"### | أنا ابن جلا 
",000,False,000,False,False,False,1,247
"### | [ص: 32]
",000,False,000,False,False,False,1,277
"### | [ص: 33]
",000,False,000,False,False,False,1,275
"### | [ص: 34]
",000,False,000,False,False,False,1,27
"### | 134- 
",000,False,000,False,False,False,1,23
"### | : أي فتى قتله الدخان؟ 
",000,False,000,False,False,False,1,73
"### | 137- 
",000,False,000,False,False,False,1,134
"### | [ص: 35]
",000,False,000,False,False,False,1,64
"### | 142- 
",000,False,000,False,False,False,1,259
"### | [ص: 36]
",000,False,000,False,False,False,1,76
"### | ، إحدى حظيات لقمان، 
",000,False,000,False,False,False,1,400
"### | 146- 
",000,False,000,False,False,False,1,137
"### | [ص: 38]
",000,False,000,False,False,False,1,230
"### | "" إن العصا قرعت لذي الحلم"": 
",000,False,000,False,False,False,1,103
