string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,21
"### | 2 - 
",000,False,000,False,False,False,1,12
"### | 3 - 
",000,False,000,False,False,False,1,17
"### | 4 - 
",000,False,000,False,False,False,1,13
"### | 5 - 
",000,False,000,False,False,False,1,13
"### | 6 - 
",000,False,000,False,False,False,1,20
"### | 7 - 
",000,False,000,False,False,False,1,12
"### | 8 - 
",000,False,000,False,False,False,1,20
"### | 9 - 
",000,False,000,False,False,False,1,21
"### | 10 - 
",000,False,000,False,False,False,1,12
"### | 11 - 
",000,False,000,False,False,False,1,10
"### | 12 - 
",000,False,000,False,False,False,1,11
"### | 13 - 
",000,False,000,False,False,False,1,14
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | 15 - 
",000,False,000,False,False,False,1,14
"### | 16 - 
",000,False,000,False,False,False,1,29
"### | 17 - 
",000,False,000,False,False,False,1,18
"### | 18 - 
",000,False,000,False,False,False,1,26
"### | 19 - 
",000,False,000,False,False,False,1,31
"### | 20 - 
",000,False,000,False,False,False,1,28
"### | 21 - 
",000,False,000,False,False,False,1,25
"### | 22 - 
",000,False,000,False,False,False,1,39
"### | 23 - 
",000,False,000,False,False,False,1,21
"### | 24 - 
",000,False,000,False,False,False,1,80
"### | 25 - 
",000,False,000,False,False,False,1,58
"### | 26 - 
",000,False,000,False,False,False,1,36
"### | 27 - 
",000,False,000,False,False,False,1,21
"### | 28 - 
",000,False,000,False,False,False,1,52
"### | 29 - 
",000,False,000,False,False,False,1,21
"### | 30 - 
",000,False,000,False,False,False,1,38
"### | 31 - 
",000,False,000,False,False,False,1,14
"### | 32 - 
",000,False,000,False,False,False,1,15
"### | 33 - 
",000,False,000,False,False,False,1,12
"### | 34 - 
",000,False,000,False,False,False,1,19
"### | 35 - 
",000,False,000,False,False,False,1,22
"### | 36 - 
",000,False,000,False,False,False,1,23
"### | 37 - 
",000,False,000,False,False,False,1,26
"### | 38 - 
",000,False,000,False,False,False,1,17
"### | 39 - 
",000,False,000,False,False,False,1,35
"### | 40 - 
",000,False,000,False,False,False,1,16
"### | 41 - 
",000,False,000,False,False,False,1,25
"### | 42 - 
",000,False,000,False,False,False,1,99
"### | 43 - 
",000,False,000,False,False,False,1,33
"### | 44 - 
",000,False,000,False,False,False,1,21
"### | 45 - 
",000,False,000,False,False,False,1,58
"### | 46 - 
",000,False,000,False,False,False,1,22
"### | 47 - 
",000,False,000,False,False,False,1,64
"### | 48 - 
",000,False,000,False,False,False,1,128
"### | 49 - 
",000,False,000,False,False,False,1,107
"### | 50 - 
",000,False,000,False,False,False,1,79
"### | 51 - 
",000,False,000,False,False,False,1,50
"### | 52 - 
",000,False,000,False,False,False,1,84
"### | 53 - 
",000,False,000,False,False,False,1,33
"### | 54 - 
",000,False,000,False,False,False,1,20
"### | 55 - 
",000,False,000,False,False,False,1,62
"### | 56 - 
",000,False,000,False,False,False,1,19
"### | 57 - 
",000,False,000,False,False,False,1,58
"### | 58 - 
",000,False,000,False,False,False,1,19
"### | 59 - 
",000,False,000,False,False,False,1,29
"### | 60 - 
",000,False,000,False,False,False,1,210
"### | 61 - 
",000,False,000,False,False,False,1,58
"### | 62 - 
",000,False,000,False,False,False,1,69
"### | 63 - 
",000,False,000,False,False,False,1,70
"### | 64 - 
",000,False,000,False,False,False,1,104
"### | 65 - 
",000,False,000,False,False,False,1,18
"### | 66 - 
",000,False,000,False,False,False,1,36
"### | 67 - 
",000,False,000,False,False,False,1,22
"### | 68 - 
",000,False,000,False,False,False,1,43
"### | 69 - 
",000,False,000,False,False,False,1,64
"### | 70 - 
",000,False,000,False,False,False,1,79
"### | 71 - 
",000,False,000,False,False,False,1,41
"### | 72 - 
",000,False,000,False,False,False,1,52
"### | 73 - 
",000,False,000,False,False,False,1,38
"### | 74 - 
",000,False,000,False,False,False,1,34
"### | 75 - 
",000,False,000,False,False,False,1,30
"### | 76 - 
",000,False,000,False,False,False,1,23
"### | 77 - 
",000,False,000,False,False,False,1,19
"### | 78 - 
",000,False,000,False,False,False,1,25
"### | 79 - 
",000,False,000,False,False,False,1,41
"### | 80 - 
",000,False,000,False,False,False,1,58
"### | 81 - 
",000,False,000,False,False,False,1,90
"### | 82 - 
",000,False,000,False,False,False,1,65
"### | 83 - 
",000,False,000,False,False,False,1,292
"### | 84 - 
",000,False,000,False,False,False,1,21
"### | 85 - 
",000,False,000,False,False,False,1,30
"### | 86 - 
",000,False,000,False,False,False,1,34
"### | 87 - 
",000,False,000,False,False,False,1,74
"### | 88 - 
",000,False,000,False,False,False,1,61
"### | 89 - 
",000,False,000,False,False,False,1,84
"### | 90 - 
",000,False,000,False,False,False,1,77
"### | تم بحمد الله
",000,False,000,False,False,False,1,5
