string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المقدمة
",000,False,000,False,False,False,1,998
"### | فصل </span> ذكر من صنف في علم الأنساب في البلدان
",000,False,000,False,False,False,1,276
"### | فصل </span> تحديد النسب والحسب والفرق بينهما
",000,False,000,False,False,False,1,616
"### | فصل </span></span> القرابة التي كانت بين قريش وتميم
",000,False,000,False,False,False,1,378
"### | فصل قول النبي أنا ابن العواتك 
",000,False,000,False,False,False,1,313
"### | فصل </span></span></span> معنى العلوي واشتقاقه
",000,False,000,False,False,False,1,140
"### | فصل معنى الحسن والحسين
",000,False,000,False,False,False,1,98
"### | فصل شرف علم الأنساب
",000,False,000,False,False,False,1,267
"### | فصل
",000,False,000,False,False,False,1,421
"### | فصل تفاصيل فرق الناس
",000,False,000,False,False,False,1,875
"### | فصل </span> قوله تعالى وقطعناهم اثنتا عشرة أسباطا
",000,False,000,False,False,False,1,261
"### | تبصرة معنى قول النبي أنا ابن الذبيحين
",000,False,000,False,False,False,1,369
"### | فصل </span></span>
",000,False,000,False,False,False,1,100
"### | فصل الآيات الواردة في النسب وفضيلته
",000,False,000,False,False,False,1,1697
"### | فصل </span> فضائل السبطين الحسن والحسين وفضل أولادهما رضي الله عنهم
",000,False,000,False,False,False,1,662
"### | فصل </span>
",000,False,000,False,False,False,1,489
"### | فصل </span></span> الأنساب والألقاب وأسبابها
",000,False,000,False,False,False,1,68
"### | فصل تفضيل ms028 بني هاشم على سائر القريش
",000,False,000,False,False,False,1,1412
"### | فصل </span></span></span> قريش الطواهر وقريش البطائح
",000,False,000,False,False,False,1,119
"### | فصل
",000,False,000,False,False,False,1,136
"### | فصل ذكر السادات الذين خرجوا وتبعهم الناس وادعوا الإمامة
",000,False,000,False,False,False,1,999
"### | فصل </span>
",000,False,000,False,False,False,1,123
"### | فصل معاني الأسماء في نسب بني هاشم
",000,False,000,False,False,False,1,424
"### | أبناء علي
",000,False,000,False,False,False,1,1828
"### || الحسن بن علي بن أبي طالب رضي الله عنهما
",000,False,000,False,False,False,2,696
"### | الطبقة الخامسة العلوية الجعفرية والعقيلية
",000,False,000,False,False,False,1,230
"### | الطبقة السابعة الحسينية والحسنية والعباسية والعلوية والعمرية العلوية وممن بقي من الجعفرية والعقيلية والعباسية
",000,False,000,False,False,False,1,1711
"### | العقبة السابعة:
",000,False,000,False,False,False,1,559
"### | فصل </span>
",000,False,000,False,False,False,1,127
"### | فصل
",000,False,000,False,False,False,1,909
"### | تفاصيل الطبقة ms058 العاشرة والقعدد الأخير
",000,False,000,False,False,False,1,3761
"### | فصل الدارجين وغير المعقبين من الطالبين
",000,False,000,False,False,False,1,4597
"### | باب أنساب بني زبارة من آل رسول الله صلى الله عليه وآله وأولاده وأولاد الحسين بن علي رضي الله عنهما
",000,False,000,False,False,False,1,737
"### | أولاد زين العابدين علي بن الإمام الشهيد الحسين بن علي بن أبي طالب رضي الله عنهم
",000,False,000,False,False,False,1,1160
"### | فصل </span> أعقاب الحسن الأفطس تفاصيل ذلك العقب من الحسن الأفطس بن علي بن زين العابدين رضي الله عنه.
",000,False,000,False,False,False,1,7746
"### | أنساب النقباء
",000,False,000,False,False,False,1,17675
"### || نقيب النقباء بنيسابور
",000,False,000,False,False,False,2,114
"### || فصل </span> نساب أمراء مكة حرسهم الله وحرسها وأمراء المدينة الذين يقال لهم المهنائية لكثرة اسم المهنا فيهم:
",000,False,000,False,False,False,2,190
"### || فصل
",000,False,000,False,False,False,2,558
"### || سادات الطائف
",000,False,000,False,False,False,2,94
"### || نسب قضاة مكة حرسها الله تعالى
",000,False,000,False,False,False,2,110
"### || أنساب أمير المدينة حرسها الله وأشرافها
",000,False,000,False,False,False,2,224
"### || نقيب بغداد
",000,False,000,False,False,False,2,799
"### || النقيب بمقابر قريش والسواد
",000,False,000,False,False,False,2,60
"### || نقيب مشهد الكوفة وسادات الكوفة
",000,False,000,False,False,False,2,264
"### || نقيب الموصل
",000,False,000,False,False,False,2,53
"### || نقيب البصرة
",000,False,000,False,False,False,2,286
"### || نقيب أرجان
",000,False,000,False,False,False,2,158
"### || نقيب واسط
",000,False,000,False,False,False,2,57
"### || سادات قصر بن هبيرة
",000,False,000,False,False,False,2,316
"### || نقيب قيروان المغرب
",000,False,000,False,False,False,2,365
"### || نقيب البطائح
",000,False,000,False,False,False,2,331
"### || نقيب دربندر حيرران
",000,False,000,False,False,False,2,20
"### || نقيب آبة وميافارقين
",000,False,000,False,False,False,2,541
"### || نقيب تفليس
",000,False,000,False,False,False,2,302
"### || نقيب الأهواز
",000,False,000,False,False,False,2,499
"### || نقيب راوند قم
",000,False,000,False,False,False,2,197
"### || سادات همدان
",000,False,000,False,False,False,2,265
"### || نقيب أصفهان
",000,False,000,False,False,False,2,167
"### || أنساب درازكيسو
",000,False,000,False,False,False,2,33
"### || أنساب بني شش ديو
",000,False,000,False,False,False,2,32
"### || الهارونية الحسنية
",000,False,000,False,False,False,2,41
"### || نقيب طبرستان
",000,False,000,False,False,False,2,75
"### || نقيب صنعاء اليمن
",000,False,000,False,False,False,2,35
"### || نقيب شيراز
",000,False,000,False,False,False,2,352
"### || نقيب كرمان
",000,False,000,False,False,False,2,140
"### || نقيب كورة بلخ
",000,False,000,False,False,False,2,890
"### || نقيب ترمد
",000,False,000,False,False,False,2,463
"### || نقيب كورة مرو
",000,False,000,False,False,False,2,316
"### || نقيب يزد
",000,False,000,False,False,False,2,136
"### || نقيب فارس
",000,False,000,False,False,False,2,377
"### || جيلان
",000,False,000,False,False,False,2,35
"### || نقيب حدود همدان
",000,False,000,False,False,False,2,42
"### || نقيب عدن
",000,False,000,False,False,False,2,16
"### || نقيب رامهرمز
",000,False,000,False,False,False,2,328
"### || نقيب طبرية
",000,False,000,False,False,False,2,258
"### || نقيب ولوالج
",000,False,000,False,False,False,2,82
"### || نقيب استراباد
",000,False,000,False,False,False,2,270
"### || نقيب قم وقاشان
",000,False,000,False,False,False,2,233
"### || نقيب آبة
",000,False,000,False,False,False,2,185
