string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | حنين بن اسحق المترجم
",000,False,000,False,False,False,1,199
"### | اسحق بن حنين بن اسحق
",000,False,000,False,False,False,1,170
"### | حبيش الطبيب
",000,False,000,False,False,False,1,52
"### | ثابت بن قرة الحراني
",000,False,000,False,False,False,1,124
"### | محمد بن زكريا الرازي المتطبب
",000,False,000,False,False,False,1,117
"### | علي بن ربن الطبري
",000,False,000,False,False,False,1,53
"### | إسحاق بن سليمان
",000,False,000,False,False,False,1,36
"### | أبو الحسن البسطامي
",000,False,000,False,False,False,1,61
"### | اسحق بن قريش
",000,False,000,False,False,False,1,29
"### | أبو زكار النيسابوري
",000,False,000,False,False,False,1,35
"### | أبو الحسن الصميري
",000,False,000,False,False,False,1,31
"### | أبو الحسن بن تكين البغدادي الضرير
",000,False,000,False,False,False,1,57
"### | الحكيم أبو الخير الحسن بن بابا بن سوار بن بهنام 
",000,False,000,False,False,False,1,309
"### | الحكيم متى بن يونس المترجم
",000,False,000,False,False,False,1,65
"### | يحيى بن منصور المنجم
",000,False,000,False,False,False,1,57
"### | محمد بن جابر الحراني البتاني
",000,False,000,False,False,False,1,72
"### | الشيخ أبو نصر الفارابي
",000,False,000,False,False,False,1,648
"### | فصل إخوان الصفا
",000,False,000,False,False,False,1,92
"### | الحكيم أبو عبد الله الناتلي
",000,False,000,False,False,False,1,151
"### | يحيى النحوي الملقب بالطريق والمنسوب إلى الديلم 
",000,False,000,False,False,False,1,251
"### | يعقوب بن اسحق الكندي
",000,False,000,False,False,False,1,134
"### | أبو زيد البلخي
",000,False,000,False,False,False,1,164
"### | الفيلسوف أبو الفرج بن الطيب الجاثليق
",000,False,000,False,False,False,1,654
"### | الحكيم العالم أبو القاسم الكرماني
",000,False,000,False,False,False,1,132
"### | أبو الفتح يحيى بن علي بن محمد الكاتب البستي
",000,False,000,False,False,False,1,233
"### | أبو العباس أحمد بن إسحاق الجرمقي
",000,False,000,False,False,False,1,71
"### | الحكيم الوزير شرف الملك أبو علي الحسين بن عبد الله بن سينا البخاري 
",000,False,000,False,False,False,1,2905
"### | أبو الريحان البيروني
",000,False,000,False,False,False,1,204
"### | الحكيم أبو المحسن علي بن رامساس العوفي
",000,False,000,False,False,False,1,112
"### | أبو علي عيسى بن اسحق بن زرعة الفيلسوف
",000,False,000,False,False,False,1,515
"### | أبو الحسن بن سنان الطبيب
",000,False,000,False,False,False,1,88
"### | أبو الحسن بن هرون الحراني
",000,False,000,False,False,False,1,74
"### | العماني الطبيب
",000,False,000,False,False,False,1,71
"### | الحكيم ابن سيار الطبيب
",000,False,000,False,False,False,1,79
"### | الحكيم دانيال الطبيب
",000,False,000,False,False,False,1,140
"### | الحكيم أبو سليمان محمد بن طاهر بن بهدام السجستاني
",000,False,000,False,False,False,1,175
"### | الحكيم أبو حامد أحمد بن اسحق الأسفزاري
",000,False,000,False,False,False,1,130
"### | الحكيم أبو الوفاء البوزجاني
",000,False,000,False,False,False,1,95
"### | الحكيم بطليموس التالي أبو علي بن الهيثم
",000,False,000,False,False,False,1,432
"### | الحكيم أبو سهل الكوهي
",000,False,000,False,False,False,1,90
"### | الحكيم أبو محمد العدلي العايني
",000,False,000,False,False,False,1,87
"### | ابن أعلم الشريف البغدادي
",000,False,000,False,False,False,1,96
"### | أبو الحسن كوشيار بن ليان بن باسهري (؟) الجبلي
",000,False,000,False,False,False,1,82
"### | محمد بن أيوب الطبري
",000,False,000,False,False,False,1,42
"### | أبو الصقر عبد العزيز بن عثمان القبيصي الهاشمي
",000,False,000,False,False,False,1,82
"### | الحكيم الأديب أبو الفرج علي بن الحسين بن هندو 
",000,False,000,False,False,False,1,358
"### | العالم الحكيم أبو سهل المسيحي
",000,False,000,False,False,False,1,205
"### | أبو زكريا يحيى بن عدي
",000,False,000,False,False,False,1,71
"### | الفيلسوف بهمن يار الحكيم
",000,False,000,False,False,False,1,152
"### | الحكيم أبو منصور الحسين بن طاهر بن زيلة
",000,False,000,False,False,False,1,175
"### | الفقيه الحكيم أبو عبيد عبد الواحد الجوزجالي
",000,False,000,False,False,False,1,183
"### | أبو عبد الله المعصومي الحكيم
",000,False,000,False,False,False,1,218
"### | أبو الحسن الأنباري الحكيم
",000,False,000,False,False,False,1,102
"### | الأديب الحكيم إسماعيل الهروي
",000,False,000,False,False,False,1,95
"### | الحكيم ميمون بن الجيب الواسطي
",000,False,000,False,False,False,1,147
"### | الحكيم أبو الفتح كوشك
",000,False,000,False,False,False,1,180
"### | أبو سهل النيلي النيسابوري
",000,False,000,False,False,False,1,118
"### | إبراهيم بن عدي الحكيم
",000,False,000,False,False,False,1,73
"### | الحكيم أبو الحسن علي بن أحمد الحسوني
",000,False,000,False,False,False,1,106
"### | أبو عيسى بن يحيى بن علي المنجم
",000,False,000,False,False,False,1,60
