string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | أخبار لحفظ القرآن
",000,False,000,False,False,False,1,36
"### | أخبار لحفظ القرآن
",000,False,000,False,False,False,1,108
"### | 1 - 
",000,False,000,False,False,False,1,109
"### | [ص: 18]
",000,False,000,False,False,False,1,120
"### | [ص: 19]
",000,False,000,False,False,False,1,144
"### | [ص: 20]
",000,False,000,False,False,False,1,108
"### | 2 - 
",000,False,000,False,False,False,1,94
"### | [ص: 21]
",000,False,000,False,False,False,1,61
"### | 3 - 
",000,False,000,False,False,False,1,103
"### | [ص: 22]
",000,False,000,False,False,False,1,111
"### | [ص: 23]
",000,False,000,False,False,False,1,42
"### | 4 - 
",000,False,000,False,False,False,1,117
"### | [ص: 24]
",000,False,000,False,False,False,1,53
"### | في الحجامة وفضلها
",000,False,000,False,False,False,1,6
"### | 5 - 
",000,False,000,False,False,False,1,100
"### | سبب النسيان
",000,False,000,False,False,False,1,4
"### | 6 - 
",000,False,000,False,False,False,1,65
"### | 7 - 
",000,False,000,False,False,False,1,80
"### | [ص: 26]
",000,False,000,False,False,False,1,20
"### | 8 - 
",000,False,000,False,False,False,1,72
"### | 9 - 
",000,False,000,False,False,False,1,76
"### | 10 - 
",000,False,000,False,False,False,1,52
"### | 11 - 
",000,False,000,False,False,False,1,58
"### | 12 - 
",000,False,000,False,False,False,1,52
"### | [ص: 28]
",000,False,000,False,False,False,1,76
"### | 13 - 
",000,False,000,False,False,False,1,19
"### | ..... 
",000,False,000,False,False,False,1,14
"### | ..... 
",000,False,000,False,False,False,1,55
