string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | -[(2) حديث أهل حردان]-
",000,False,000,False,False,False,1,54
"### | جزء فيه حديث من حديث أهل حردان
",000,False,000,False,False,False,1,104
"### | 1 - 
",000,False,000,False,False,False,1,84
"### | [ص: 59]
",000,False,000,False,False,False,1,108
"### | 2 - 
",000,False,000,False,False,False,1,97
"### | 3 - 
",000,False,000,False,False,False,1,54
"### | 4 - 
",000,False,000,False,False,False,1,96
"### | 5 - 
",000,False,000,False,False,False,1,80
"### | 6 - 
",000,False,000,False,False,False,1,73
"### | 7 - 
",000,False,000,False,False,False,1,176
"### | 8 - 
",000,False,000,False,False,False,1,75
"### | 9 - 
",000,False,000,False,False,False,1,86
"### | 10 - 
",000,False,000,False,False,False,1,92
"### | 11 - 
",000,False,000,False,False,False,1,77
"### | 12 - 
",000,False,000,False,False,False,1,103
"### | 13 - 
",000,False,000,False,False,False,1,25
"### | 14 - 
",000,False,000,False,False,False,1,72
"### | 15 - 
",000,False,000,False,False,False,1,104
"### | 16 - 
",000,False,000,False,False,False,1,98
"### | 17 - 
",000,False,000,False,False,False,1,99
"### | 18 - 
",000,False,000,False,False,False,1,79
"### | 19 - 
",000,False,000,False,False,False,1,78
"### | 20 - 
",000,False,000,False,False,False,1,77
"### | 21 - 
",000,False,000,False,False,False,1,105
"### | 22 - 
",000,False,000,False,False,False,1,76
"### | 23 - 
",000,False,000,False,False,False,1,77
"### | 24 - 
",000,False,000,False,False,False,1,83
"### | [ص: 85]
",000,False,000,False,False,False,1,26
"### | 25 - 
",000,False,000,False,False,False,1,108
"### | 26 - 
",000,False,000,False,False,False,1,89
