string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,165
"### | 2- 
",000,False,000,False,False,False,1,41
"### | 3 - 
",000,False,000,False,False,False,1,61
"### | 4 - 
",000,False,000,False,False,False,1,45
"### | 5 - 
",000,False,000,False,False,False,1,49
"### | 6 - 
",000,False,000,False,False,False,1,27
"### | 7 - 
",000,False,000,False,False,False,1,53
"### | 8 - 
",000,False,000,False,False,False,1,21
"### | 9 - 
",000,False,000,False,False,False,1,96
"### | 10 - 
",000,False,000,False,False,False,1,35
"### | 11 - 
",000,False,000,False,False,False,1,101
"### | 12 - 
",000,False,000,False,False,False,1,46
"### | 13 - 
",000,False,000,False,False,False,1,44
"### | 14 - 
",000,False,000,False,False,False,1,156
"### | 15 - 
",000,False,000,False,False,False,1,154
"### | 16 - 
",000,False,000,False,False,False,1,121
"### | 17 - 
",000,False,000,False,False,False,1,123
"### | 18 - 
",000,False,000,False,False,False,1,163
"### | ذكر من اسمه أحمد ممن سمعت منهم من أصحاب الإمام أبي عبد الله
",000,False,000,False,False,False,1,26
"### | 19 - 
",000,False,000,False,False,False,1,116
"### | زياد 
",000,False,000,False,False,False,1,66
"### | 20 - 
",000,False,000,False,False,False,1,78
"### | 21 - 
",000,False,000,False,False,False,1,94
"### | 22 - 
",000,False,000,False,False,False,1,85
"### | 23 - 
",000,False,000,False,False,False,1,100
"### | 24 - 
",000,False,000,False,False,False,1,136
"### | 25 - 
",000,False,000,False,False,False,1,99
"### | 26 - 
",000,False,000,False,False,False,1,83
"### | 27 - 
",000,False,000,False,False,False,1,131
"### | 28 - 
",000,False,000,False,False,False,1,75
"### | 29 - 
",000,False,000,False,False,False,1,142
"### | 30 - 
",000,False,000,False,False,False,1,102
"### | 31 - 
",000,False,000,False,False,False,1,110
"### | زياد
",000,False,000,False,False,False,1,2
"### | 32 - 
",000,False,000,False,False,False,1,88
"### | سليمان
",000,False,000,False,False,False,1,2
"### | 33 - 
",000,False,000,False,False,False,1,105
"### | شجاع
",000,False,000,False,False,False,1,2
"### | 34 - 
",000,False,000,False,False,False,1,56
"### | شيبان 
",000,False,000,False,False,False,1,97
"### | شيبان
",000,False,000,False,False,False,1,2
"### | 35 - 
",000,False,000,False,False,False,1,110
"### | طلحة
",000,False,000,False,False,False,1,2
"### | 36 - 
",000,False,000,False,False,False,1,76
"### | ذكر العبادلة
",000,False,000,False,False,False,1,4
"### | من اسمه: عبد الله
",000,False,000,False,False,False,1,8
"### | 37 - 
",000,False,000,False,False,False,1,125
"### | ومن اسمه عبد الرحمن
",000,False,000,False,False,False,1,8
"### | 38 - 
",000,False,000,False,False,False,1,139
"### | 39 - 
",000,False,000,False,False,False,1,92
"### | 40 - 
",000,False,000,False,False,False,1,111
"### | 41 - 
",000,False,000,False,False,False,1,77
"### | عبد الوهاب
",000,False,000,False,False,False,1,4
"### | 42 - 
",000,False,000,False,False,False,1,94
"### | 43 - 
",000,False,000,False,False,False,1,62
"### | 44 - 
",000,False,000,False,False,False,1,117
"### | عبد الواحد
",000,False,000,False,False,False,1,4
"### | 45 - 
",000,False,000,False,False,False,1,122
"### | 46 - 
",000,False,000,False,False,False,1,98
"### | عبيد الله
",000,False,000,False,False,False,1,4
"### | 47 - 
",000,False,000,False,False,False,1,58
"### | عمر 
",000,False,000,False,False,False,1,19
"### | عبد الرزاق
",000,False,000,False,False,False,1,4
"### | 48 - 
",000,False,000,False,False,False,1,124
"### | علي
",000,False,000,False,False,False,1,30
"### | عمر
",000,False,000,False,False,False,1,2
"### | 49 - 
",000,False,000,False,False,False,1,78
"### | 50 - 
",000,False,000,False,False,False,1,97
"### | علي
",000,False,000,False,False,False,1,2
"### | 51 - 
",000,False,000,False,False,False,1,101
"### | 52 - 
",000,False,000,False,False,False,1,89
"### | ومن اسمه الفضل
",000,False,000,False,False,False,1,6
"### | 53 - 
",000,False,000,False,False,False,1,109
"### | 54 - 
",000,False,000,False,False,False,1,101
"### | 55 - 
",000,False,000,False,False,False,1,106
"### | من اسمه محمد منهم
",000,False,000,False,False,False,1,8
"### | 56 - 
",000,False,000,False,False,False,1,64
"### | 57 - 
",000,False,000,False,False,False,1,83
"### | 58 - 
",000,False,000,False,False,False,1,100
"### | 59 - 
",000,False,000,False,False,False,1,115
"### | 60 - 
",000,False,000,False,False,False,1,128
"### | 61 - 
",000,False,000,False,False,False,1,73
"### | ومن بقية الميم
",000,False,000,False,False,False,1,6
"### | 62 - 
",000,False,000,False,False,False,1,62
"### | 63 - 
",000,False,000,False,False,False,1,91
"### | 64 - 
",000,False,000,False,False,False,1,110
"### | ومن النساء
",000,False,000,False,False,False,1,4
"### | 65 - 
",000,False,000,False,False,False,1,103
"### | 66 - 
",000,False,000,False,False,False,1,93
"### | ذكر من سمعت منه من أهل بيت أبي عبد الله بن منده رحمهم الله
",000,False,000,False,False,False,1,28
"### | 67 - 
",000,False,000,False,False,False,1,80
"### | 68 - 
",000,False,000,False,False,False,1,105
"### | 69 - 
",000,False,000,False,False,False,1,112
"### | 70 - 
",000,False,000,False,False,False,1,115
"### | 71 - 
",000,False,000,False,False,False,1,222
"### | 72 - 
",000,False,000,False,False,False,1,43
"### | 73 - 
",000,False,000,False,False,False,1,116
"### | ومن نساء أهل بيته
",000,False,000,False,False,False,1,8
"### | 74 - 
",000,False,000,False,False,False,1,101
"### | ومن موالي أهل بيته
",000,False,000,False,False,False,1,8
"### | 75 - 
",000,False,000,False,False,False,1,77
"### | 76 - 
",000,False,000,False,False,False,1,36
