string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (بسم الله الرحمن الرحيم)
",000,False,000,False,False,False,1,451
"### | 1 -
",000,False,000,False,False,False,1,11
"### | 2 -
",000,False,000,False,False,False,1,13
"### | 3 -
",000,False,000,False,False,False,1,7
"### | 4 -
",000,False,000,False,False,False,1,17
"### | 5 -
",000,False,000,False,False,False,1,11
"### | 6 -
",000,False,000,False,False,False,1,19
"### | 7 -
",000,False,000,False,False,False,1,13
"### | 8 -
",000,False,000,False,False,False,1,17
"### | 9 -
",000,False,000,False,False,False,1,11
"### | 10 -
",000,False,000,False,False,False,1,17
"### | 11 -
",000,False,000,False,False,False,1,17
"### | 12 -
",000,False,000,False,False,False,1,21
"### | 13 -
",000,False,000,False,False,False,1,19
"### | 14 -
",000,False,000,False,False,False,1,17
"### | 15 -
",000,False,000,False,False,False,1,11
"### | 16 -
",000,False,000,False,False,False,1,55
"### | (فصل في عيوب اللسان)
",000,False,000,False,False,False,1,2537
"### | 7 - / 
",000,False,000,False,False,False,1,1606
"### | - يقول كذا، وأخبرني أو حدثني وما جرى هذا المجرى، والثاني أن يقول: قال رسول الله - 
",000,False,000,False,False,False,1,64
"### | - بكذا؛ لأنه يتطرق (إلى هذا ما تطرق) إلى الذي قبله، وربما ظن الراوي ما ليس بأمر أمرا الرابع: أن يقول أمرنا بكذا، الخامس: أن يقول كنا نفعل) ، وشرط التواتر أن يكون الإخبار فيه عن علم لا عن ظن، وأن يكون العلم ضروريا، وأن يستوي طرفاه 
",000,False,000,False,False,False,1,95
"### | (ربع العبادات وعدة مسائله)
",000,False,000,False,False,False,1,491
"### | (ربع المعاملات وعدة مسائله)
",000,False,000,False,False,False,1,673
"### | (ربع النكاح وعدة مسائله)
",000,False,000,False,False,False,1,503
"### | (ربع الجنايات وعدة مسائله)
",000,False,000,False,False,False,1,424
"### | 
",000,False,000,False,False,False,1,0
"### | (كتاب الطهارة)
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | (كتاب الطهارة)
",000,False,000,False,False,False,1,360
"### | (كتاب الطهارة)
",000,False,000,False,False,False,1,4
"### | (المسائل)
",000,False,000,False,False,False,1,2
"### | (المسألة الأولى: إزالة النجاسة (أ)) .
",000,False,000,False,False,False,1,236
"### | (المسألة الثانية: المتغير بمخالطة طاهر يستغنى عنه. (ب))
",000,False,000,False,False,False,1,186
"### | (المسألة الثالثة: نبيذ التمر: (ج)) .
",000,False,000,False,False,False,1,201
