string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,197
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,86
"### | [ص: 30]
",000,False,000,False,False,False,1,38
"### | كتاب الطهارة
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,56
"### | 2 - 
",000,False,000,False,False,False,1,39
"### | 3 - 
",000,False,000,False,False,False,1,21
"### | [ص: 32]
",000,False,000,False,False,False,1,38
"### | 4 - 
",000,False,000,False,False,False,1,96
"### | 5 - 
",000,False,000,False,False,False,1,14
"### | [ص: 33]
",000,False,000,False,False,False,1,42
"### | 6 - 
",000,False,000,False,False,False,1,28
"### | 7 - 
",000,False,000,False,False,False,1,39
"### | 8 - 
",000,False,000,False,False,False,1,88
"### | 9 - 
",000,False,000,False,False,False,1,76
"### | [ص: 35]
",000,False,000,False,False,False,1,74
"### | 10 - 
",000,False,000,False,False,False,1,58
"### | 11 - 
",000,False,000,False,False,False,1,21
"### | [ص: 36]
",000,False,000,False,False,False,1,79
"### | 12 - 
",000,False,000,False,False,False,1,21
"### | [ص: 37]
",000,False,000,False,False,False,1,48
"### | باب دخول الخلاء والاستطابة
",000,False,000,False,False,False,1,6
"### | 13 - 
",000,False,000,False,False,False,1,44
"### | 14 - 
",000,False,000,False,False,False,1,34
"### | [ص: 38]
",000,False,000,False,False,False,1,29
"### | 15 - 
",000,False,000,False,False,False,1,36
"### | 16 - 
",000,False,000,False,False,False,1,44
"### | 17 - 
",000,False,000,False,False,False,1,34
"### | 18 - 
",000,False,000,False,False,False,1,75
"### | باب السواك
",000,False,000,False,False,False,1,4
"### | 19 - 
",000,False,000,False,False,False,1,34
"### | [ص: 40]
",000,False,000,False,False,False,1,19
"### | 20 - 
",000,False,000,False,False,False,1,29
"### | 21 - 
",000,False,000,False,False,False,1,90
"### | [ص: 41]
",000,False,000,False,False,False,1,51
"### | 22 - 
",000,False,000,False,False,False,1,35
"### | باب المسح على الخفين
",000,False,000,False,False,False,1,6
"### | 23 - 
",000,False,000,False,False,False,1,46
"### | 24 - 
",000,False,000,False,False,False,1,22
"### | باب في المذي وغيره
",000,False,000,False,False,False,1,6
"### | 25 - 
",000,False,000,False,False,False,1,61
"### | 26 - 
",000,False,000,False,False,False,1,41
"### | 27 - 
",000,False,000,False,False,False,1,21
"### | [ص: 43]
",000,False,000,False,False,False,1,29
"### | 28 - 
",000,False,000,False,False,False,1,28
"### | 29 - 
",000,False,000,False,False,False,1,45
"### | [ص: 44]
",000,False,000,False,False,False,1,20
"### | 30 - 
",000,False,000,False,False,False,1,44
"### | باب الجنابة
",000,False,000,False,False,False,1,4
"### | 31 - 
",000,False,000,False,False,False,1,49
"### | [ص: 45]
",000,False,000,False,False,False,1,11
"### | 32 - 
",000,False,000,False,False,False,1,45
"### | 33 - 
",000,False,000,False,False,False,1,34
"### | 34 - 
",000,False,000,False,False,False,1,66
"### | [ص: 46]
",000,False,000,False,False,False,1,20
"### | 35 - 
",000,False,000,False,False,False,1,30
"### | 36 - 
",000,False,000,False,False,False,1,53
"### | [ص: 47]
",000,False,000,False,False,False,1,21
"### | 37 - 
",000,False,000,False,False,False,1,43
"### | 38 - 
",000,False,000,False,False,False,1,48
