string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الأول من كتاب الدعاء
",000,False,000,False,False,False,1,20
"### | 1 - 
",000,False,000,False,False,False,1,83
"### | 2 - 
",000,False,000,False,False,False,1,127
"### | 3 - 
",000,False,000,False,False,False,1,67
"### | 4 - 
",000,False,000,False,False,False,1,60
"### | 5 - 
",000,False,000,False,False,False,1,66
"### | 6 - 
",000,False,000,False,False,False,1,75
"### | 7 - 
",000,False,000,False,False,False,1,70
"### | 8 - 
",000,False,000,False,False,False,1,99
"### | 9 - 
",000,False,000,False,False,False,1,87
"### | 10 - 
",000,False,000,False,False,False,1,117
"### | 11 - 
",000,False,000,False,False,False,1,75
"### | 12 - 
",000,False,000,False,False,False,1,146
"### | 13 - 
",000,False,000,False,False,False,1,131
"### | 14 - 
",000,False,000,False,False,False,1,77
"### | 15 - 
",000,False,000,False,False,False,1,96
"### | 16 - 
",000,False,000,False,False,False,1,115
"### | 17 - 
",000,False,000,False,False,False,1,137
"### | 18 - 
",000,False,000,False,False,False,1,94
"### | 19 - 
",000,False,000,False,False,False,1,65
"### | 20 - 
",000,False,000,False,False,False,1,84
"### | 21 - 
",000,False,000,False,False,False,1,83
"### | 22 - 
",000,False,000,False,False,False,1,93
"### | 23 - 
",000,False,000,False,False,False,1,101
"### | 24 - 
",000,False,000,False,False,False,1,64
"### | 25 - 
",000,False,000,False,False,False,1,79
"### | 26 - 
",000,False,000,False,False,False,1,81
"### | 27 - 
",000,False,000,False,False,False,1,121
"### | 28 - 
",000,False,000,False,False,False,1,99
"### | 29 - 
",000,False,000,False,False,False,1,88
"### | 30 - 
",000,False,000,False,False,False,1,83
"### | 31 - 
",000,False,000,False,False,False,1,86
"### | 32 - 
",000,False,000,False,False,False,1,68
"### | 33 - 
",000,False,000,False,False,False,1,64
"### | 34 - 
",000,False,000,False,False,False,1,68
"### | 35 - 
",000,False,000,False,False,False,1,98
"### | 36 - 
",000,False,000,False,False,False,1,124
"### | 37 - 
",000,False,000,False,False,False,1,135
"### | 38 - 
",000,False,000,False,False,False,1,152
"### | 39 - 
",000,False,000,False,False,False,1,90
"### | 40 - 
",000,False,000,False,False,False,1,76
"### | 41 - 
",000,False,000,False,False,False,1,71
"### | 42 - 
",000,False,000,False,False,False,1,59
"### | 43 - 
",000,False,000,False,False,False,1,72
