string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,94
"### | : «شفاعتي لأهل الكبائر من أمتي»
",000,False,000,False,False,False,1,5
"### | 2 - 
",000,False,000,False,False,False,1,116
"### | : «شفاعتي لأهل الكبائر من أمتي» .
",000,False,000,False,False,False,1,121
"### | 50 - 
",000,False,000,False,False,False,1,157
"### | : «إن لكل نبي دعوة، استعجلوا في الدنيا، وإني اختبأت شفاعتي لأهل الكبائر من أمتي يوم القيامة» .
",000,False,000,False,False,False,1,22
"### | 3 - 
",000,False,000,False,False,False,1,80
"### | : «عجب ربنا من أقوام يقادون إلى الجنة في السلاسل» .
",000,False,000,False,False,False,1,143
"### | 4 - 
",000,False,000,False,False,False,1,93
"### | : «عجب ربنا عز وجل من أقوام يقادون إلى الجنة في السلاسل»
",000,False,000,False,False,False,1,11
"### | 51 - 
",000,False,000,False,False,False,1,74
"### | : «عجب ربنا من قوم يقادون إلى الجنة في السلاسل» .
",000,False,000,False,False,False,1,40
"### | 5 - 
",000,False,000,False,False,False,1,122
"### | : "" يا حسان اهجهم، وجبريل معك، وقال لي: إن من الشعر حكمة , وقال: إذا حارب أصحابي بالسلاح 
",000,False,000,False,False,False,1,21
"### | 6 - 
",000,False,000,False,False,False,1,124
"### | : «أجب عني اللهم أيده بروح القدس» ؟
",000,False,000,False,False,False,1,13
"### | 7 - 
",000,False,000,False,False,False,1,91
"### | : لو نعلم أي الأعمال أحب إلى الله عز وجل لعملنا به، فأنزل الله عز وجل: {سبح لله ما في 
",000,False,000,False,False,False,1,172
"### | 8 - 
",000,False,000,False,False,False,1,139
"### | : «ما حسن الله خلق رجل وخلقه فيطعمه النار»
",000,False,000,False,False,False,1,16
"### | 9 - 
",000,False,000,False,False,False,1,68
"### | : «سلامة الرجل في الفتنة أن يلتزم بيته» .
",000,False,000,False,False,False,1,183
"### | 10 - 
",000,False,000,False,False,False,1,197
"### | : "" سألت جبريل عليه السلام عن الإخلاص، ما هو؟ فقال جبريل عليه السلام: سألت رب العزة تبارك 
",000,False,000,False,False,False,1,43
"### | 11 - 
",000,False,000,False,False,False,1,141
"### | : «من آذى شعرة من شعري، فالجنة عليه حرام»
",000,False,000,False,False,False,1,8
"### | 12 - 
",000,False,000,False,False,False,1,126
"### | 
",000,False,000,False,False,False,1,0
"### | : «من آذى شعرة مني فقد أذاني، ومن أذاني فقد أذى الله عز وجل، ومن أذى الله عز وجل لعنه الله 
",000,False,000,False,False,False,1,30
"### | 13 - 
",000,False,000,False,False,False,1,103
"### | : «من أذى شعرة مني فقد أذاني، ومن أذاني فقد أذى الله عز وجل، ومن أذى الله عز وجل لعنه الله 
",000,False,000,False,False,False,1,23
"### | 14 - 
",000,False,000,False,False,False,1,68
"### | : «من أذى شعرة مني فقد أذاني، ومن أذاني فقد أذى الله , ومن أذى الله لعنه الله ملء السموات 
",000,False,000,False,False,False,1,38
"### | 15 - 
",000,False,000,False,False,False,1,93
"### | : «اللهم أحسن عاقبتنا في الأمور كلها، وأجرنا من خزي الدنيا وعذاب الآخرة»
",000,False,000,False,False,False,1,22
