string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,553
"### | 4 - 
",000,False,000,False,False,False,1,97
"### | كتاب الأربعين في مناقب أمهات المؤمنين رضي الله عنهن أجمعين
",000,False,000,False,False,False,1,87
"### | فصل من خصائصه صلى الله عليه وسلم الزيادة على الأربع (5 ب) إلى التسع
",000,False,000,False,False,False,1,440
"### | فصل وأما عددهن (عدد أزواجه صلى الله عليه وسلم)
",000,False,000,False,False,False,1,110
"### | فالأولى خديجة بنت خويلد بن أسد بن عبد العزى القرشية وأمها فاطمة بنت زائدة بن جندب
",000,False,000,False,False,False,1,172
"### | الثانية سودة بنت زمعة
",000,False,000,False,False,False,1,86
"### | الثالثة عائشة (9 أ) بنت أبي بكر الصديق عبد الله ويقال عتيق بن أبي قحافة (عثمان بن
",000,False,000,False,False,False,1,119
"### | الرابعة حفصة
",000,False,000,False,False,False,1,84
"### | الخامسة أم سلمة
",000,False,000,False,False,False,1,66
"### | السادسة جويرية
",000,False,000,False,False,False,1,76
"### | السابعة زينب
",000,False,000,False,False,False,1,74
"### | الثامنة زينب
",000,False,000,False,False,False,1,100
"### | التاسعة أم حبيبة
",000,False,000,False,False,False,1,81
"### | العاشرة صفية
",000,False,000,False,False,False,1,82
"### | الحادية عشرة ميمونة
",000,False,000,False,False,False,1,152
"### | 12 - 
",000,False,000,False,False,False,1,92
"### | ذكر ما وقع إلي مما ورد في مناقب أم المؤمنين خديجة أم هند تكنى بولد كان لها
",000,False,000,False,False,False,1,500
"### | الحديث الثاني
",000,False,000,False,False,False,1,207
"### | الحديث الثالث
",000,False,000,False,False,False,1,260
"### | الحديث الرابع
",000,False,000,False,False,False,1,268
"### | الحديث الخامس
",000,False,000,False,False,False,1,68
"### | 17 - 
",000,False,000,False,False,False,1,160
"### | الحديث السادس
",000,False,000,False,False,False,1,197
"### | الحديث السابع
",000,False,000,False,False,False,1,181
"### | ذكر ما ورد في مناقب أم المؤمنين عائشة الصديقة رضي الله عنها
",000,False,000,False,False,False,1,29
"### | الحديث الثامن
",000,False,000,False,False,False,1,454
"### | الحديث التاسع
",000,False,000,False,False,False,1,1567
"### | الحديث العاشر
",000,False,000,False,False,False,1,275
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,155
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,110
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,127
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,154
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,219
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,76
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,256
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,229
"### | الحديث التاسع عشر
",000,False,000,False,False,False,1,153
"### | 34 - 
",000,False,000,False,False,False,1,152
"### | الحديث العشرون
",000,False,000,False,False,False,1,466
"### | الحديث الحادي والعشرون
",000,False,000,False,False,False,1,230
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,197
"### | الحديث الثالث والعشرون
",000,False,000,False,False,False,1,126
"### | - الحديث الرابع والعشرون
",000,False,000,False,False,False,1,191
"### | 39 - 
",000,False,000,False,False,False,1,47
"### | - الحديث الخامس والعشرون
",000,False,000,False,False,False,1,339
"### | - الحديث السادس والعشرون
",000,False,000,False,False,False,1,321
"### | حفصة بنت عمر بن الخطاب رضي الله عنهما
",000,False,000,False,False,False,1,16
"### | - الحديث السابع والعشرون
",000,False,000,False,False,False,1,160
"### | أم سلمة هند رضي الله عنها
",000,False,000,False,False,False,1,12
"### | - الحديث الثامن والعشرون
",000,False,000,False,False,False,1,178
"### | جورية بنت الحارث رضي الله عنها
",000,False,000,False,False,False,1,12
"### | - الحديث التاسع والعشرون
",000,False,000,False,False,False,1,159
"### | زينب بنت جحش رضي الله عنها
",000,False,000,False,False,False,1,12
"### | - الحديث الثلاثون
",000,False,000,False,False,False,1,106
"### | - الحديث الحادي والثلاثون
",000,False,000,False,False,False,1,166
"### | صفية بنت حيي رضي الله عنها
",000,False,000,False,False,False,1,12
"### | - الحديث الثاني والثلاثون
",000,False,000,False,False,False,1,439
"### | - الحديث الثالث والثلاثون
",000,False,000,False,False,False,1,152
"### | ميمونة بنت الحارث رضي الله عنها
",000,False,000,False,False,False,1,26
"### | - الحديث الرابع والثلاثون
",000,False,000,False,False,False,1,149
"### | ذكر ما ورد في فضلهن كلهن مجملا (47 ب) وقد قال الله تعالى {يا نساء النبي لستن كأحد من النساء} الآية الحديث الخامس والثلاثون
",000,False,000,False,False,False,1,216
"### | الحديث السادس والثلاثون
",000,False,000,False,False,False,1,233
"### | الحديث السابع والثلاثون
",000,False,000,False,False,False,1,167
"### | الحديث الثامن والثلاثون
",000,False,000,False,False,False,1,428
"### | الحديث التاسع والثلاثون
",000,False,000,False,False,False,1,166
"### | الحديث الأربعون
",000,False,000,False,False,False,1,243
"### | قراءة على المصنف
",000,False,000,False,False,False,1,199
"### | قراءة ms46 على الشيخ إبراهيم بن الشيخ عز الدين ابن عبد السلام في جامع التوبة بدمشق
",000,False,000,False,False,False,1,174
"### | سماع على الشيخ أحمد بن إبراهيم الفزاري بالرباط الناصري بسفح جبل قاسيون
",000,False,000,False,False,False,1,367
"### | سماع على الورقة الأولى من الكتاب
",000,False,000,False,False,False,1,218
"### | 
",000,False,000,False,False,False,1,0
"### | تملك
",000,False,000,False,False,False,1,48
"### | 55 - 
",000,False,000,False,False,False,1,28
