string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الشيخ الأول
",000,False,000,False,False,False,1,380
"### | شيخ آخر ثان
",000,False,000,False,False,False,1,577
"### | شيخ ثالث
",000,False,000,False,False,False,1,363
"### | شيخ رابع
",000,False,000,False,False,False,1,374
"### | شيخ خامس
",000,False,000,False,False,False,1,337
"### | شيخ سادس
",000,False,000,False,False,False,1,374
"### | شيخ سابع
",000,False,000,False,False,False,1,293
"### | شيخ ثامن
",000,False,000,False,False,False,1,448
"### | شيخ تاسع
",000,False,000,False,False,False,1,211
"### | شيخ عاشر
",000,False,000,False,False,False,1,320
"### | شيخ حادي عشر
",000,False,000,False,False,False,1,271
"### | شيخ ثاني عشر
",000,False,000,False,False,False,1,264
"### | شيخ ثالث عشر
",000,False,000,False,False,False,1,267
"### | شيخ رابع عشر
",000,False,000,False,False,False,1,193
"### | شيخة، وهي خامسة عشرة
",000,False,000,False,False,False,1,238
"### | شيخ آخر، السادس عشر
",000,False,000,False,False,False,1,411
