string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الأحاديث المختارة 
",000,False,000,False,False,False,1,4
"### | رواية عمر بن الخطاب رضي الله عنه عن أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,26
"### | 1 - 
",000,False,000,False,False,False,1,125
"### | 2 - 
",000,False,000,False,False,False,1,238
"### | 3 - 
",000,False,000,False,False,False,1,161
"### | 4 - 
",000,False,000,False,False,False,1,161
"### | 5 - 
",000,False,000,False,False,False,1,173
"### | رواية عثمان بن عفان رضي الله عنه عن أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,26
"### | 6 - 
",000,False,000,False,False,False,1,410
"### | رواية علي بن أبي طالب رضي الله عنه عن أبي بكر الصديق رضي الله عنه
",000,False,000,False,False,False,1,30
"### | 7 - 
",000,False,000,False,False,False,1,160
"### | 8 - 
",000,False,000,False,False,False,1,130
"### | 9 - 
",000,False,000,False,False,False,1,147
"### | 10 - 
",000,False,000,False,False,False,1,122
"### | 11 - 
",000,False,000,False,False,False,1,273
"### | رواه عبد الرحمن بن عوف رضي الله عنه عن أبي بكر رضي ms0008 الله عنه
",000,False,000,False,False,False,1,28
"### | 12 - 
",000,False,000,False,False,False,1,13
"### | قيل له أخبرتكم فاطمة بنت عبد الله الجوزدانية قراءة عليها وأنت تسمع أنا محمد بن عبد الله بن زيد أنا أبو القاسم 
",000,False,000,False,False,False,1,467
"### | رواية عبد الله بن مسعود رضي الله عنه عن أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,28
"### | 13 - 
",000,False,000,False,False,False,1,228
"### | 14 - 
",000,False,000,False,False,False,1,231
"### | عبد الله بن عباس رضي الله عنهما عن أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,26
"### | 15 - 
",000,False,000,False,False,False,1,104
"### | 16 - 
",000,False,000,False,False,False,1,213
"### | 17 - 
",000,False,000,False,False,False,1,288
"### | أبو سعيد الخدري سعد بن مالك عن أبي بكر رضي الله عنهما
",000,False,000,False,False,False,1,24
"### | 18 - 
",000,False,000,False,False,False,1,219
"### | 19 - 
",000,False,000,False,False,False,1,108
"### | أبو برزة نضلة بن عبيد رضي الله عنه عن أبي بكر رضي الله عنه
",000,False,000,False,False,False,1,28
"### | 20 - 
",000,False,000,False,False,False,1,178
"### | 21 - 
",000,False,000,False,False,False,1,56
"### | 22 - 
",000,False,000,False,False,False,1,203
"### | 23 - 
",000,False,000,False,False,False,1,85
"### | 24 - 
",000,False,000,False,False,False,1,51
"### | 25 - 
",000,False,000,False,False,False,1,78
"### | 26 - 
",000,False,000,False,False,False,1,177
