string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,244
"### | التراجم
",000,False,000,False,False,False,1,262948
"### || ذكر أول من وضع النحو وما قاله الرواة فى ذلك
",000,False,000,False,False,False,2,3164
"### ||| 1 - ذكر أخبار أمير المؤمنين على كرم الله وجهه [1]
",000,False,000,False,False,False,3,425
"### || (حرف الألف)
",000,False,000,False,False,False,2,31239
"### || (حرف الباء 
",000,False,000,False,False,False,2,2279
"### || (حرف التاء)
",000,False,000,False,False,False,2,323
"### || (حرف الثاء)
",000,False,000,False,False,False,2,377
"### || (حرف الجيم)
",000,False,000,False,False,False,2,1021
"### || (حرف الحاء)
",000,False,000,False,False,False,2,9015
"### || (حرف الخاء)
",000,False,000,False,False,False,2,6565
"### || (حرف الدال)
",000,False,000,False,False,False,2,284
"### || (حرف الذال)
",000,False,000,False,False,False,2,91
"### || (حرف الراء)
",000,False,000,False,False,False,2,30
"### || (حرف الزاى)
",000,False,000,False,False,False,2,1204
"### || (حرف السين)
",000,False,000,False,False,False,2,6454
"### || (حرف الشين)
",000,False,000,False,False,False,2,954
"### || (حرف الصاد)
",000,False,000,False,False,False,2,1338
"### || (حرف الضاد)
",000,False,000,False,False,False,2,52
"### || (حرف الطاء)
",000,False,000,False,False,False,2,739
"### || (حرف العين ms243)
",000,False,000,False,False,False,2,39992
"### || (حرف الغين)
",000,False,000,False,False,False,2,5430
"### || (حرف الفاء)
",000,False,000,False,False,False,2,573
"### || (حرف القاف)
",000,False,000,False,False,False,2,3784
"### || (حرف الكاف)
",000,False,000,False,False,False,2,462
"### || (حرف اللام)
",000,False,000,False,False,False,2,208
"### || (حرف الميم)
",000,False,000,False,False,False,2,42136
"### ||| (حرف الألف فى آباء المحمدين)
",000,False,000,False,False,False,3,4394
"### ||| (حرف الباء فى آباء المحمدين)
",000,False,000,False,False,False,3,225
"### ||| (حرف الثاء فى آباء المحمدين)
",000,False,000,False,False,False,3,69
"### ||| (حرف الجيم فى آباء المحمدين)
",000,False,000,False,False,False,3,1216
"### ||| (حرف الحاء فى آباء المحمدين)
",000,False,000,False,False,False,3,4265
"### ||| (حرف الخاء فى آباء المحمدين)
",000,False,000,False,False,False,3,356
"### ||| (حرف الراء فى آباء المحمدين)
",000,False,000,False,False,False,3,192
"### ||| (حرف الزاى فى آباء المحمدين)
",000,False,000,False,False,False,3,1380
"### ||| (حرف السين فى آباء المحمدين)
",000,False,000,False,False,False,3,1841
"### ||| (حرف الشين فى آباء المحمدين)
",000,False,000,False,False,False,3,13
"### ||| (حرف الصاد فى آباء المحمدين)
",000,False,000,False,False,False,3,65
"### ||| (حرف الطاء فى آباء المحمدين)
",000,False,000,False,False,False,3,314
"### ||| (حرف العين فى آباء المحمدين)
",000,False,000,False,False,False,3,6737
"### ||| (حرف الفاء فى آباء المحمدين)
",000,False,000,False,False,False,3,130
"### ||| (حرف القاف فى آباء المحمدين)
",000,False,000,False,False,False,3,1329
"### ||| (حرف الميم فى آباء المحمدين)
",000,False,000,False,False,False,3,1616
"### ||| (حرف النون فى آباء المحمدين)
",000,False,000,False,False,False,3,320
"### ||| (حرف الواو فى آباء المحمدين)
",000,False,000,False,False,False,3,359
"### ||| (حرف الهاء فى آباء المحمدين)
",000,False,000,False,False,False,3,226
"### ||| (حرف الياء فى آباء المحمدين)
",000,False,000,False,False,False,3,3964
"### || (حرف النون [1])
",000,False,000,False,False,False,2,2238
"### || حرف الواو
",000,False,000,False,False,False,2,145
"### || حرف الهاء
",000,False,000,False,False,False,2,7939
"### || (حرف الياء)
",000,False,000,False,False,False,2,12109
"### || الكنى
",000,False,000,False,False,False,2,2970
"### || 877 - 
",000,False,000,False,False,False,2,10807
