string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,4
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | رب يسر
",000,False,000,False,False,False,1,1988
"### | الجزء الاول
",000,False,000,False,False,False,1,4
"### | باب الاستعارة
",000,False,000,False,False,False,1,606
"### | باب التجنيس
",000,False,000,False,False,False,1,1104
"### | باب الطباق
",000,False,000,False,False,False,1,706
"### | باب رد الأعجاز على الصدور
",000,False,000,False,False,False,1,385
"### | باب المذهب الكلامي
",000,False,000,False,False,False,1,562
"### | باب الالتفات
",000,False,000,False,False,False,1,402
"### | .................. 
",000,False,000,False,False,False,1,46
"### | باب التمام
",000,False,000,False,False,False,1,363
"### | باب الاستطراد
",000,False,000,False,False,False,1,299
"### | باب تأكيد المدح بما يشبه الذم
",000,False,000,False,False,False,1,157
"### | باب تجاهل العارف
",000,False,000,False,False,False,1,276
"### | .................. 
",000,False,000,False,False,False,1,2
"### | باب الهزل الذي يراد به الجد
",000,False,000,False,False,False,1,179
"### | باب حسن التضمين
",000,False,000,False,False,False,1,321
"### | باب الكناية
",000,False,000,False,False,False,1,465
"### | باب الإفراط في الصفة
",000,False,000,False,False,False,1,1938
"### | باب التشبيه
",000,False,000,False,False,False,1,880
"### | باب عتاب المرء نفسه
",000,False,000,False,False,False,1,221
"### | باب حسن الابتداءات
",000,False,000,False,False,False,1,626
"### | باب صحة الأقسام
",000,False,000,False,False,False,1,986
"### | باب صحة المقابلات
",000,False,000,False,False,False,1,899
"### | باب صحة التفسير والتبيين
",000,False,000,False,False,False,1,1447
"### | باب ائتلاف اللفظ مع المعنى
",000,False,000,False,False,False,1,475
"### | باب المساواة
",000,False,000,False,False,False,1,73
"### | باب الإشارة
",000,False,000,False,False,False,1,1557
"### | باب الأرداف والتتبيع
",000,False,000,False,False,False,1,419
"### | ............ 
",000,False,000,False,False,False,1,812
"### | باب التمثيل
",000,False,000,False,False,False,1,932
"### | باب ائتلاف اللفظ مع الوزن
",000,False,000,False,False,False,1,192
"### | باب ائتلاف المعنى مع الوزن
",000,False,000,False,False,False,1,77
"### | باب ائتلاف القافية
",000,False,000,False,False,False,1,6
"### | مع ما يدل عليه سائر البيت
",000,False,000,False,False,False,1,492
"### | باب التوشيح
",000,False,000,False,False,False,1,580
"### | باب الإيغال
",000,False,000,False,False,False,1,1747
"### | الجز الثاني
",000,False,000,False,False,False,1,21
"### | باب الاحتراس
",000,False,000,False,False,False,1,543
"### | باب المواربة
",000,False,000,False,False,False,1,4
"### | براء مهملة
",000,False,000,False,False,False,1,431
"### | باب الترديد
",000,False,000,False,False,False,1,531
"### | باب التعطف
",000,False,000,False,False,False,1,4
"### | وقد سماه قوم المشاكلة
",000,False,000,False,False,False,1,317
"### | باب التفويف
",000,False,000,False,False,False,1,310
"### | باب التسهيم
",000,False,000,False,False,False,1,860
"### | باب التورية
",000,False,000,False,False,False,1,402
"### | باب الترشيح
",000,False,000,False,False,False,1,596
"### | باب الاستخدام
",000,False,000,False,False,False,1,140
"### | باب التغاير
",000,False,000,False,False,False,1,2109
"### | باب الطاعة والعصيان
",000,False,000,False,False,False,1,833
"### | باب التسميط
",000,False,000,False,False,False,1,133
"### | باب المماثلة
",000,False,000,False,False,False,1,196
"### | باب التجزئة
",000,False,000,False,False,False,1,113
"### | باب التسجيع
",000,False,000,False,False,False,1,127
"### | باب الترصيع
",000,False,000,False,False,False,1,305
"### | باب التصريع
",000,False,000,False,False,False,1,377
"### | باب التشطير
",000,False,000,False,False,False,1,114
"### | باب التعليل
",000,False,000,False,False,False,1,705
"### | باب التطريز
",000,False,000,False,False,False,1,128
"### | باب التوشيع
",000,False,000,False,False,False,1,249
"### | باب العكس والتبديل
",000,False,000,False,False,False,1,344
"### | باب الإغراق
",000,False,000,False,False,False,1,269
"### | باب الغلق
",000,False,000,False,False,False,1,686
"### | باب القسم
",000,False,000,False,False,False,1,468
"### | باب الاستدراك والرجوع
",000,False,000,False,False,False,1,192
"### | باب الاستثناء
",000,False,000,False,False,False,1,846
"### | باب الاشتراك
",000,False,000,False,False,False,1,532
"### | باب التلفيف
",000,False,000,False,False,False,1,80
"### | باب جمع المختلفة والمؤتلفة
",000,False,000,False,False,False,1,640
"### | باب التوهيم
",000,False,000,False,False,False,1,424
"### | باب الاطراد
",000,False,000,False,False,False,1,329
"### | الجزء الثالث
",000,False,000,False,False,False,1,4
"### | باب التكميل
",000,False,000,False,False,False,1,930
"### | باب المناسبة
",000,False,000,False,False,False,1,1892
"### | باب التكرار
",000,False,000,False,False,False,1,211
"### | باب نفي الشيء بإيجابه
",000,False,000,False,False,False,1,298
"### | باب الإيداع
",000,False,000,False,False,False,1,403
"### | باب الاستعانة
",000,False,000,False,False,False,1,373
"### | باب الموازنة
",000,False,000,False,False,False,1,69
"### | باب التذييل
",000,False,000,False,False,False,1,924
"### | باب المشاكلة
",000,False,000,False,False,False,1,941
"### | ............ 
",000,False,000,False,False,False,1,64
"### | باب المواردة
",000,False,000,False,False,False,1,126
"### | باب التهذيب والتأديب
",000,False,000,False,False,False,1,418
"### | ............... 
",000,False,000,False,False,False,1,3815
"### | باب حسن النسق
",000,False,000,False,False,False,1,468
"### | باب الانسجام
",000,False,000,False,False,False,1,587
"### | باب براعة التخلص
",000,False,000,False,False,False,1,830
"### | باب الحل
",000,False,000,False,False,False,1,148
"### | باب العقد
",000,False,000,False,False,False,1,199
"### | باب التعليق
",000,False,000,False,False,False,1,748
"### | باب الإدماج
",000,False,000,False,False,False,1,320
"### | باب ms176 الإزدواج
",000,False,000,False,False,False,1,138
"### | باب الاتساع
",000,False,000,False,False,False,1,442
"### | باب المجاز
",000,False,000,False,False,False,1,326
"### | باب الإيجاز
",000,False,000,False,False,False,1,1853
"### | باب سلامة الاختراع من الإتباع
",000,False,000,False,False,False,1,248
"### | باب حسن الإتباع
",000,False,000,False,False,False,1,596
"### | .............. 
",000,False,000,False,False,False,1,2002
"### | باب حسن البيان
",000,False,000,False,False,False,1,718
"### | باب التوليد
",000,False,000,False,False,False,1,654
"### | باب التنكيت
",000,False,000,False,False,False,1,513
"### | باب الاتفاق
",000,False,000,False,False,False,1,333
"### | باب النوادر
",000,False,000,False,False,False,1,1616
"### | باب الالتزام
",000,False,000,False,False,False,1,396
"### | باب تشابه الأطراف
",000,False,000,False,False,False,1,274
"### | باب التوءم
",000,False,000,False,False,False,1,307
"### | الجزء الرابع
",000,False,000,False,False,False,1,17
"### | باب التخيير
",000,False,000,False,False,False,1,767
"### | باب التدبيج
",000,False,000,False,False,False,1,622
"### | باب التمزيج
",000,False,000,False,False,False,1,597
"### | باب الاستقصاء
",000,False,000,False,False,False,1,100
"### | ............... 
",000,False,000,False,False,False,1,131
"### | ........ 
",000,False,000,False,False,False,1,356
"### | باب البسط
",000,False,000,False,False,False,1,1048
"### | باب الهجاء في معرض المدح
",000,False,000,False,False,False,1,386
"### | باب العنوان
",000,False,000,False,False,False,1,767
"### | باب الإيضاح
",000,False,000,False,False,False,1,634
"### | باب التشكيك
",000,False,000,False,False,False,1,298
"### | باب الحيدة والانتقال
",000,False,000,False,False,False,1,281
"### | باب الشماتة
",000,False,000,False,False,False,1,121
"### | باب التهكم
",000,False,000,False,False,False,1,382
"### | باب التنذير
",000,False,000,False,False,False,1,333
"### | باب الإسجال بعد المغالطة
",000,False,000,False,False,False,1,152
"### | باب الفرائد
",000,False,000,False,False,False,1,337
"### | باب الإلغاز والتعمية
",000,False,000,False,False,False,1,352
"### | باب التصرف
",000,False,000,False,False,False,1,159
"### | باب النزاهة
",000,False,000,False,False,False,1,350
"### | باب التسليم
",000,False,000,False,False,False,1,148
"### | باب الافتنان
",000,False,000,False,False,False,1,209
"### | باب المراجعة
",000,False,000,False,False,False,1,365
"### | باب السلب والإيجاب
",000,False,000,False,False,False,1,406
"### | باب الإبهام
",000,False,000,False,False,False,1,333
"### | باب القول بالموجب
",000,False,000,False,False,False,1,128
"### | باب حصر الجزئي وإلحاقه بالكلي
",000,False,000,False,False,False,1,342
"### | باب المقارنة
",000,False,000,False,False,False,1,680
"### | باب المناقضة
",000,False,000,False,False,False,1,202
"### | باب الانفصال
",000,False,000,False,False,False,1,334
"### | باب الإبداع
",000,False,000,False,False,False,1,768
"### | باب حسن الخاتمة
",000,False,000,False,False,False,1,1211
