string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,28
"### | الفلك الدائر على المثل السائر
",000,False,000,False,False,False,1,171
"### | 1- 
",000,False,000,False,False,False,1,57
"### | 2- 
",000,False,000,False,False,False,1,27
"### | 3- 
",000,False,000,False,False,False,1,12
"### | 4- 
",000,False,000,False,False,False,1,14
"### | 5- 
",000,False,000,False,False,False,1,20
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,11
"### | 9- 
",000,False,000,False,False,False,1,13
"### | 10- 
",000,False,000,False,False,False,1,13
"### | 11- 
",000,False,000,False,False,False,1,36
"### | 1- 
",000,False,000,False,False,False,1,114
"### | 2- 
",000,False,000,False,False,False,1,192
"### | 3- 
",000,False,000,False,False,False,1,61
"### | الفلك الدائر على المثل السائر
",000,False,000,False,False,False,1,10
"### | 1- 
",000,False,000,False,False,False,1,178
"### | 2- 
",000,False,000,False,False,False,1,168
"### | 3- 
",000,False,000,False,False,False,1,37
"### | 1- 
",000,False,000,False,False,False,1,848
"### | 2- 
",000,False,000,False,False,False,1,1001
"### | 1- 
",000,False,000,False,False,False,1,124
"### | 2- 
",000,False,000,False,False,False,1,91
"### | 3- 
",000,False,000,False,False,False,1,72
"### | 4- 
",000,False,000,False,False,False,1,115
"### | 5- 
",000,False,000,False,False,False,1,126
"### | 6- 
",000,False,000,False,False,False,1,229
"### | 7- 
",000,False,000,False,False,False,1,112
"### | 8- 
",000,False,000,False,False,False,1,126
"### | 9- 
",000,False,000,False,False,False,1,121
"### | 10- 
",000,False,000,False,False,False,1,105
"### | .......................... 
",000,False,000,False,False,False,1,55
"### | 11- 
",000,False,000,False,False,False,1,97
"### | 12- 
",000,False,000,False,False,False,1,100
"### | 13- 
",000,False,000,False,False,False,1,77
"### | 14- 
",000,False,000,False,False,False,1,87
"### | 15- 
",000,False,000,False,False,False,1,107
"### | 16- 
",000,False,000,False,False,False,1,43
"### | 17- 
",000,False,000,False,False,False,1,378
"### | 18- 
",000,False,000,False,False,False,1,178
"### | 19- 
",000,False,000,False,False,False,1,133
"### | 20- 
",000,False,000,False,False,False,1,122
"### | 21- 
",000,False,000,False,False,False,1,388
"### | 22- 
",000,False,000,False,False,False,1,48
"### | 23- 
",000,False,000,False,False,False,1,414
"### | 24- 
",000,False,000,False,False,False,1,295
"### | 25- 
",000,False,000,False,False,False,1,702
"### | 26- 
",000,False,000,False,False,False,1,236
"### | 27- 
",000,False,000,False,False,False,1,122
"### | 28- 
",000,False,000,False,False,False,1,222
"### | 29- 
",000,False,000,False,False,False,1,139
"### | 30- 
",000,False,000,False,False,False,1,138
"### | 31- 
",000,False,000,False,False,False,1,181
"### | 32- 
",000,False,000,False,False,False,1,71
"### | 33- 
",000,False,000,False,False,False,1,161
"### | 34- 
",000,False,000,False,False,False,1,156
"### | 35- 
",000,False,000,False,False,False,1,700
"### | 36- 
",000,False,000,False,False,False,1,313
"### | 37- 
",000,False,000,False,False,False,1,172
"### | 38- 
",000,False,000,False,False,False,1,334
"### | 39- 
",000,False,000,False,False,False,1,416
"### | 40- 
",000,False,000,False,False,False,1,272
"### | 41- 
",000,False,000,False,False,False,1,311
"### | 42- 
",000,False,000,False,False,False,1,104
"### | 43- 
",000,False,000,False,False,False,1,200
"### | 44- 
",000,False,000,False,False,False,1,176
"### | 45- 
",000,False,000,False,False,False,1,124
