string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,334
"### | فصل في ذكر مولد أبي القاسم البغوي وما انتهى عمره إليه وشيء من ثناء العلماء عليه
",000,False,000,False,False,False,1,584
"### | باب الألف
",000,False,000,False,False,False,1,4
"### | من اسمه: أحمد
",000,False,000,False,False,False,1,2985
"### | من اسمه إسماعيل
",000,False,000,False,False,False,1,219
"### | من اسمه: إسحاق
",000,False,000,False,False,False,1,47
"### | ومن حرف الجيم
",000,False,000,False,False,False,1,6
"### | من اسمه: جعفر
",000,False,000,False,False,False,1,424
"### | ومن حرف الحاء
",000,False,000,False,False,False,1,6
"### | من اسمه: الحسن
",000,False,000,False,False,False,1,1002
"### | من اسمه: الحسين
",000,False,000,False,False,False,1,687
"### | من اسمه حمزة
",000,False,000,False,False,False,1,368
"### | من اسمه: حسان
",000,False,000,False,False,False,1,544
"### | ومن حرف الخاء
",000,False,000,False,False,False,1,158
"### | ومن حرف الدال
",000,False,000,False,False,False,1,222
"### | ومن حرف الزاي
",000,False,000,False,False,False,1,271
"### | ومن حرف السين
",000,False,000,False,False,False,1,668
"### | ومن حرف العين
",000,False,000,False,False,False,1,1472
"### | من اسمه: عبد الرحمن
",000,False,000,False,False,False,1,145
"### | من اسمه: عبد الباقي
",000,False,000,False,False,False,1,239
"### | من اسمه: عبد العزيز
",000,False,000,False,False,False,1,76
"### | من اسمه عبيد الله
",000,False,000,False,False,False,1,455
"### | من اسمه: عمر
",000,False,000,False,False,False,1,807
"### | من اسمه: عثمان
",000,False,000,False,False,False,1,63
"### | من اسمه: علي
",000,False,000,False,False,False,1,1312
"### | من اسمه: عمرو
",000,False,000,False,False,False,1,61
"### | من اسمه: عيسى
",000,False,000,False,False,False,1,220
"### | ومن حرف الفاء
",000,False,000,False,False,False,1,6
"### | من اسمه: الفضل
",000,False,000,False,False,False,1,229
"### | ومن حرف القاف
",000,False,000,False,False,False,1,340
"### | ومن حرف الميم
",000,False,000,False,False,False,1,6
"### | من اسمه: محمد
",000,False,000,False,False,False,1,502
"### | 64- 
",000,False,000,False,False,False,1,5856
"### | من اسمه: المعافي
",000,False,000,False,False,False,1,311
"### | ومن حرف الياء
",000,False,000,False,False,False,1,6
"### | من اسمه: يحيى
",000,False,000,False,False,False,1,308
"### | من اسمه: يوسف
",000,False,000,False,False,False,1,578
