string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,886
"### | تمهيد
",000,False,000,False,False,False,1,128
"### | ابن عصفور
",000,False,000,False,False,False,1,414
"### | 1- 
",000,False,000,False,False,False,1,83
"### | 2- 
",000,False,000,False,False,False,1,244
"### | 3- 
",000,False,000,False,False,False,1,52
"### | 4- 
",000,False,000,False,False,False,1,37
"### | 1- 
",000,False,000,False,False,False,1,3
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,34
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,32
"### | 7- 
",000,False,000,False,False,False,1,29
"### | 8- 
",000,False,000,False,False,False,1,7
"### | 9- 
",000,False,000,False,False,False,1,19
"### | 10- 
",000,False,000,False,False,False,1,20
"### | 11- 
",000,False,000,False,False,False,1,14
"### | 12- 
",000,False,000,False,False,False,1,17
"### | 13- 
",000,False,000,False,False,False,1,70
"### | 14- 
",000,False,000,False,False,False,1,25
"### | 15- 
",000,False,000,False,False,False,1,5
"### | 16- 
",000,False,000,False,False,False,1,26
"### | 17- 
",000,False,000,False,False,False,1,7
"### | 18- 
",000,False,000,False,False,False,1,3
"### | 19- 
",000,False,000,False,False,False,1,19
"### | 20- 
",000,False,000,False,False,False,1,5
"### | 21- 
",000,False,000,False,False,False,1,24
"### | 1- 
",000,False,000,False,False,False,1,30
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,218
"### | المصادر والمراجع
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,17
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 3- 
",000,False,000,False,False,False,1,21
"### | 4- 
",000,False,000,False,False,False,1,19
"### | 5- 
",000,False,000,False,False,False,1,17
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,21
"### | 9- 
",000,False,000,False,False,False,1,23
"### | 10- 
",000,False,000,False,False,False,1,13
"### | 11- 
",000,False,000,False,False,False,1,25
"### | 12- 
",000,False,000,False,False,False,1,21
"### | 13- 
",000,False,000,False,False,False,1,19
"### | 14- 
",000,False,000,False,False,False,1,21
"### | 15- 
",000,False,000,False,False,False,1,15
"### | 16- 
",000,False,000,False,False,False,1,15
"### | 17- 
",000,False,000,False,False,False,1,19
"### | 18- 
",000,False,000,False,False,False,1,13
"### | 19- 
",000,False,000,False,False,False,1,21
"### | 20- 
",000,False,000,False,False,False,1,13
"### | 21- 
",000,False,000,False,False,False,1,21
"### | 22- 
",000,False,000,False,False,False,1,13
"### | 23- 
",000,False,000,False,False,False,1,19
"### | 24- 
",000,False,000,False,False,False,1,17
"### | 25- 
",000,False,000,False,False,False,1,25
"### | 26- 
",000,False,000,False,False,False,1,15
"### | 27- 
",000,False,000,False,False,False,1,15
"### | 28- 
",000,False,000,False,False,False,1,26
"### | 29- 
",000,False,000,False,False,False,1,19
"### | 30- 
",000,False,000,False,False,False,1,17
"### | 31- 
",000,False,000,False,False,False,1,9
"### | النسخ المخطوطة
",000,False,000,False,False,False,1,452
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,770
"### | منهج التحقيق
",000,False,000,False,False,False,1,34
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,29
"### | 5- 
",000,False,000,False,False,False,1,19
"### | 6- 
",000,False,000,False,False,False,1,20
"### | 7- 
",000,False,000,False,False,False,1,42
"### | خطبة الكتاب
",000,False,000,False,False,False,1,263
"### | المقدمة
",000,False,000,False,False,False,1,2
"### | ذكر شرف علم التصريف وبيان مرتبته في علم العربية
",000,False,000,False,False,False,1,492
"### | تقسيم التصريف
",000,False,000,False,False,False,1,299
"### | باب تمييز ما يدخله التصريف مما لا يدخله
",000,False,000,False,False,False,1,253
"### | ذكر القسم الأول من التصريف
",000,False,000,False,False,False,1,10
"### | باب: تبيين الحروف الزوائد 
",000,False,000,False,False,False,1,2573
"### | باب: أبنية الأسماء
",000,False,000,False,False,False,1,6
"### | الثلاثي المجرد
",000,False,000,False,False,False,1,524
"### | الرباعي المجرد
",000,False,000,False,False,False,1,377
"### | الخماسي المجرد
",000,False,000,False,False,False,1,165
"### | الثلاثي المزيد
",000,False,000,False,False,False,1,2
"### | المزيد فيه حرف واحد
",000,False,000,False,False,False,1,1951
"### | المزيد فيه حرفان
",000,False,000,False,False,False,1,2535
"### | المزيد فيه ثلاثة أحرف
",000,False,000,False,False,False,1,1280
"### | المزيد فيه أربعة أحرف
",000,False,000,False,False,False,1,106
"### | الرباعي المزيد
",000,False,000,False,False,False,1,2
"### | المزيد فيه حرف واحد
",000,False,000,False,False,False,1,621
"### | المزيد فيه حرفان
",000,False,000,False,False,False,1,607
"### | المزيد فيه ثلاثة أحرف
",000,False,000,False,False,False,1,169
"### | [الخماسي المزيد] :
",000,False,000,False,False,False,1,147
"### | باب 1: أبنية الأفعال
",000,False,000,False,False,False,1,8
"### | الماضي الثلاثي
",000,False,000,False,False,False,1,462
"### | المضارع الثلاثي
",000,False,000,False,False,False,1,591
"### | الرباعي
",000,False,000,False,False,False,1,63
"### | ذكر معاني أبنية الأفعال
",000,False,000,False,False,False,1,1406
"### | حروف الزيادة
",000,False,000,False,False,False,1,4
"### | مدخل
",000,False,000,False,False,False,1,1211
"### | ذكر الأماكن التي تزاد فيها هذه الحروف
",000,False,000,False,False,False,1,14
"### | باب اللام:
",000,False,000,False,False,False,1,368
"### | باب الهاء
",000,False,000,False,False,False,1,472
"### | باب السين
",000,False,000,False,False,False,1,608
"### | باب الهمزة
",000,False,000,False,False,False,1,1338
"### | باب الميم
",000,False,000,False,False,False,1,1919
"### | باب النون
",000,False,000,False,False,False,1,1826
"### | باب التاء
",000,False,000,False,False,False,1,607
"### | باب الألف
",000,False,000,False,False,False,1,802
"### | باب الياء
",000,False,000,False,False,False,1,554
"### | باب الواو
",000,False,000,False,False,False,1,403
"### | باب: ما يزاد من الحروف في التضعيف
",000,False,000,False,False,False,1,1582
"### | باب التمثيل
",000,False,000,False,False,False,1,566
"### | ذكر القسم الثاني من التصريف
",000,False,000,False,False,False,1,10
"### | الإبدال
",000,False,000,False,False,False,1,2
"### | حروف الإبدال:
",000,False,000,False,False,False,1,64
"### | إبدال الهمزة
",000,False,000,False,False,False,1,4
"### | باب إبدال الهمزة من الألف
",000,False,000,False,False,False,1,1062
"### | باب إبدال الهمزة من الواو
",000,False,000,False,False,False,1,1255
"### | باب إبدال الهمزة من الياء
",000,False,000,False,False,False,1,563
"### | باب إبدال الهمزة من الهاء
",000,False,000,False,False,False,1,431
"### | باب إبدال الهمزة من العين
",000,False,000,False,False,False,1,34
"### | باب الجيم
",000,False,000,False,False,False,1,204
"### | باب الدال
",000,False,000,False,False,False,1,304
"### | باب الطاء
",000,False,000,False,False,False,1,178
"### | باب الواو
",000,False,000,False,False,False,1,661
"### | باب الياء
",000,False,000,False,False,False,1,1290
"### | باب التاء
",000,False,000,False,False,False,1,767
"### | باب الميم
",000,False,000,False,False,False,1,301
"### | باب النون
",000,False,000,False,False,False,1,141
"### | باب الهاء
",000,False,000,False,False,False,1,470
"### | باب 1 اللام:
",000,False,000,False,False,False,1,38
"### | باب 1 الألف:
",000,False,000,False,False,False,1,607
"### | ما لم يذكره سيبويه من حروف الإبدال
",000,False,000,False,False,False,1,446
