string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب الكلام وأقسامه وعلامة العلم وأعلامه
",000,False,000,False,False,False,1,181
"### | باب الاسم واشتقاقه
",000,False,000,False,False,False,1,131
"### | باب الاسم وأقسامه
",000,False,000,False,False,False,1,113
"### | فصل فيما ينصرف وما لا ينصرف
",000,False,000,False,False,False,1,218
"### | باب الإعراب والبناء
",000,False,000,False,False,False,1,90
"### | باب المبتدأ والخبر
",000,False,000,False,False,False,1,153
"### | باب الأفعال وأقسامها
",000,False,000,False,False,False,1,238
"### | باب الفاعل والمفعول
",000,False,000,False,False,False,1,120
"### | باب الحال
",000,False,000,False,False,False,1,77
"### | باب التمييز
",000,False,000,False,False,False,1,112
"### | باب البدل
",000,False,000,False,False,False,1,177
"### | باب الصفة
",000,False,000,False,False,False,1,98
"### | باب العطف
",000,False,000,False,False,False,1,62
"### | باب التوكيد
",000,False,000,False,False,False,1,54
"### | باب حروف الجر
",000,False,000,False,False,False,1,74
"### | باب لا النافية وما فيها من الأسرار الخافية
",000,False,000,False,False,False,1,251
"### | باب في ألفاظ مختلفة أفادت معاني مختلفة
",000,False,000,False,False,False,1,215
"### | باب الندبة
",000,False,000,False,False,False,1,213
