string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | ...... 
",000,False,000,False,False,False,1,2
"### | ...... 
",000,False,000,False,False,False,1,2
"### | ...... 
",000,False,000,False,False,False,1,0
"### | المنهاج الأول
",000,False,000,False,False,False,1,39
"### | أ- معلم (دال) على طرق (العلم بالمعاني) وحقائقها وأنحاء (النظر) فيها (وبما ينبغي)
",000,False,000,False,False,False,1,39
"### | ...... 
",000,False,000,False,False,False,1,16
"### | ...... 
",000,False,000,False,False,False,1,37
"### | ...... 
",000,False,000,False,False,False,1,24
"### | ...... 
",000,False,000,False,False,False,1,18
"### | ...... 
",000,False,000,False,False,False,1,20
"### | ...... 
",000,False,000,False,False,False,1,14
"### | ...... 
",000,False,000,False,False,False,1,16
"### | ...... 
",000,False,000,False,False,False,1,0
"### | ...... 
",000,False,000,False,False,False,1,67
"### | المنهج الثاني في الإبانة عن طرق اجتلاب المعاني وكيفيات التئامها وبناء بعضها على
",000,False,000,False,False,False,1,29
"### | ب- معلم علة طرق العلم باقتباس المعاني وكيفية اجتلابها وتأليف بعضها إلى بعض.
",000,False,000,False,False,False,1,116
"### | ...... 
",000,False,000,False,False,False,1,12
"### | 1- 
",000,False,000,False,False,False,1,168
"### | 2- 
",000,False,000,False,False,False,1,84
"### | 3- 
",000,False,000,False,False,False,1,43
"### | 4- 
",000,False,000,False,False,False,1,108
"### | 5- 
",000,False,000,False,False,False,1,90
"### | 6- 
",000,False,000,False,False,False,1,26
"### | 7- 
",000,False,000,False,False,False,1,61
"### | 8- 
",000,False,000,False,False,False,1,106
"### | 9- 
",000,False,000,False,False,False,1,95
"### | 10- 
",000,False,000,False,False,False,1,67
"### | 11- 
",000,False,000,False,False,False,1,142
"### | 12- 
",000,False,000,False,False,False,1,51
"### | ...... 
",000,False,000,False,False,False,1,29
"### | ...... 
",000,False,000,False,False,False,1,11
"### | 13- 
",000,False,000,False,False,False,1,152
"### | 14- 
",000,False,000,False,False,False,1,112
"### | 15- 
",000,False,000,False,False,False,1,92
"### | 16- 
",000,False,000,False,False,False,1,142
"### | ب?- معرف دال على طرق المعرفة بأنحاء وجود المعاني.
",000,False,000,False,False,False,1,113
"### | 1- 
",000,False,000,False,False,False,1,48
"### | 2- 
",000,False,000,False,False,False,1,81
"### | ج_ معلم دال على طرق العلم بكيفيات مواقع المعاني من النفوس من جهة ما تكون قوية
",000,False,000,False,False,False,1,123
"### | 1- 
",000,False,000,False,False,False,1,127
"### | 2- 
",000,False,000,False,False,False,1,54
"### | 3- 
",000,False,000,False,False,False,1,111
"### | 4- 
",000,False,000,False,False,False,1,127
"### | 5- 
",000,False,000,False,False,False,1,100
"### | 6- 
",000,False,000,False,False,False,1,130
"### | 7- 
",000,False,000,False,False,False,1,104
"### | 8- 
",000,False,000,False,False,False,1,115
"### | 9- 
",000,False,000,False,False,False,1,86
"### | 10- 
",000,False,000,False,False,False,1,256
"### | 11- 
",000,False,000,False,False,False,1,157
"### | 12- 
",000,False,000,False,False,False,1,159
"### | 13- 
",000,False,000,False,False,False,1,182
"### | 14- 
",000,False,000,False,False,False,1,55
"### | 15- 
",000,False,000,False,False,False,1,44
"### | 16- 
",000,False,000,False,False,False,1,171
"### | 17- 
",000,False,000,False,False,False,1,200
"### | 18- 
",000,False,000,False,False,False,1,75
"### | 19- 
",000,False,000,False,False,False,1,171
"### | .......................................... 
",000,False,000,False,False,False,1,0
"### | ......... 
",000,False,000,False,False,False,1,69
"### | د- معرف دال على طرق المعرفة بكيفيات تركيب المعاني وتضاعفها.
",000,False,000,False,False,False,1,91
"### | 2- 
",000,False,000,False,False,False,1,70
"### | 1- 
",000,False,000,False,False,False,1,69
"### | 2- 
",000,False,000,False,False,False,1,88
"### | 3- 
",000,False,000,False,False,False,1,69
"### | 4- 
",000,False,000,False,False,False,1,50
"### | 5- 
",000,False,000,False,False,False,1,189
"### | 6- 
",000,False,000,False,False,False,1,188
"### | 7- 
",000,False,000,False,False,False,1,51
"### | 8- 
",000,False,000,False,False,False,1,157
"### | 9- 
",000,False,000,False,False,False,1,193
"### | ه- معلم دال على طرق العلم باستثارة المعاني من مكامنها واستنباطها من معادنها.
",000,False,000,False,False,False,1,110
"### | 1- 
",000,False,000,False,False,False,1,173
"### | 2- 
",000,False,000,False,False,False,1,137
"### | 3- 
",000,False,000,False,False,False,1,46
"### | 4- 
",000,False,000,False,False,False,1,111
"### | و معرف دال على طرق المعرفة بما توجد المعاني معه حاضرة منتظمة في الذهن على ما
",000,False,000,False,False,False,1,81
"### | 2- 
",000,False,000,False,False,False,1,290
"### | 1- 
",000,False,000,False,False,False,1,66
"### | 2- 
",000,False,000,False,False,False,1,197
"### | 3- 
",000,False,000,False,False,False,1,99
"### | ز- معلم دال على طرق العلم بالمناسبة بين بعض المعاني وبعض والمقارنة بين ما تناظر
",000,False,000,False,False,False,1,79
"### | 1- 
",000,False,000,False,False,False,1,91
"### | 2- 
",000,False,000,False,False,False,1,116
"### | 3- 
",000,False,000,False,False,False,1,68
"### | 4- 
",000,False,000,False,False,False,1,54
"### | 5- 
",000,False,000,False,False,False,1,84
"### | 6- 
",000,False,000,False,False,False,1,165
"### | 7- 
",000,False,000,False,False,False,1,47
"### | ح- مأم من مذاهب البلاغة المستشرفة بهذا المعلم وما تقدم في المعلم المفتتح به هذا
",000,False,000,False,False,False,1,133
"### | 1- 
",000,False,000,False,False,False,1,169
"### | 2- 
",000,False,000,False,False,False,1,100
"### | 3- 
",000,False,000,False,False,False,1,94
"### | ط- مأم من المذاهب المستشرفة بالمعلم المتقدم أيضا وهو مذهب المقابلة.
",000,False,000,False,False,False,1,70
"### | 1- 
",000,False,000,False,False,False,1,60
"### | 2- 
",000,False,000,False,False,False,1,28
"### | 3- 
",000,False,000,False,False,False,1,153
"### | 4- 
",000,False,000,False,False,False,1,135
