string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,280
"### | (القسم الأول) فيما جاء في ذكر القرابة على وجه العموم والإجمال ، وفيه أبواب:
",000,False,000,False,False,False,1,41652
"### || (باب في فضل قرابة رسول الله صلى الله عليه وسلم)
",000,False,000,False,False,False,2,1051
"### ||| فصل  ) * ( ذكر توصيته صلى الله عليه وسلم مع هذا أقاربه أن لا يغتروا بنسبهم ) * 
",000,False,000,False,False,False,3,422
"### ||| (فصل ذكر آى نزلت فيهم)
",000,False,000,False,False,False,3,38
"### || (باب في فضل قريش) وذكر سبب تسميتهم قريشا
",000,False,000,False,False,False,2,1006
"### ||| ذكر إصطفائهم )
",000,False,000,False,False,False,3,102
"### ||| (ذكر انهم رضى الله عنهم خير الخلق) 
",000,False,000,False,False,False,3,102
"### ||| (ذكر انهم اعفة صبر) 
",000,False,000,False,False,False,3,49
"### ||| (ذكر انهم افضل الناس أحلاما) 
",000,False,000,False,False,False,3,65
"### ||| (ذكر أنه من اراد هو انهم اهانه الله) 
",000,False,000,False,False,False,3,56
"### ||| (ذكر النهى عن سبهم) 
",000,False,000,False,False,False,3,93
"### ||| ذكر قوة قريش وأمانتهم )
",000,False,000,False,False,False,3,64
"### ||| (ذكر الامر بحفظهم) 
",000,False,000,False,False,False,3,50
"### ||| ذكر ان خيار قريش خيار الناس 
",000,False,000,False,False,False,3,41
"### ||| ذكر الحث على محبتهم
",000,False,000,False,False,False,3,37
"### ||| (ذكر انهم ولاة الامر) 
",000,False,000,False,False,False,3,243
"### ||| (ذكر امتثال امرهم وإن ساءت افعالهم) 
",000,False,000,False,False,False,3,31
"### || (باب في فضل بنى هاشم)
",000,False,000,False,False,False,2,385
"### ||| ذكر افضليتهم )
",000,False,000,False,False,False,3,234
"### ||| (ذكر كلفه صلى الله عليه وسلم بادخالهم الجنة) 
",000,False,000,False,False,False,3,40
"### ||| ذكر افتراض عيادتهم إذا مرضوا 
",000,False,000,False,False,False,3,76
"### || باب في مناقب بنى عبد المطلب 
",000,False,000,False,False,False,2,200
"### ||| ذكر سؤاله صلى الله عليه وسلم الله عزوجل لهم أشياء والزجر عن بغضهم 
",000,False,000,False,False,False,3,110
"### ||| ذكر انهم سادات اهل الجنة 
",000,False,000,False,False,False,3,40
"### || (باب فضل اهل البيت) * (والحث على التمسك بهم وبكتاب الله عزوجل والخلف فيهما بخير) * 
",000,False,000,False,False,False,2,1261
"### ||| (ذكر اخباره صلى الله عليه وسلم انهم سيلقون بعده اثرة) والحث على نصرتهم وموالاتهم 
",000,False,000,False,False,False,3,135
"### ||| (ذكر انهم امان لامة محمد صلى الله عليه وسلم)
",000,False,000,False,False,False,3,81
"### ||| (ذكر انهم لا يقاس احد بهم) 
",000,False,000,False,False,False,3,31
"### ||| ذكر الحث على حفظهم )
",000,False,000,False,False,False,3,126
"### ||| ذكر ما جاء في الحث على حبهم والزجر عن بغضهم )
",000,False,000,False,False,False,3,156
"### ||| ذكر الحث على الصلاة عليهم )
",000,False,000,False,False,False,3,110
"### ||| (ذكر مكافأته صلى الله عليه وسلم من صنع) إلى اهل بيته معروفا يوم القيامة
",000,False,000,False,False,False,3,80
"### ||| (ذكر مالمن توجع لهم) 
",000,False,000,False,False,False,3,38
"### ||| ذكر دعائه صلى الله عليه وسلم لهم )
",000,False,000,False,False,False,3,84
"### ||| (ذكر انهم اول من يشفع لهم يوم القيامة) 
",000,False,000,False,False,False,3,51
"### ||| (ذكر انهم كسفينة نوح عليه السلام من ركبها نجا)
",000,False,000,False,False,False,3,78
"### ||| (ذكر ان الحماسة فيهم) 
",000,False,000,False,False,False,3,33
"### ||| (ذكر وعد الله عزوجل نبيه صلى الله عليه وسلم فيهم) 
",000,False,000,False,False,False,3,39
"### || * (باب) * في ms015 بيان ان فاطمة وعليا والحسن والحسين هم أهل البيت المشار إليهم في قوله تعالى (إنما يريد الله ليذهب عنكم الرجس أهل البيت ويطهركم تطهيرا) وتجليله صلى الله عليه وسلم إياهم بكساء ودعائه لهم 
",000,False,000,False,False,False,2,1377
"### ||| (ذكر ان النبي صلى الله عليه وسلم داخل في) اهل البيت المشار إليهم في الآية 
",000,False,000,False,False,False,3,50
"### ||| (ذكر انه صلى الله عليه وسلم كان يمر) بباب فاطمة ويتلو هذه الآية
",000,False,000,False,False,False,3,83
"### ||| (ذكر ما جاء انه لما نزل قوله تعالى)  (قل تعالوا ندع أبناءنا وأبناءكم) الآية دعا رسول الله صلى الله عليه وسلم هؤلاء الاربعة
",000,False,000,False,False,False,3,58
"### ||| (ذكر ما جاء ان هؤلاء الاربعة مع النبي صلى الله) عليه وسلم في مكان واحد يوم القيامة 
",000,False,000,False,False,False,3,48
"### ||| (ذكر انه صلى الله عليه وسلم حرب لمن حاربهم) سلم لمن سالمهم 
",000,False,000,False,False,False,3,60
