string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (مسألة 
",000,False,000,False,False,False,1,55
"### | - عن الثوب يصيبه الدم من الحيضة فقال: لتحته ثم لتقرضه بالماء ثم لتنضحه
",000,False,000,False,False,False,1,160
"### | - {وثيابك فطهر} فأمره بتطهير ثيابه فكأن عبد الله استحسن ذلك من قوله. قال إسحق: فرفعت رأسي فقلت: أعز الله الأمير، كذب هذا على الله وعلى رسوله أخبرنا وكيع حدثنا سفيان عن
",000,False,000,False,False,False,1,72
"### | - فقالت: إني امرأة أطيل ذيلي وأمشي في المكان القذر فقالت أم سلمة: قال
",000,False,000,False,False,False,1,26
"### | -: "" يطهره ما بعده "" أم ولد إبراهيم لم يخرج حديثها في الصحيح، وما رويناه أصح ثم هو محمول على النجاسة اليابسة التي تسقط عن الثوب بالسحب على الأرض، وروي عن امرأة من بني عبد الأشهل، قالت: قلت: يا رسول الله، إن لنا طريقا إلى المسجد منتنة، 
",000,False,000,False,False,False,1,119
"### | - قال: "" إذا وطئ أحدكم بنعليه في الأذى فإن التراب له طهور "" وخالفه أبو الأحوص محمد بن الهيثم القاضي عن ابن كثير عن الأوزاعي عن ابن
",000,False,000,False,False,False,1,43
"### | -: "" إذا وطئ أحدكم بخفيه أو قال بنعليه الأذى فطهورهما التراب "" وخالفه أصحاب الأوزاعي في إقامة إسناده فروى العباس بن الوليد بن مزيد عن أبيه عن الأوزاعي قال أنبئت أن سعيد ابن أبي سعيد حدث عن أبيه عن أبي هريرة أن رسول الله - 
",000,False,000,False,False,False,1,115
"### | -: "" إذا وطئ أحدكم بنعليه الأذى فإن التراب لهما طهور "" هكذا روي عن الأوزاعي عن محمد بن الوليد عن سعيد وهذا أيضا لا يعارض ما روينا فإن الطريق فيه ليس بواضح إلى سعيد وهو مرسل القعقاع لم يسمع من عائشة وما روينا إسناده متفق عليه. وروي هذا الحديث 
",000,False,000,False,False,False,1,221
"### | - قال له: "" يا عمار ما نخامتك ولا دموع عينيك إلا بمنزلة الماء الذي في
",000,False,000,False,False,False,1,53
"### | (مسألة 
",000,False,000,False,False,False,1,105
"### | -: "" كل مسكر خمر وكل مسكر حرام "" أخرجه مسلم في الصحيح. فثبت بهذا وقع اسم الخمر على النبيذ لكونه مسكرا وقد قال الله عز اسمه: {يأيها الذين آمنوا إنما الخمر والميسر والأنصاب والأزلام رجس من عمل الشيطان فاجتنبوه لعلكم تفلحون} فأمر باجتنابه 
",000,False,000,False,False,False,1,95
"### | -: "" معك ماء؟ قلت: ليس معي ماء. ولكن معي إداوة فيها نبيذ فقال النبي - 
",000,False,000,False,False,False,1,186
"### | - وهو خلاف القرآن قال الحاكم أبو عبد الله: قد قيل أنه كان نباذا بالكوفة يعني أبا زيد قال البخاري: أبو زيد الذي يروي الحديث عن ابن مسعود رجل مجهول لا يعرف
",000,False,000,False,False,False,1,122
"### | - قال ليلة الجن: "" أمعك ماء؟ قال: لا. قال أمعك نبيذ؟ قال: نعم فتوضأ به "" قال الحاكم: أبو عبد الله هذا حديث تفرد به أبو سعيد مولى بني هاشم عن حماد بن سلمة وعلي بن زيد بن جدعان على الطريق. وهو ممن أجمع الحفاظ على تركه، وقال الدارقطني: 
",000,False,000,False,False,False,1,133
"### | - ذات ليلة فقال: "" خذ معك إداوة فيها ماء "" فذكر حديثا طويلا في ليلة الجن إلى أن قال: فلما أفرغت عليه من الأداوة إذا هو نبيذ، فقلت يا رسول الله: أخطأت بالنبيذ فقال: "" تمرة حلوة وماء عذب "" قال الحاكم أبو عبد الله: هذا حديث لم نكتبه من حديث 
",000,False,000,False,False,False,1,151
"### | -: "" تمرة طيبة وماء طهور
",000,False,000,False,False,False,1,82
"### | - ليلة الجن بنبيذ فتوضأ به وقال: "" شراب طهور "" قال
",000,False,000,False,False,False,1,56
"### | - بنبيذ "" قال الدارقطني: الثقفي الذي رواه عن ابن مسعود مجهول قيل اسمه عمرو وقيل عبد الله بن عمرو بن غيلان ومما يدل على بطلان جميع ما روي من ذلك عن عبد الله بن مسعود رضي الله عنه إقراره بأنه لم يكن ليلة الجن مع رسول الله - 
",000,False,000,False,False,False,1,79
"### | - وودت أني كنت معه وروي عن شعبة عن عمرو بن مرة "" قال سألت أبا عبيدة بن عبد الله أكان أبوك مع النبي - 
",000,False,000,False,False,False,1,61
"### | - ليلة الجن فمن قال: إنه صحبه فيها فإنه يريد حين ذهب رسول الله - 
",000,False,000,False,False,False,1,42
"### | - ليلة الجن فقال ما صحبه منا أحد ولكنا فقدناه بمكة فطلبناه في الشعاب والأودية فقلت: اغتيل استطير. فبتنا بشر ليلة بات قوم فلما أصبحنا رأيناه مقبلا فقلنا يا رسول الله: بتنا الليلة بشر ليلة بات بها قوم فقدناك. فقال: "" إنه أتاني داعي الجن 
",000,False,000,False,False,False,1,92
"### | - تلك الليلة على اضطراب في الإسناد، فإن في حديث سليمان التيمي عن أبي تميمة عن عبد الله وقيل عن أبي تميمة عن أبي عثمان النهدي عن عبد الله وعلى هذا الاضطراب ms007 لا تقوم بهم الحجة. قال البيهقي رضي الله عنه قد تتبعت هذه الروايات فوجدتها على ما ذكر 
",000,False,000,False,False,False,1,120
"### | -: "" النبيذ وضوء من لم يجد الماء "" قال علي بن عمر: كذا قال. ووهم فيه المسيب بن واضح في موضعين في ذكر ابن عباس وفي ذكر النبي - 
",000,False,000,False,False,False,1,67
"### | - والمحفوظ من قول عكرمة غير مرفوع إلى النبي - 
",000,False,000,False,False,False,1,215
"### | (مسألة 
",000,False,000,False,False,False,1,32
"### | - يقول: "" إذا دبغ الإهاب فقد طهر "" خرج هذا مخرج الشرط والجزاء فقوله إذا دبغ شرط وقوله فقد طهر جزاء والجزاء لا يسبق الشرط كما يقال: إذا دخلت الدار فأنت حر، فما لم يدخل لا يعتق. وروي عن أبي المليح الهذلي عن أبيه أن رسول الله - 
",000,year,000,False,False,False,1,66
