string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [الحسبة لشيخ الإسلام ابن تيمية رحمه الله]
",000,False,000,False,False,False,1,48
"### | مقدمة هامة
",000,False,000,False,False,False,1,197
"### | أولا- تعريف عام بالحسبة في الإسلام
",000,False,000,False,False,False,1,41
"### | أولا- تعريف عام بالحسبة في الإسلام
",000,False,000,False,False,False,1,524
"### | 1 - 
",000,False,000,False,False,False,1,54
"### | 2 - 
",000,False,000,False,False,False,1,61
"### | 3 - 
",000,False,000,False,False,False,1,100
"### | 4 - 
",000,False,000,False,False,False,1,202
"### | 5 - 
",000,False,000,False,False,False,1,147
"### | 6 - 
",000,False,000,False,False,False,1,135
"### | 7 - 
",000,False,000,False,False,False,1,128
"### | ثانيا- أهم الكتب المؤلفة في هذا الموضوع
",000,False,000,False,False,False,1,85
"### | ثالثا- خصائص كتاب الحسبة لشيخ الإسلام ابن تيمية رحمه الله
",000,False,000,False,False,False,1,206
"### | رابعا- الكلام عن نسخ كتاب الحسبة لشيخ الإسلام ابن تيمية رحمه الله
",000,False,000,False,False,False,1,178
"### | خامسا- طريقة العمل في تحقيق هذا الكتاب
",000,False,000,False,False,False,1,24
"### | الباب الأول- الخلاصة أحكام الحسبة 
",000,False,000,False,False,False,1,162
"### | الباب الأول
",000,False,000,False,False,False,1,11
"### | 1 - 
",000,False,000,False,False,False,1,97
"### | 2 - 
",000,False,000,False,False,False,1,239
"### | 3 - 
",000,False,000,False,False,False,1,125
"### | 4 - 
",000,False,000,False,False,False,1,178
"### | 5 - 
",000,False,000,False,False,False,1,171
"### | 6 - 
",000,False,000,False,False,False,1,585
"### | 7 - 
",000,False,000,False,False,False,1,1057
"### | 8 - 
",000,False,000,False,False,False,1,401
"### | 9 - 
",000,False,000,False,False,False,1,331
"### | 10 - 
",000,False,000,False,False,False,1,72
"### | 11 - 
",000,False,000,False,False,False,1,70
"### | 12 - 
",000,False,000,False,False,False,1,154
"### | 13 - 
",000,False,000,False,False,False,1,255
"### | 14 - 
",000,False,000,False,False,False,1,780
"### | 15 - 
",000,False,000,False,False,False,1,436
"### | 16 - 
",000,False,000,False,False,False,1,335
"### | 17 - 
",000,False,000,False,False,False,1,193
"### | 18 - 
",000,False,000,False,False,False,1,338
"### | 19 - 
",000,False,000,False,False,False,1,335
"### | 20 - 
",000,False,000,False,False,False,1,112
"### | 21 - 
",000,False,000,False,False,False,1,96
"### | 22 - 
",000,False,000,False,False,False,1,122
"### | 23 - 
",000,False,000,False,False,False,1,174
"### | 24 - 
",000,False,000,False,False,False,1,645
"### | 25 - 
",000,False,000,False,False,False,1,529
"### | 26 - 
",000,False,000,False,False,False,1,152
"### | 27 - 
",000,False,000,False,False,False,1,197
"### | 28 - 
",000,False,000,False,False,False,1,249
"### | 29 - 
",000,False,000,False,False,False,1,336
"### | 30 - 
",000,False,000,False,False,False,1,218
"### | 31 - 
",000,False,000,False,False,False,1,159
"### | 32 - 
",000,False,000,False,False,False,1,456
"### | 33 - 
",000,False,000,False,False,False,1,623
"### | 34 - 
",000,False,000,False,False,False,1,1016
"### | 35 - 
",000,False,000,False,False,False,1,140
"### | 36 - 
",000,False,000,False,False,False,1,64
"### | 37 - 
",000,False,000,False,False,False,1,342
"### | 38 - 
",000,False,000,False,False,False,1,221
"### | 39 - 
",000,False,000,False,False,False,1,305
"### | 40 - 
",000,False,000,False,False,False,1,326
"### | 41 - 
",000,False,000,False,False,False,1,139
"### | 42 - 
",000,False,000,False,False,False,1,50
"### | 43 - 
",000,False,000,False,False,False,1,44
"### | 44 - 
",000,False,000,False,False,False,1,76
"### | 45 - 
",000,False,000,False,False,False,1,67
"### | 46 - 
",000,False,000,False,False,False,1,32
"### | 47 - 
",000,False,000,False,False,False,1,39
"### | 48 - 
",000,False,000,False,False,False,1,72
"### | 49 - 
",000,False,000,False,False,False,1,289
"### | 50 - 
",000,False,000,False,False,False,1,250
"### | 51 - 
",000,False,000,False,False,False,1,95
"### | 52 - 
",000,False,000,False,False,False,1,65
"### | وقفات مع الحسبة 
",000,False,000,False,False,False,1,1110
"### | 1 - 
",000,False,000,False,False,False,1,55
"### | 2 - 
",000,False,000,False,False,False,1,105
"### | 3 - 
",000,False,000,False,False,False,1,82
"### | الحسبة في الإسلام نظام فعال
",000,False,000,False,False,False,1,9
"### | الأمر بالمعروف والنهي عن المنكر
",000,False,000,False,False,False,1,62
"### | 1 - 
",000,False,000,False,False,False,1,61
"### | 2 - 
",000,False,000,False,False,False,1,48
"### | 3 - 
",000,False,000,False,False,False,1,47
"### | 4 - 
",000,False,000,False,False,False,1,60
"### | 5 - 
",000,False,000,False,False,False,1,118
"### | 6 - 
",000,False,000,False,False,False,1,75
"### | 7 - 
",000,False,000,False,False,False,1,111
"### | 8 - 
",000,False,000,False,False,False,1,54
"### | 9 - 
",000,False,000,False,False,False,1,105
"### | 10 - 
",000,False,000,False,False,False,1,287
"### | 1 - 
",000,False,000,False,False,False,1,13
"### | 2 - 
",000,False,000,False,False,False,1,13
"### | 3 - 
",000,False,000,False,False,False,1,11
"### | 4 - 
",000,False,000,False,False,False,1,430
"### | الأمر بالمعروف والنهي عن المنكر
",000,False,000,False,False,False,1,4421
"### | الحسبة والشرطة والعسس في الدولة الإسلامية 
",000,False,000,False,False,False,1,1873
"### | من هم رجال الحسبة؟
",000,False,000,False,False,False,1,31
"### | 1 - 
",000,False,000,False,False,False,1,9
"### | 2 - 
",000,False,000,False,False,False,1,9
"### | 3 - 
",000,False,000,False,False,False,1,13
"### | 4 - 
",000,False,000,False,False,False,1,15
"### | 5 - 
",000,False,000,False,False,False,1,26
"### | 6 - 
",000,False,000,False,False,False,1,16
"### | 7 - 
",000,False,000,False,False,False,1,30
"### | 8 - 
",000,False,000,False,False,False,1,30
"### | 9 - 
",000,False,000,False,False,False,1,21
"### | 10 - 
",000,False,000,False,False,False,1,18
"### | 11 - 
",000,False,000,False,False,False,1,24
"### | 12 - 
",000,False,000,False,False,False,1,17
"### | 13 - 
",000,False,000,False,False,False,1,14
"### | 1 - 
",000,False,000,False,False,False,1,15
"### | 2 - 
",000,False,000,False,False,False,1,68
"### | ضوابط في الأمر بالمعروف ms088 والنهي عن المنكر
",000,False,000,False,False,False,1,1767
"### | ضرب المتهم عند التحقيق
",000,False,000,False,False,False,1,149
"### | 1 - 
",000,False,000,False,False,False,1,26
"### | 2 - 
",000,False,000,False,False,False,1,66
"### | وجوب تمييز غير المسلمين في المجتمع الإسلامي باللباس
",000,False,000,False,False,False,1,747
"### | التسعير .. أحكامه وأحواله
",000,False,000,False,False,False,1,764
"### | ..... 
",000,False,000,False,False,False,1,220
"### | حكم اطلاع الأب على الرسائل الخاصة بأبنائه
",000,False,000,False,False,False,1,181
"### | التصرف الواجب تجاه من يلصق التهم بالأبرياء
",000,False,000,False,False,False,1,288
"### | الحسبة على الحاكم ووسائلها في الشريعة الإسلامية
",000,False,000,False,False,False,1,8693
"### | ..... 
",000,False,000,False,False,False,1,827
"### | جواز تغيير المنكر باليد لآحاد الرعية
",000,False,000,False,False,False,1,1768
"### | 1 - 
",000,False,000,False,False,False,1,80
"### | 2 - 
",000,False,000,False,False,False,1,276
"### | 2 - 
",000,False,000,False,False,False,1,264
"### | 3 - 
",000,False,000,False,False,False,1,34
"### | 1 - 
",000,False,000,False,False,False,1,17
"### | 2 - 
",000,False,000,False,False,False,1,207
"### | 1 - 
",000,False,000,False,False,False,1,214
"### | 2 - 
",000,False,000,False,False,False,1,103
"### | 3 - 
",000,False,000,False,False,False,1,18
"### | .... 
",000,False,000,False,False,False,1,80
"### | 4 - 
",000,False,000,False,False,False,1,50
"### | 1 - 
",000,False,000,False,False,False,1,47
"### | 2 - 
",000,False,000,False,False,False,1,188
"### | 3 - 
",000,False,000,False,False,False,1,370
"### | 4 - 
",000,False,000,False,False,False,1,68
"### | 5 - 
",000,False,000,False,False,False,1,130
"### | 6 - 
",000,False,000,False,False,False,1,59
"### | 1 - 
",000,False,000,False,False,False,1,232
"### | 2 - 
",000,False,000,False,False,False,1,88
"### | 3 - 
",000,False,000,False,False,False,1,27
"### | 4 - 
",000,False,000,False,False,False,1,42
"### | 5 - 
",000,False,000,False,False,False,1,100
"### | 6 - 
",000,False,000,False,False,False,1,64
"### | 1 - 
",000,False,000,False,False,False,1,92
"### | 2 - 
",000,False,000,False,False,False,1,747
"### | .... 
",000,False,000,False,False,False,1,1439
"### | الباب الثاني
",000,False,000,False,False,False,1,20
"### | مقدمة
",000,False,000,False,False,False,1,958
"### | الفصل الأول
",000,False,000,False,False,False,1,483
"### | الفصل الثاني
",000,False,000,False,False,False,1,589
"### | [الاحتساب في المعاملات المحرمة]
",000,False,000,False,False,False,1,937
"### | ومثل ذلك "" الاحتكار "" لما يحتاج الناس إليه 
",000,False,000,False,False,False,1,1042
"### | [لماذا شرعت الولايات؟]
",000,False,000,False,False,False,1,352
"### | جواز المزارعة 
",000,False,000,False,False,False,1,420
"### | وسواء كانت الأرض مقطعة أو لم تكن مقطعة
",000,False,000,False,False,False,1,2580
