string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,19
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,27
"### | 5- 
",000,False,000,False,False,False,1,23
"### | 6- 
",000,False,000,False,False,False,1,29
"### | 7- 
",000,False,000,False,False,False,1,29
"### | 8- 
",000,False,000,False,False,False,1,19
"### | 1- 
",000,False,000,False,False,False,1,23
"### | 2- 
",000,False,000,False,False,False,1,23
"### | 3- 
",000,False,000,False,False,False,1,25
"### | 4- 
",000,False,000,False,False,False,1,25
"### | 5- 
",000,False,000,False,False,False,1,25
"### | 6- 
",000,False,000,False,False,False,1,15
"### | 7- 
",000,False,000,False,False,False,1,21
"### | 8- 
",000,False,000,False,False,False,1,12
"### | 9- 
",000,False,000,False,False,False,1,21
"### | 10- 
",000,False,000,False,False,False,1,21
"### | 11- 
",000,False,000,False,False,False,1,13
"### | 12- 
",000,False,000,False,False,False,1,21
"### | 13- 
",000,False,000,False,False,False,1,13
"### | 14- 
",000,False,000,False,False,False,1,25
"### | 15- 
",000,False,000,False,False,False,1,14
"### | 16- 
",000,False,000,False,False,False,1,25
"### | 17- 
",000,False,000,False,False,False,1,19
"### | 18- 
",000,False,000,False,False,False,1,27
"### | 19- 
",000,False,000,False,False,False,1,27
"### | 20- 
",000,False,000,False,False,False,1,13
"### | 21- 
",000,False,000,False,False,False,1,19
"### | 22- 
",000,False,000,False,False,False,1,23
"### | 23- 
",000,False,000,False,False,False,1,23
"### | 24- 
",000,False,000,False,False,False,1,23
"### | 25- 
",000,False,000,False,False,False,1,25
"### | 26- 
",000,False,000,False,False,False,1,19
"### | 27- 
",000,False,000,False,False,False,1,21
"### | 28- 
",000,False,000,False,False,False,1,21
"### | 29- 
",000,False,000,False,False,False,1,14
"### | 30- 
",000,False,000,False,False,False,1,25
"### | 31- 
",000,False,000,False,False,False,1,14
"### | 32- 
",000,False,000,False,False,False,1,23
"### | 33- 
",000,False,000,False,False,False,1,12
"### | 34- 
",000,False,000,False,False,False,1,25
"### | 35- 
",000,False,000,False,False,False,1,14
"### | 36- 
",000,False,000,False,False,False,1,27
"### | 37- 
",000,False,000,False,False,False,1,19
"### | 38- 
",000,False,000,False,False,False,1,13
"### | 39- 
",000,False,000,False,False,False,1,21
"### | 40- 
",000,False,000,False,False,False,1,13
"### | 41- 
",000,False,000,False,False,False,1,23
"### | 42- 
",000,False,000,False,False,False,1,23
"### | 43- 
",000,False,000,False,False,False,1,27
"### | 44- 
",000,False,000,False,False,False,1,21
"### | 45- 
",000,False,000,False,False,False,1,25
"### | 46- 
",000,False,000,False,False,False,1,23
"### | 47- 
",000,False,000,False,False,False,1,23
"### | 48- 
",000,False,000,False,False,False,1,27
"### | 49- 
",000,False,000,False,False,False,1,25
"### | 50- 
",000,False,000,False,False,False,1,27
"### | 51- 
",000,False,000,False,False,False,1,25
"### | 52- 
",000,False,000,False,False,False,1,21
"### | 53- 
",000,False,000,False,False,False,1,19
"### | 54- 
",000,False,000,False,False,False,1,27
"### | 55- 
",000,False,000,False,False,False,1,23
"### | 56- 
",000,False,000,False,False,False,1,23
"### | 57- 
",000,False,000,False,False,False,1,27
"### | 58- 
",000,False,000,False,False,False,1,17
"### | 59- 
",000,False,000,False,False,False,1,21
"### | 60- 
",000,False,000,False,False,False,1,23
"### | 61- 
",000,False,000,False,False,False,1,20
"### | 62- 
",000,False,000,False,False,False,1,25
"### | 63- 
",000,False,000,False,False,False,1,23
"### | 64- 
",000,False,000,False,False,False,1,27
"### | 65- 
",000,False,000,False,False,False,1,27
"### | 66- 
",000,False,000,False,False,False,1,25
"### | 67- 
",000,False,000,False,False,False,1,21
"### | 68- 
",000,False,000,False,False,False,1,25
"### | 69- 
",000,False,000,False,False,False,1,14
"### | 70- 
",000,False,000,False,False,False,1,21
"### | 71- 
",000,False,000,False,False,False,1,13
"### | 72- 
",000,False,000,False,False,False,1,27
"### | 73- 
",000,False,000,False,False,False,1,27
"### | 74- 
",000,False,000,False,False,False,1,21
"### | 75- 
",000,False,000,False,False,False,1,25
"### | 76- 
",000,False,000,False,False,False,1,25
"### | 77- 
",000,False,000,False,False,False,1,12
"### | 78- 
",000,False,000,False,False,False,1,12
"### | 79- 
",000,False,000,False,False,False,1,21
"### | 80- 
",000,False,000,False,False,False,1,14
"### | 81- 
",000,False,000,False,False,False,1,25
"### | 82- 
",000,False,000,False,False,False,1,11
"### | 83- 
",000,False,000,False,False,False,1,29
"### | 84- 
",000,False,000,False,False,False,1,21
"### | 85- 
",000,False,000,False,False,False,1,25
"### | 86- 
",000,False,000,False,False,False,1,13
"### | 87- 
",000,False,000,False,False,False,1,25
"### | 88- 
",000,False,000,False,False,False,1,14
"### | 89- 
",000,False,000,False,False,False,1,23
"### | 90- 
",000,False,000,False,False,False,1,13
"### | 91- 
",000,False,000,False,False,False,1,23
"### | 92- 
",000,False,000,False,False,False,1,21
"### | 93- 
",000,False,000,False,False,False,1,12
"### | 94- 
",000,False,000,False,False,False,1,14
